# Drug name and concentration: 5: Bepridil at 157.5μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.7732,-88.1542,185.17,356.67,287.77,263.86,92.81,670.48,256.53,314.114,396.761,82.6412,313.81,0.0638707,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,45.7921,-88.169,341.357,343.8,270.77,245.66,98.14,843.05,396.31,136.653,209.522,72.8596,499.25,0.0756709,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.6009,-88.1719,282.839,416.67,322.76,288.61,128.06,759.8,328.57,226.525,310.485,83.9471,343.13,0.0593252,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.204,-88.1509,163.721,417.33,340.36,309.53,107.8,880.98,422.93,121.925,188.452,66.5208,463.65,0.0567339,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.0072,-87.8386,310.332,470.44,355.99,303.01,167.43,913.73,459.21,124.531,201.346,76.8059,443.29,0.070149,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,38.9608,-87.8705,164.026,387.65,302.93,276.92,110.73,656.25,249.43,343.933,423.903,79.9644,268.6,0.0503535,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.0051,-87.8513,156.393,337.27,263.58,237.65,99.62,802.77,350.26,152.175,228.373,76.1897,465.5,0.0719797,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.6031,-87.7505,210.973,354.09,279.64,254.7,99.39,648.59,247.57,352.272,437.638,85.3598,294.5,0.0663285,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.9445,-87.7413,226.963,595.86,412.13,350.75,245.11,842.91,371.06,198.449,272.741,74.2812,247.05,0.0336726,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.5266,-88.1397,207.67,391.34,299.6,273.92,117.42,705.22,285.26,265.794,345.944,80.143,313.88,0.0668175,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,42.8522,-87.7409,314.659,362.13,265.07,238.59,123.54,794.1,360.96,167.909,243.66,75.739,431.97,0.0656407,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,41.8893,-87.9123,306.334,583.52,420.66,357.65,225.87,915.09,465.46,149.675,220.8,71.1139,331.57,0.0471378,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.351,-88.1206,296,588.02,423.66,364.6,223.42,960.7,507.46,124.106,193.339,69.2245,372.68,0.0453893,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,38.7133,-88.0583,242.066,421.72,321.02,287.42,134.3,678.66,253.29,331.941,421.248,89.2953,256.94,0.0685397,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.2101,-88.1603,226.429,492.8,361.21,320.17,172.63,780.33,328.5,224.465,304.92,80.4433,287.53,0.0453377,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,39.9037,-88.1332,142.051,595.82,440.91,383.47,212.35,817.58,310.61,224.048,298,73.9438,221.76,0.0251107,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,38.7482,-87.803,271.292,331.61,254.33,230.56,101.05,655.19,255.43,332.088,423.448,91.351,323.58,0.0805811,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,38.6875,-87.8054,174.364,540.7,411.12,354.24,186.46,777.92,294.82,256.464,336.038,79.5633,237.22,0.0421391,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,41.9743,-88.0256,295.596,388.16,287.68,261.01,127.15,680.48,271.97,306.859,392.331,85.4616,292.32,0.06894,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,41.3387,-88.151,198.578,470.6,361.63,324.56,146.04,690.74,247.51,333.459,415.464,81.9979,220.14,0.0480748,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,44.8883,-88.0263,362.812,419.02,324.8,287.32,131.7,884.31,435.58,129.48,202.42,72.9304,465.29,0.0672469,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.5727,-88.0215,241.888,429.26,322.86,292.32,136.94,819.01,383.32,163.442,235.526,72.074,389.75,0.0460015,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,36.8337,-88.0284,154.167,556.88,422.39,367.85,189.03,932.88,468.88,120.616,187.79,67.1669,376,0.0396522,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,45.4514,-88.063,341.364,442.86,337.12,299.4,143.46,848.77,413.78,156.701,230.127,73.4156,405.91,0.0477173,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,41.1606,-87.824,277.127,396.04,300.29,269.22,126.82,818.69,381.73,158.638,232.424,73.7752,422.65,0.0683759,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,39.7204,-87.9398,176.173,412.53,320.13,289.28,123.25,708.52,281.35,272.851,352.59,79.7303,295.99,0.0482239,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,39.0701,-88.0607,215.024,453.86,354.48,317.76,136.1,848.88,406.58,149.442,218.891,69.4402,395.02,0.0497482,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,40.2009,-88.1178,234.08,368.69,299.77,274.71,93.98,637.66,233.35,387.476,474.173,86.6898,268.97,0.0568363,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,32.7748,-87.9542,143.474,527.2,385.15,334.16,193.04,861.82,400.82,149.252,223.492,74.2307,334.62,0.0600753,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,42.38,-88.127,264.253,546.6,390.56,342.74,203.86,936.99,481.23,119.632,188.552,68.9111,390.39,0.0473352,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,38.8042,-87.8003,262.414,462.15,338.37,292.8,169.35,737.24,296.86,275.554,367.852,92.2811,275.09,0.0589979,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,41.0358,-88.0338,181.494,459.08,367.9,331.62,127.46,737.09,285.88,264.409,342.208,77.7906,278.01,0.038612,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,35.3234,-88.1344,204.7,378.15,290.63,262.93,115.22,718.45,293.8,247.75,332.522,84.7624,340.3,0.0755463,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
