# Drug name and concentration: 8: Bepridil at 252μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.854,-88.1561,181.706,396.21,316.98,287.95,108.26,683.73,258.15,307.968,390.533,82.5588,287.52,0.057788,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,45.4311,-88.1718,336.08,387.31,302.33,271.55,115.76,866.19,418.26,132.596,205.142,72.5364,478.88,0.0692729,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.1916,-88.1752,277.605,461.64,354.05,312.33,149.31,790.52,345.06,214.632,297.695,83.0496,328.88,0.0534895,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.1226,-88.1538,160.115,464.7,377.22,338.93,125.77,906.69,446.48,118.689,184.996,66.3002,441.99,0.0501935,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.61,-87.8438,305.446,519.23,391.65,327.77,191.46,947.37,490.1,120.027,196.195,76.1579,428.14,0.0646568,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.0091,-87.8697,160.468,434.12,335.28,303.25,130.87,666.5,248.36,343.757,423.956,80.1917,232.38,0.0439636,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,32.9006,-87.8532,152.894,382.38,297.73,265.94,116.44,817.53,365.26,151.102,227.387,76.2764,435.15,0.0652753,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.6142,-87.7529,207.012,396.67,310.52,279.83,116.84,658.5,247.65,350.987,436.579,85.5834,261.83,0.0602279,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.841,-87.7479,222.582,667.51,451.43,371.06,296.45,900.56,394.21,183.221,256.359,73.127,233.05,0.028456,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.5569,-88.1383,203.618,435.25,328.49,297,138.25,723.73,292.86,257.246,337.072,79.8171,288.48,0.0609609,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,42.5116,-87.7395,309.66,410.43,294.95,262.21,148.22,812.68,378.87,164.716,240.359,75.6318,402.25,0.0593231,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,41.4632,-87.9182,300.835,657.69,467.9,382.23,275.46,976.07,514.43,140.139,210.21,70.0605,318.38,0.0416876,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,42.9599,-88.1235,290.844,665.9,472.99,392.71,273.19,1020.62,561.36,117.546,185.958,68.4029,354.72,0.0392763,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,38.3229,-88.0613,237.531,468.44,352.79,311.55,156.89,705.93,259.04,317.092,405.638,88.5329,237.49,0.0627366,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.1741,-88.1612,222.144,547.06,393.55,342.72,204.34,817.97,344.76,211.697,291.277,79.5681,270.91,0.0396863,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,39.7581,-88.1355,138.651,652.74,475.28,402.95,249.79,863.89,325.21,210.094,283.252,73.1488,211.15,0.020552,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,38.3665,-87.805,266.782,376.13,286.03,256.61,119.52,669.04,261.15,326.409,417.701,91.2792,292.91,0.0738812,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,38.5331,-87.8113,170.638,591.89,444.99,374.39,217.5,821.5,307.84,240.691,319.339,78.6357,229.61,0.0373234,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,41.5963,-88.025,290.626,430.15,312.93,280.74,149.41,699.81,279.68,295.217,380.194,84.9646,269.66,0.0638324,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,41.3109,-88.1531,194.447,513.73,388.69,343.9,169.83,718.34,252.02,318.861,400.303,81.433,204.61,0.0434212,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,44.5063,-88.0306,356.426,466.87,358.96,313.09,153.78,914.29,463.33,125.08,197.523,72.433,447.42,0.0611784,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.5288,-88.0191,237.311,484.79,358.47,319.95,164.84,847.27,406.64,158,229.74,71.7293,362.48,0.0390702,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,36.6259,-88.0308,150.641,613.56,461.92,393.42,220.14,971.07,499.48,115.544,182.222,66.6703,357.51,0.0343672,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,45.0691,-88.0667,336.019,485.63,364.13,318.64,166.99,879.21,439.48,149.528,222.307,72.7685,393.58,0.0433855,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,40.8139,-87.8271,272.086,445.53,334.07,295.2,150.33,843.38,404.05,154.121,227.609,73.477,397.85,0.0622556,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,39.7126,-87.9419,172.488,455.48,348.69,311.12,144.36,727.87,286.12,265.101,344.579,79.4685,272.39,0.0425667,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,38.9626,-88.0636,210.887,497.51,384.43,339.22,158.29,876.63,428.6,143.462,212.461,68.9898,379.12,0.0450433,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,40.3258,-88.1204,229.687,409.84,330.33,299.78,110.06,652.72,234.24,379.254,465.815,86.5522,242.88,0.0506389,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,32.5038,-87.9565,140.193,579.73,420.4,358.55,221.18,893.82,421.94,142.686,216.333,73.6376,314.09,0.0551568,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,42.1807,-88.1261,259.506,616.91,433.65,371.42,245.49,982.23,521.77,114.424,182.746,68.3137,365.32,0.0409292,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,38.416,-87.8056,257.767,510.98,369.95,314.82,196.16,773.39,310.35,260.381,351.464,91.0645,262.41,0.0535951,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,41.0427,-88.0381,177.806,507.5,402.21,356.95,150.55,769.4,293.12,252.537,329.79,77.2433,261.9,0.0323813,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,35.2029,-88.1355,200.643,426.73,325.33,290.93,135.8,740.5,305.33,239.05,323.337,84.2753,313.77,0.0687337,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,40.7403,-88.0513,169.833,569.85,439.7,380.58,189.27,820.3,315.15,228.004,302.917,74.9025,250.45,0.0283503,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,43.2733,-88.0982,277.204,412.43,310.78,280.34,132.09,889.95,434.32,116.553,183.557,66.9954,477.52,0.0600703,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,38.9063,-87.9273,252.857,470.07,364.1,316.96,153.11,848.35,403.76,164.618,241.568,76.9373,378.28,0.0604924,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,44.7635,-87.9584,334.509,497.98,362.06,310.42,187.56,859.48,419.44,169.763,247.292,77.5156,361.5,0.0588132,0,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,39.0417,-88.1668,252.772,389.5,308.52,277.9,111.6,809.49,370.41,168.567,246.096,77.5181,419.99,0.0688547,0,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,37.6211,-87.9717,153.618,446.67,344.33,310.88,135.79,667.73,244.04,346.666,428.113,81.4397,221.06,0.047526,0,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
72,36.2073,-88.0212,119.014,460.97,368.27,330.19,130.78,758.29,309.67,224.987,299.021,74.0269,297.32,0.0470278,0,0,72,0.503281,0.922562,1.47813,0.973099,1.26185,1.34755,1.068,0.966409,0.947625
74,38.981,-88.0014,227.838,495.12,366.64,325.14,169.98,711.92,264.64,307.593,389.106,81.5027,216.8,0.0501988,0,0,74,0.90717,0.750623,1.47323,0.866747,1.44579,0.806922,0.921863,0.935355,1.39523
75,44.6237,-88.1514,323.138,411.43,317.15,284.76,126.67,853.44,411.96,143.499,215.569,72.0602,442.01,0.0543115,0,0,75,1.28279,1.21155,0.931139,1.32387,1.48167,1.15726,1.10615,1.41389,1.44653
79,41.0746,-88.0751,268.253,573.85,452.82,387.38,186.47,981.18,525.56,117.801,184.729,66.9202,407.33,0.0416419,0,0,79,1.06072,0.571216,1.00719,0.709194,0.605073,1.47904,1.41872,1.13247,1.25721
80,43.535,-88.1688,225.975,568.04,432.54,372.28,195.76,933.05,471.31,140.612,210.244,69.6228,365.01,0.0286031,0,0,80,0.86005,1.10285,0.510134,0.705382,0.963019,1.24648,1.1822,1.45642,1.30036
82,39.6081,-87.9065,268.5,370.38,277.02,245.77,124.61,720.52,301.77,249.524,339.169,89.6307,350.14,0.0718812,0,0,82,1.10601,1.31209,0.825787,1.36949,1.36911,0.98818,0.546234,0.692542,0.75495
