# Drug name and concentration: 4: Chlorpromazine at 138μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.286,-88.1559,190.212,260.07,212.09,197.77,62.3,655.23,250.03,314.246,395.822,81.5726,395.16,0.0814441,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.265,-88.1654,348.397,248.03,198.52,183.67,64.36,793.78,348.94,147.466,220.781,73.3074,545.75,0.0925502,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.1917,-88.168,288.9,312.37,246.78,226.42,85.95,699.7,286.96,258.391,344.008,85.6081,387.33,0.0775548,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.1499,-88.1474,168.286,308.36,253.2,235.12,73.24,828.9,372.6,128.92,195.552,66.6262,520.54,0.0752467,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.5424,-87.8277,317.278,355.62,270.65,238.26,117.36,845.35,394.61,135.62,213.566,77.9371,489.73,0.0859647,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,38.6067,-87.8824,167.908,279.16,222.29,207.16,72,649.7,250.62,327.134,405.317,78.1797,370.54,0.0684788,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,32.9941,-87.8541,161.054,234.31,182.83,167.48,66.83,780.79,321.78,147.81,222.608,74.7913,546.48,0.0898317,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.1306,-87.7522,216.119,255.49,204,189.31,66.18,642.36,244.59,338.614,422.041,83.423,386.87,0.0827312,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.0049,-87.7379,232.119,451.5,328.43,294.91,156.59,747.73,325.5,231.239,307.241,75.9926,296.23,0.0489112,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.4242,-88.1529,212.566,288.01,225.78,210.47,77.54,676.57,266.93,277.039,356.879,79.8348,388.56,0.0835418,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.3144,-87.7552,320.706,255.23,193.57,178.34,76.89,761.83,325.78,170.673,245.7,75.0182,506.6,0.0835824,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.5251,-87.9046,312.004,442.36,329.71,295.77,146.59,812.65,385.4,173.81,246.855,73.0354,370.29,0.0612512,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.9845,-88.1203,302.293,438.92,326.97,294.86,144.06,859.32,417.61,141.233,212.028,70.7866,420.4,0.0611173,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.3303,-88.058,247.563,314.6,243.89,223.71,90.89,638.69,242.44,357.918,447.566,89.6418,324.09,0.0845312,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.0014,-88.1654,231.601,372.2,283.31,259.22,112.98,710.91,291.23,257.178,339.13,81.9436,338.71,0.0628778,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,39.9347,-88.1347,146.17,470.63,360.72,327.31,143.32,731.16,284.5,258.685,334.009,75.3173,260.53,0.0399525,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
