# Drug name and concentration: 5: Chlorpromazine at 172.5μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.3011,-88.1561,190.497,264.72,215.64,200.94,63.78,655.66,250.52,314.309,395.982,81.6694,390.94,0.0807419,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.2545,-88.1659,348.353,252.47,201.78,186.52,65.95,796.11,351.15,146.804,220.103,73.2905,543.64,0.0918188,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.1725,-88.1685,288.871,317.23,250.16,229.28,87.95,702.12,288.88,256.703,342.264,85.5515,384.89,0.0768476,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.1431,-88.1479,168.261,313.57,257.2,238.64,74.93,831.22,374.86,128.54,195.176,66.6307,517.65,0.0744591,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.5311,-87.8283,317.259,361.13,274.4,241.19,119.94,848.25,397.34,134.979,212.874,77.8855,487.12,0.0853211,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,38.6141,-87.8826,167.874,284.23,225.97,210.43,73.8,649.7,250.83,328.113,406.408,78.292,365.47,0.0677626,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,32.9774,-87.8542,160.999,238.94,186.31,170.57,68.37,781.53,322.93,148.1,222.992,74.8859,542.59,0.0891821,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.1002,-87.7524,216.101,260.14,207.45,192.36,67.78,642.37,244.87,339.398,422.951,83.5487,382.23,0.0820527,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.9927,-87.738,232.006,458.09,332.04,297.59,160.5,751.18,327.5,229.611,305.552,75.9315,293.09,0.0483143,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.3917,-88.1527,212.527,293.09,229.38,213.67,79.42,677.48,267.79,276.787,356.683,79.891,384.39,0.082815,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
