# Drug name and concentration: 13: Cisapride at 65μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.8625,-88.1548,192.045,655.27,481.8,400.4,254.87,797.42,232.76,367.762,450.555,82.7834,142.15,0.0216264,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,47.171,-88.1601,349.155,744.92,476.31,374.91,370.01,1004.55,403.6,176.619,251.879,74.0255,259.63,0.031242,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.8409,-88.1822,291.127,856.88,579.91,424.11,432.77,1091.66,342.18,219.954,299.761,79.7906,234.78,0.0129234,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,40.054,-88.138,168.57,1378.98,1191.51,1009.13,369.85,1653.14,1015.71,137.989,203.894,68.6586,274.16,-0.0162658,1,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,42.0259,-87.8478,319.767,887.59,638.67,433.51,454.08,1230.11,772.35,123.359,198.116,74.7429,342.52,0.0309839,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,41.7157,-87.8781,169.356,948.83,559.25,425.72,523.11,1012.98,230.94,389.788,467.496,77.6887,64.15,0.000618913,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,36.2288,-87.8492,162.463,681.94,505.79,406.83,275.11,931.47,372.11,187.167,265.252,78.0732,249.53,0.0267326,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,40.2716,-87.7536,217.999,725.15,507.78,401.2,323.95,830.72,223.63,428.078,513.349,85.2554,105.57,0.0228732,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,28.5044,-18.9318,79.9961,1658.26,101.57,75.37,1582.89,1407.71,619.18,12.8785,146.358,127.642,-250.55,-0.0392148,1,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,40.5969,-88.14,214.671,787.03,516.85,406.95,380.08,914.63,264.45,290.198,369.127,78.9156,127.6,0.0238138,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,44.1637,-87.7352,322.654,1261.33,988.73,911.65,349.68,1422.65,926.51,211.45,286.632,75.9865,161.32,-0.00396552,1,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,27.2876,-19.3324,79.9931,1615.76,515.8,82.22,1533.54,1949.08,1046.74,15.8193,128.809,112.948,333.32,-0.0624734,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,28.646,-17.9844,79.9932,1265.01,112.18,83.72,1181.29,1980.63,1030.98,10.6437,120.023,109.342,715.62,-0.0610935,1,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,40.4003,-88.0778,249.596,1038.59,614.78,426.37,612.22,1167.36,245.55,315.543,397.377,81.7911,128.77,0.0207999,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,23.7624,-88.2028,80.0311,645.55,445.81,314.07,331.48,229.43,190.75,16.7585,175.907,73.9004,-416.12,0.0552856,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,35.8316,-88.1672,80.0546,648.54,379.63,218.18,430.36,55.81,49.72,0.812739,144.501,66.5125,-592.73,0.0795965,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,40.0882,-87.811,280.455,733.45,505.52,397.5,335.95,878.01,237.21,370.278,459.577,89.2779,144.56,0.03142,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,25.5311,-22.5634,79.9939,1653.94,1853.88,1241.84,412.1,1935.24,1864.31,27.0382,173.147,137.826,281.3,-0.0631483,1,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,43.21,-88.0335,303.873,807.26,466.05,372.37,434.89,922.14,254.25,328.217,411.094,82.8568,114.88,0.029043,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,43.0656,-88.1536,202.22,1267.75,980.84,897.49,370.26,1250.89,172.31,636.808,716.169,79.3595,-16.86,-0.0189055,1,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.8927,-88.0115,368.847,1312.68,1068.41,950.37,362.31,1556.24,1011.79,154.56,227.164,72.5977,243.56,-0.00406538,1,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,43.9381,-16.4932,249.332,1991.27,294.11,247.24,1744.03,1889.69,2000,148.462,214.899,140.804,-101.58,-0.128331,1,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,27.4644,-88.0484,79.9971,709.09,508.56,307.24,401.85,206.92,189.65,3.54245,123.4,62.8457,-502.17,0.081047,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,46.4163,-88.0552,345.002,1182.62,879.91,788.52,394.1,1377.5,779.5,211.575,284.475,72.8876,194.88,-0.0100617,1,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,23.9288,-87.847,80.0223,644.49,487.87,333.83,310.66,256.53,219.03,13.9183,152.489,68.0208,-387.96,0.0720388,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,42.1364,-87.9444,182.379,824.42,536.81,411.78,412.64,958.53,260.48,299.4,377.657,78.2422,134.11,0.00603602,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
