# Drug name and concentration: 7: Cisapride at 18.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.4563,-88.1485,191.224,414.59,331.18,300.45,114.14,649.57,232.77,380.257,464.574,84.311,234.98,0.0507648,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.76,-88.1597,349.512,408.09,317.96,285.46,122.63,828.55,396.01,164.578,239.823,75.2351,420.46,0.0603276,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.5988,-88.1662,290.165,483.78,369.71,325.88,157.9,758.96,298.23,267.616,353.198,85.57,275.18,0.0456849,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,39.0248,-88.1427,169.165,487.53,393.73,352.32,135.21,870.57,419.21,146.967,215.344,68.3703,383.04,0.0422245,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.8298,-87.8323,318.067,541.87,405.39,337.13,204.74,930.88,481.65,141.359,219.845,78.4746,389.01,0.0596824,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,40.4817,-87.861,169.255,453.76,349.06,314.46,139.3,630.55,226.56,429.768,511.676,81.9027,176.79,0.0369068,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,34.8029,-87.8397,161.639,402.24,312.85,279.36,122.88,774.15,334.8,193.432,272.629,79.1877,371.91,0.0602828,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,39.0151,-87.7413,217.072,414.85,323.81,290.89,123.96,620.95,223.67,442.438,530.214,87.7687,206.1,0.0542034,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.865,-87.7363,232.772,722.87,476.19,384.56,338.31,891.97,333.52,235.949,311.215,75.2542,169.1,0.0205615,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,39.2503,-88.1317,213.68,457.31,344.85,311.64,145.67,686.03,253.44,324.726,406.726,81.9931,228.72,0.0538141,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.819,-87.7172,322.236,434.27,310.76,276.16,158.11,761.44,341.86,220.032,299.44,79.3953,327.17,0.0523553,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.8569,-87.9087,312.808,720.01,494.18,391.04,328.97,988.38,435.53,170.211,241.999,71.7758,268.37,0.0331237,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.4422,-88.1187,303.114,718.58,496.27,402.57,316.01,1027.32,558.07,139.98,209.99,70.0012,308.74,0.0300326,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.7483,-88.0526,248.655,491.71,369.47,325.77,165.94,675.62,229.35,394.704,485.518,90.8024,183.91,0.0562162,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
