# Drug name and concentration: 12: Diltiazem at 2550μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6569
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,30.5536,-88.2285,195.84,251.47,190.77,166.56,84.91,983.55,422.92,48.4753,111.39,62.9081,732.08,0.0964015,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,44.7446,-88.2405,358.324,187.16,128.69,108.88,78.28,1054.16,423.69,29.8499,86.1117,56.258,867,0.118438,0,1,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,39.1284,-88.2325,295.2,296.5,213.72,180.69,115.81,1006.94,447.65,47.7619,112.253,64.4837,710.44,0.0944288,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,27.3527,-88.2204,173.322,331.85,264.54,234.83,97.02,1122.6,498.07,30.7286,84.0896,53.3585,790.75,0.0882449,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.7048,-87.9006,322.276,334.44,235.97,191.18,143.26,1087.09,484.35,34.0421,95.794,61.7476,752.65,0.0955868,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,27.7056,-87.9647,173.249,286.7,216.38,191.63,95.07,1016.13,443.11,44.8231,103.785,58.9587,729.43,0.0797398,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,26.3319,-87.9174,164.238,292.61,220.86,191.12,101.49,1069.62,460.51,32.9827,93.9056,60.9193,777.01,0.0828928,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,32.3369,-87.8595,222.089,243.96,177.39,152.41,91.55,992.77,419.39,44.7137,106.012,61.2937,748.81,0.0925829,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,34.3881,-87.8491,237.605,427.59,302.23,261.83,165.76,1118.21,520.53,36.5971,91.9671,55.3693,690.62,0.0681483,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,32.096,-88.1991,219.293,287.58,200.47,172.37,115.21,1009.1,434.73,43.7581,103.932,60.1693,721.52,0.100058,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,41.3004,-87.8387,328.535,226.72,149.93,127,99.72,1072.98,435.94,29.4485,84.7454,55.2966,846.26,0.0954957,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,40.3881,-87.9982,320.697,399.03,278.23,235.69,163.34,1110.47,510.26,36.0547,90.475,54.4192,711.44,0.0910098,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,40.9754,-88.175,310.327,379.42,259.64,220.57,158.85,1109.85,503.67,34.4334,89.3665,54.9309,730.43,0.0962396,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,35.6379,-88.1342,253.704,282.28,193.68,162.13,120.15,968.53,420.46,52.8622,119.341,66.4687,686.25,0.103191,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,35.3354,-88.2121,237.194,345.51,243.71,209.88,135.63,1040.6,472.19,44.321,106.801,62.4737,695.09,0.0850517,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,25.197,-88.1908,150.482,469.34,361.49,320.88,148.46,1120.79,544.85,40.6874,98.7952,58.1039,651.45,0.0629885,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,37.1525,-87.9009,284.039,220.36,146,120.53,99.83,960.16,396.86,47.2567,112.49,65.2248,739.8,0.103985,0,1,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,28.9932,-87.8991,183.044,409.85,314.92,272.32,137.53,1090.27,512.54,41.2918,101.145,59.8503,680.42,0.072983,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,39.9316,-88.104,310.267,246.79,160.55,134.88,111.91,981.36,412.03,46.0477,107.443,61.3892,734.57,0.106943,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,32.3881,-88.2229,209.697,326.26,241.2,209.69,116.57,1011.21,456.66,50.4747,112.603,62.1225,684.95,0.0923656,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,44.7645,-88.0997,378.528,267.3,187.97,155.3,112,1074.47,458.19,32.5675,89.283,56.713,807.17,0.105446,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,36.1962,-88.0895,253.688,282.78,201.04,175.89,106.89,1077.58,460.87,32.9341,87.5284,54.5921,794.8,0.0866666,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,26.0688,-88.0913,162.581,457.2,351.73,310.25,146.95,1175.53,554.25,30.5076,84.5884,54.0786,718.33,0.0681011,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,44.0842,-88.139,357.074,307.75,224.33,192.13,115.62,1072.47,477.64,37.6786,93.8891,56.2079,764.72,0.0909615,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,38.5851,-87.9216,290.319,241.58,164.86,139.67,101.91,1078.94,442.56,29.4392,84.2314,54.7911,837.36,0.102527,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,29.7581,-88.024,185.558,300.97,228.04,200.48,100.49,1038.6,458.92,41.7572,101.595,59.8339,737.63,0.0784359,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,32.819,-88.1369,226.772,347.31,265.12,233.11,114.2,1104.04,497.56,34.5591,88.5313,53.9699,756.73,0.0856941,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,35.4245,-88.2001,246.346,238.57,179.42,155.87,82.7,958.76,411.84,54.9421,119.334,64.384,720.19,0.0976883,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,24.3064,-88.0164,151.127,480.67,346.56,294.1,186.57,1129.91,527.28,33.8599,93.197,59.3341,649.24,0.0788005,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,38.4838,-88.1705,276.556,359.55,243.13,208.67,150.88,1110.26,493.38,32.2609,87.0781,54.8148,750.71,0.0930848,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,36.9841,-87.874,272.487,348.16,243.29,201.85,146.31,997.07,456.08,53.2481,123.288,70.0247,648.91,0.0825838,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,30.4694,-88.1187,190.905,316.97,249.21,220.44,96.53,1051.29,474.17,42.3978,101.185,58.7834,734.32,0.0807939,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,31.9716,-88.1934,215.236,278.24,193.08,162.77,115.47,989.26,425.36,45.6644,111.044,65.3706,711.02,0.101573,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,29.3104,-88.1289,183.409,385.04,304.03,268.85,116.19,1086.94,510.56,41.7802,99.7466,57.9628,701.9,0.0745946,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,40.1248,-88.1611,297.235,220.23,151.94,131.47,88.76,1099.08,442.24,26.4282,78.4324,52.002,878.85,0.107107,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,36.9204,-88.0048,269.331,287.87,208.28,175.01,112.86,1058.13,458.37,35.9684,95.1901,59.2183,770.26,0.0978628,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,43.8637,-88.0389,354.427,298.17,205.17,170.06,128.11,1049.79,460.2,38.9546,98.0223,59.0643,751.62,0.101958,0,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,37.3284,-88.231,270.207,218.18,154.69,130.81,87.37,1020.71,422.49,36.0664,96.4274,60.3554,802.53,0.108962,0,1,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,26.4185,-88.052,166.361,318.23,239.43,211.08,107.15,1011.57,450.31,48.3407,109.383,61.0374,693.34,0.0813004,0,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
