# Drug name and concentration: 1: Diltiazem at 127.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6569
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,34.1642,-88.1855,192.736,209.91,166.89,153.62,56.29,796.82,331.29,132.346,205.932,73.5772,586.91,0.0981457,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,45.0963,-88.2041,353.011,189.24,144.8,131.25,57.99,874.29,367.14,82.4885,146.131,63.6367,685.05,0.113433,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,39.7801,-88.1984,291.695,259.48,199.05,179.29,80.19,838.4,370.5,117.376,192.549,75.1633,578.92,0.094886,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,30.6283,-88.182,170.435,259.19,211.28,194.91,64.28,928.89,412.6,71.397,130.956,59.5548,669.7,0.0921142,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.9037,-87.8637,319.02,307.23,228.92,197.89,109.34,927.61,423.99,80.0517,149.106,69.0486,620.38,0.0969221,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,34.1237,-87.9146,169.965,228.38,178.46,164.73,63.65,803.28,337.12,129.655,199.695,70.0331,574.9,0.0845844,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,28.4041,-87.8893,162.752,213.98,164.15,147.85,66.13,887.79,373.22,77.6005,144.296,66.6902,673.81,0.093335,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,34.7986,-87.7999,218.057,206.54,160.25,146.6,59.94,797.95,331.5,130.849,204.141,73.2838,591.41,0.0958729,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,37.2346,-87.8,234.528,386.49,283.63,254.13,132.36,922.41,439.77,92.9016,158.299,65.3911,535.92,0.0662738,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,34.0221,-88.1724,215.5,232.66,176.36,161.91,70.75,824.75,351.53,116.082,186.653,70.5627,592.09,0.100881,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,41.9042,-87.8062,324.764,202.43,147.26,132.89,69.54,874.7,366.18,82.7756,146.057,63.2771,672.27,0.0973613,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,40.9661,-87.9512,314.972,380.32,284.09,254.34,125.98,935.77,449.76,88.1577,152.138,63.9744,555.45,0.0825609,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,41.8341,-88.1493,305.116,374.06,277.74,249.52,124.54,958.63,461.46,79.4005,142.572,63.1661,584.57,0.0850369,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,37.0334,-88.0904,249.867,256.01,192.1,173.39,82.62,788.6,335.87,147.367,226.814,79.4349,532.59,0.101246,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,37.8614,-88.1891,233.993,309.72,230.96,208.58,101.14,868.83,395.13,108.238,180.659,72.4126,559.11,0.082515,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,34.3805,-88.1594,147.937,406.87,313.05,283.08,123.79,896.56,423.68,107.572,175.254,67.674,489.69,0.0602096,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
