# Drug name and concentration: 7: Dofetilide at 14.7μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.4963,-88.1512,191.854,557.56,426.68,370.15,187.41,715.26,229.94,382.584,466.583,83.9894,157.7,0.0310356,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.9639,-88.1652,350.475,588.14,431.61,364.47,223.67,943.98,486.87,157.711,231.871,74.1497,355.84,0.0375487,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.7609,-88.1745,290.908,666.71,482.09,394.26,272.45,908.95,318.45,241.816,324.537,82.7076,242.24,0.0250032,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,39.8701,-88.1479,169.659,691.25,543.32,438.55,252.7,1014.02,463.93,140.112,207.606,67.4867,322.77,0.0198298,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.9633,-87.8423,319.244,733.68,534.87,404.29,329.39,1088.66,627.81,131.348,207.775,76.4147,354.98,0.0413041,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,41.3883,-87.8609,169.799,645.94,465.55,392.99,252.95,721.77,222.01,444.671,526.46,81.779,75.83,0.0151116,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,35.8047,-87.8438,161.998,570.49,431.23,364.99,205.5,848.02,354.85,196.135,275.304,79.1584,277.53,0.0378384,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,39.9183,-87.7458,217.882,582.28,432.83,366.82,215.46,699.28,219.28,456.301,543.952,87.6385,117,0.0338871,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,29.2514,-87.802,79.9957,801.96,533.17,235.83,566.13,154.43,143.16,2.229,140.38,65.6122,-647.53,0.0843876,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,40.2189,-88.1314,214.408,630.69,444.63,378.66,252.03,780,254.61,314.403,395.365,80.952,149.31,0.0343099,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,44.045,-87.7202,323.404,646.87,418.4,344.91,301.96,877.29,371.71,213.228,291.494,78.2519,230.42,0.0301968,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,28.1499,-24.3842,79.9313,1876.53,1729.54,1693.88,182.65,1828.41,1749.42,33.2936,159.97,122.115,-48.12,-0.0925011,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,34.5885,-24.3368,80.0732,1697.89,1930.83,1884.15,-186.26,2000,1914.69,31.2469,161.744,133.668,302.11,-0.127647,1,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.9806,-88.0625,249.513,691.01,488.48,397.77,293.24,836.59,236.58,359.658,447.199,87.5247,145.58,0.0359713,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,43.2086,-88.1687,233.428,860.06,546.7,421.56,438.5,1031.69,312.74,231.321,309.488,78.1537,171.63,0.00923594,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
