# Drug name and concentration: 13: Mexiletine at 62580μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,37.5281,-88.1597,190.25,216.94,176.14,165.01,51.93,656.78,247.93,302.229,382.617,80.3845,439.84,0.0996617,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.1339,-88.1654,348.794,214.37,171.88,159.78,54.59,778.8,333.41,149.998,223.103,73.0967,564.43,0.105083,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.8975,-88.1679,289.751,253.36,198.73,183.61,69.75,681.39,270.03,263.722,349.128,85.399,428.03,0.104515,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,36.2093,-88.1503,168.232,261.03,213.82,199.61,61.42,812.81,354.31,128.426,194.545,66.1137,551.78,0.0936747,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.4054,-87.8359,317.458,292.35,220.96,196.43,95.92,820.61,367.11,136.177,213.618,77.4327,528.26,0.104764,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,37.6742,-87.886,168.098,231.26,183.58,172.19,59.07,656.06,250.72,303.976,380.594,76.6156,424.8,0.08851,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,31.5071,-87.8692,161.951,186.49,142.38,130.83,55.66,780.73,312.59,136.877,209.677,72.7937,594.24,0.108404,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.9298,-87.7582,215.918,216.65,172.73,161.19,55.46,647.39,244.42,320.696,402.633,81.9328,430.74,0.0967352,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.4651,-87.7382,232.501,383.02,280.84,256.14,126.88,729.27,314.63,226.732,302.047,75.3062,346.25,0.0720448,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.2516,-88.1506,212.714,247.44,193.7,181.34,66.1,673.85,262.13,271.252,350.263,79.0066,426.41,0.0982244,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
