# Drug name and concentration: 1: Mexiletine at 2503.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.0734,-88.155,189.991,234.5,192.05,179.7,54.8,654.23,247.88,311.428,392.414,80.9822,419.73,0.087266,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.2725,-88.163,348.25,225,181.3,168.44,56.56,781.72,337.38,150.923,224.28,73.3495,556.72,0.0974918,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.2066,-88.1654,288.789,283.41,225.46,207.95,75.46,686.73,276.29,267.001,352.81,85.8019,403.32,0.084821,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.0414,-88.1455,168.061,279.93,230.86,215.26,64.67,816.8,360.4,130.614,197.143,66.5233,536.87,0.0813858,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.5463,-87.8262,316.982,323.46,247.74,219.75,103.71,829.53,379.16,138.691,216.792,78.0926,506.07,0.091626,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,38.429,-87.8817,167.816,251.24,201.32,188.38,62.86,650.64,249.52,319.898,397.353,77.4527,399.4,0.0746067,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,32.8347,-87.8562,161.204,208.12,162.4,149.19,58.93,777.92,315.73,144.846,218.914,74.0626,569.8,0.0954917,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.22,-87.7515,215.819,230.76,185.24,172.58,58.18,643.13,243.36,332.853,415.504,82.6477,412.37,0.0876916,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.965,-87.7371,231.967,414.57,306.57,277.98,136.59,730.75,315.35,238.088,314.212,76.1154,316.18,0.0549779,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.5302,-88.1524,212.408,261.08,206.07,192.77,68.31,672.76,262.75,277.077,356.509,79.4276,411.68,0.0888075,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.3201,-87.7545,320.858,228.39,174.83,161.83,66.56,755.68,317.81,170.004,244.551,74.5386,527.29,0.0896711,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.5903,-87.9018,311.685,408.51,308.78,279.54,128.97,792.03,368.32,180.909,254.33,73.4122,383.52,0.0658105,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.056,-88.1192,302.162,403.7,304.72,276.97,126.73,838.12,398.76,146.661,217.802,71.1329,434.42,0.0660158,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.3896,-88.0577,247.038,286.73,223.93,206.38,80.35,633.39,239.41,361.753,451.048,89.2904,346.66,0.0893975,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,40.9473,-88.1641,231.217,339.66,261.35,240.58,99.08,696.64,281.67,265.863,347.973,82.1029,356.98,0.0699036,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,39.7665,-88.1329,146.04,435.8,338.19,309.33,126.47,713.59,279.67,267.552,343.035,75.4773,277.79,0.0465491,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.3465,-87.8075,277.429,209.12,163.25,151.31,57.81,642.23,241.46,325.252,414.08,88.8225,433.11,0.102224,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,38.7188,-87.7926,178.685,392.92,308.96,280,112.92,686.51,268.75,298.427,379.335,80.9019,293.59,0.0622422,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.5861,-88.0381,301.745,264.9,205.42,191.11,73.79,644.24,249.95,330.36,415.514,85.1499,379.34,0.0883905,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,40.9713,-88.1514,203.501,338.84,269.97,249.76,89.08,640.23,241.49,364.501,446.57,82.0654,301.39,0.0671998,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.3558,-88.016,369.409,282.67,224.21,204.84,77.83,809.69,364.8,143.963,217.836,73.8642,527.02,0.0902597,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.6638,-88.0375,247.143,277.58,217.63,202.87,74.71,758.9,325.63,174.871,246.833,71.9544,481.32,0.0735835,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,36.9541,-88.025,158.436,393.59,306.44,279.42,114.17,838.84,387.55,137.03,205.183,68.1468,445.25,0.062185,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,46.0061,-88.0538,347.55,317.55,252.34,232.07,85.48,767.85,343.34,183.613,258.641,75.018,450.3,0.0676063,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,41.7449,-87.8206,282.342,262.89,205.63,190.07,72.82,765.54,328.81,168.669,242.263,73.5859,502.65,0.0892191,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,39.2687,-87.9416,180.744,279.21,223.17,207.27,71.94,676.81,265.52,278.224,356.921,78.6929,397.6,0.07281,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,38.9708,-88.055,219.787,325.19,262.03,243.02,82.17,777.2,344.39,169.372,239.664,70.2849,452.01,0.0699205,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,40.6676,-88.1166,239.359,244.13,201.37,188.41,55.72,619.66,231.92,390.313,475.335,85.0179,375.53,0.0807777,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,33.1724,-87.9508,147.551,373.97,280.21,253.28,120.69,782.52,338.18,171.063,246.511,75.4412,408.55,0.0791096,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,42.7748,-88.138,269.909,366.36,274.66,251.51,114.85,837.23,389.75,136.678,206.811,70.126,470.87,0.0706743,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,39.378,-87.7907,268.189,315.79,238.57,215.05,100.74,658.87,257.59,320.128,414.419,94.2799,343.08,0.0823816,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,40.4934,-88.0268,185.65,316.88,260.51,242.23,74.65,678.75,270.51,286.419,364.201,77.7771,361.87,0.0643996,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,36.0322,-88.1387,209.758,241.25,187.81,173.8,67.45,682.63,263.62,258.526,342.578,84.0475,441.38,0.0991486,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,40.5691,-88.038,177.994,379.87,307.57,283.38,96.49,695.26,277.79,280.232,356.97,76.733,315.39,0.0546614,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,43.9457,-88.1055,288.22,242.87,192.11,179.18,63.69,813.08,358.26,127.211,194.118,66.8996,570.21,0.0869934,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,39.9742,-87.9092,262.959,296.82,236.32,216.4,80.42,748.38,319.21,195.633,274.31,78.668,451.56,0.0860527,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,45.7002,-87.9389,345.95,333.43,257.8,234.06,99.37,742.12,324.75,215.255,295.877,80.6108,408.69,0.0786419,0,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,40.062,-88.1598,262.578,219.78,176.96,164.52,55.26,736.38,300.5,188.006,265.964,77.951,516.6,0.100396,0,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,36.988,-87.9844,161.242,259.02,206.35,192.76,66.26,645.68,245.09,332.419,411.537,79.1151,386.66,0.078357,0,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
72,36.1027,-88.014,125.517,295.21,241.99,225.37,69.84,701.71,281.62,240.952,314.639,73.6826,406.5,0.0744245,0,0,72,0.503281,0.922562,1.47813,0.973099,1.26185,1.34755,1.068,0.966409,0.947625
74,39.3607,-88.0045,237.41,325.18,254.97,236.39,88.79,642.75,249.23,349.566,431.578,82.0073,317.57,0.0727502,0,0,74,0.90717,0.750623,1.47323,0.866747,1.44579,0.806922,0.921863,0.935355,1.39523
75,45.5213,-88.145,334.956,254.08,205.15,191.04,63.04,766.49,332.46,167.911,241.228,73.309,512.41,0.0818746,0,0,75,1.28279,1.21155,0.931139,1.32387,1.48167,1.15726,1.10615,1.41389,1.44653
79,42.0645,-88.0584,278.973,362.28,293.99,269.83,92.45,834.46,393.77,141.37,210.185,68.8077,472.18,0.0679081,0,0,79,1.06072,0.571216,1.00719,0.709194,0.605073,1.47904,1.41872,1.13247,1.25721
80,43.4379,-88.1562,235.492,375.65,301.64,276.97,98.68,789.27,358.7,177.797,249.79,71.9861,413.62,0.0535129,0,0,80,0.86005,1.10285,0.510134,0.705382,0.963019,1.24648,1.1822,1.45642,1.30036
82,40.5115,-87.9044,279.128,209.89,161.87,148.72,61.17,674.52,259.44,265.455,354.344,88.8803,464.63,0.100903,0,0,82,1.10601,1.31209,0.825787,1.36949,1.36911,0.98818,0.546234,0.692542,0.75495
83,41.503,-87.9472,291.116,308.27,237.19,218.71,89.56,786.56,349.71,159.94,232.248,72.2995,478.29,0.0818017,0,0,83,1.15244,0.74375,1.11252,0.961454,0.562099,0.688221,1.23878,0.792966,1.12145
84,38.6968,-88.155,156.735,409.73,321.03,294.11,115.62,830.8,386.44,144.671,211.493,66.8159,421.07,0.0615277,0,0,84,0.582624,0.51337,1.2606,0.58474,0.949424,0.85385,1.43247,1.37475,1.00793
85,41.4655,-88.0966,220.513,314.23,256.83,238.23,76,695.93,283,261.942,340.753,78.8048,381.7,0.0643754,0,0,85,0.819538,1.41684,0.557905,0.947885,1.12879,1.37881,0.892716,1.23513,1.20659
87,37.6684,-87.9893,165.663,390.06,313.36,286.45,103.61,838.45,390.61,138.991,206.584,67.5858,448.39,0.0589353,0,0,87,0.637328,1.12478,1.16767,0.646771,0.64519,1.16263,1.42513,0.899291,0.860695
90,39.6077,-88.0658,246.036,265.87,207.47,189.65,76.22,814.01,356.09,134.812,209.309,74.4887,548.14,0.0867872,0,0,90,0.92098,1.48888,0.524222,1.03661,0.749197,1.03976,0.7872,1.00938,0.657217
91,42.9184,-88.0584,268.695,434.82,316.72,287.66,147.16,738.25,318.99,237.543,313.969,76.418,303.43,0.0564087,0,0,91,1.01725,0.641493,0.811559,0.53389,1.43659,0.525324,1.1647,1.05129,1.44199
92,42.0574,-88.1071,175.851,352.84,291.89,271.54,81.3,737.54,320.24,213.618,283.787,70.1635,384.7,0.0468073,0,0,92,0.660177,1.44311,1.01261,0.855715,1.48739,1.47129,1.45002,1.34922,1.49697
93,39.1793,-88.0942,214.932,340.62,259.61,239.21,101.41,812.02,365.55,145.038,214.944,69.8991,471.4,0.076547,0,0,93,0.796213,0.670936,0.888638,0.828865,0.653642,0.569988,1.20593,1.08953,0.9684
94,37.9165,-87.9512,148.182,240.69,198.77,186.68,54.01,760.35,318.59,161.337,228.251,66.9095,519.66,0.0764088,0,0,94,0.589233,1.45364,1.23322,1.49962,0.953672,1.29103,1.49588,0.853225,1.12562
98,31.1526,-88.1086,134.733,223.98,172.78,159.42,64.56,701.54,267.6,227.173,307.984,80.807,477.56,0.0941588,0,0,98,0.515355,1.37149,1.28372,1.34976,1.23567,0.723209,0.561925,1.06169,0.516209
99,39.8765,-88.0179,177.293,306.88,250.34,233.99,72.89,717.7,300.89,222.021,293.797,71.7718,410.82,0.0684328,0,0,99,0.679416,0.830785,1.04126,1.04566,0.998817,1.12841,1.33357,1.0114,1.32894
102,42.211,-87.9165,316.751,209.67,159.77,144.96,64.71,718.81,289.82,205.9,294.095,88.1838,509.14,0.104981,0,0,102,1.27052,1.37834,0.871271,1.27755,0.614773,1.14797,0.506448,0.702154,0.602509
104,43.6391,-88.1665,301.247,340.58,266.92,246.11,94.47,811.24,373.35,150.449,220.809,70.3519,470.66,0.0663798,0,0,104,1.12627,1.0949,1.04641,0.853186,1.24777,0.836153,1.27744,1.43363,1.37463
105,43.3462,-88.1534,268.201,311.28,246.04,228.54,82.74,765.21,335.51,180.006,253.128,73.115,453.93,0.0722679,0,0,105,0.991271,0.834075,0.624196,1.03307,0.537666,0.777966,1.1304,1.35679,1.34201
106,45.3967,-87.8659,339.194,278.93,211.35,195.1,83.83,637.11,248.09,349.916,437.986,88.0641,358.18,0.0833341,0,0,106,1.41332,0.793247,0.704233,1.08964,1.45539,0.592425,0.7994,0.660343,1.42329
107,48.0913,-88.123,379.233,398.19,304.05,272.53,125.66,781.43,359.6,202.589,283.045,80.4445,383.24,0.0621113,0,0,107,1.481,0.954173,0.742953,0.55713,0.810286,1.14347,0.838236,1.32211,1.29318
108,41.8704,-87.8797,294.042,261.56,210,194.29,67.27,769.21,332.47,166.88,240.501,73.6124,507.65,0.0813684,0,0,108,1.18957,1.46916,1.02358,1.17721,1.28298,1.28542,1.15663,0.72406,1.10261
109,43.7672,-87.8063,349.911,240.33,189.88,175.59,64.74,685.43,275.96,255.957,339.808,83.8437,445.1,0.0969644,0,0,109,1.48651,0.762188,1.47196,1.23847,0.957291,1.1719,0.866485,0.620157,1.14495
