# Drug name and concentration: 8: Ondansetron at 2868μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.2179,-88.1549,191.728,414.4,329.7,298.11,116.29,686.79,256.2,312.751,395.784,83.0243,272.39,0.0560637,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.3137,-88.1704,350.561,409.31,316.82,282.71,126.6,873.71,427.77,134.142,207.005,72.8535,464.4,0.0664297,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.0939,-88.1743,290.949,481.23,365.01,319.43,161.8,801.91,349.94,214.395,297.586,83.1767,320.68,0.052685,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.5238,-88.153,169.701,487.83,394.3,351.66,136.17,915.97,456.56,119.979,186.528,66.5413,428.14,0.0481541,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.5727,-87.8437,319.186,540.98,403.98,334.28,206.7,960.41,503.93,120.637,196.922,76.2745,419.43,0.0637025,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.3223,-87.8665,169.731,455.94,349.47,314.32,141.62,667.84,245.37,353.387,434.173,80.7788,211.9,0.0422644,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.3307,-87.8522,161.942,401.63,311.16,276.51,125.12,820.98,370.43,153.689,230.413,76.7149,419.35,0.0643604,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.964,-87.7508,217.698,417,324.49,290.79,126.21,659.88,244.8,360.29,446.574,86.2749,242.88,0.0582691,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.1871,-87.7482,233.565,708.91,470.68,377.92,330.99,931.75,401.66,181.031,253.977,72.933,222.84,0.0272079,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.9517,-88.1353,214.329,456.78,341.77,307.19,149.59,729.19,292.58,260.37,340.561,80.1813,272.41,0.0589227,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.2945,-87.7339,323.326,433.24,306.94,270.94,162.3,815.82,384.19,168.728,244.91,76.1693,382.58,0.0578517,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.2947,-87.9185,313.997,707.36,493.5,390.35,317.01,1015.6,548.83,139.048,208.906,69.8472,308.24,0.039226,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.6901,-88.1235,304.017,715.85,499.79,403.24,312.61,1058.95,599.16,116.932,185.223,68.2815,343.1,0.0363421,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
