# Drug name and concentration: 9: Ondansetron at 3226.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.2178,-88.1557,191.851,426.75,338.33,304.77,121.98,694.04,258.19,307.744,390.662,82.9092,267.29,0.0545889,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.2979,-88.1715,350.753,424.11,326.93,290.49,133.62,883.78,436.95,132.028,204.706,72.6677,459.67,0.0647394,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.0612,-88.1756,291.186,495.91,374.53,325.94,169.97,814.95,357.16,209.161,291.98,82.8057,319.04,0.0513565,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.4734,-88.1541,169.808,503.67,406.43,360.58,143.09,927.31,466.38,118.096,184.502,66.3988,423.64,0.0465105,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.5681,-87.8455,319.435,556.68,414.86,340.96,215.72,973.32,515.62,118.685,194.692,75.9957,416.64,0.0623343,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.314,-87.8667,169.837,471.14,359.4,321.83,149.31,674.83,246.35,349.518,430.278,80.7529,203.69,0.0406626,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.2886,-87.8533,162.083,416.27,321.9,284.94,131.33,828.76,377.31,151.7,228.321,76.6114,412.49,0.0626416,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.9609,-87.752,217.842,430.82,334.01,298.02,132.8,666.79,246.15,355.799,442.028,86.2198,235.97,0.056677,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.1681,-87.7516,233.71,738.25,486.34,383.37,354.88,959.95,413.41,174.036,246.439,72.3896,221.7,0.0258338,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.9381,-88.1352,214.557,471.09,350.51,313.58,157.51,738.49,296.98,255.034,335.027,79.9828,267.4,0.057509,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.2712,-87.7342,323.566,449.63,316.2,277.66,171.97,825.19,392.31,165.956,241.956,75.9864,375.56,0.0562743,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.2585,-87.9214,314.344,744.2,515.91,397.16,347.04,1050.2,582.79,134.746,204.09,69.3318,306,0.0375556,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.6328,-88.1253,304.144,752.76,522.3,411.39,341.37,1091.76,630.87,114.031,181.935,67.8955,339,0.0344619,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.1031,-88.0614,249.489,506.93,376,327.36,179.57,732.25,264.17,308.674,397.014,88.3254,225.32,0.0591433,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.4961,-88.16,233.86,591.24,417.07,357.07,234.17,851.19,358.47,204.467,283.702,79.2233,259.95,0.0372988,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,39.9381,-88.136,147.359,702.84,503.03,414.79,288.05,906.68,337.48,202.552,275.357,72.7961,203.84,0.0188739,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.2188,-87.8037,279.225,412.46,309.67,274.82,137.64,681.5,264.02,326.557,418.293,91.7209,269.04,0.0699116,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,38.8274,-87.8134,180.24,635.29,471.17,386.86,248.43,860.88,318.72,232.063,310.299,78.2237,225.59,0.0350617,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.3977,-88.0217,303.93,464.53,330.78,293.49,171.04,715.2,284.22,291.778,376.886,85.0948,250.67,0.0607039,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,41.5922,-88.1528,205.4,549.22,408.88,356.89,192.33,743.28,254.98,312.255,393.644,81.3792,194.06,0.0406419,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.4482,-88.0312,372.635,505.79,383.29,329.22,176.57,937.53,486.73,124.319,196.739,72.4091,431.74,0.0579418,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.8691,-88.0149,249.441,531.32,385.96,339.49,191.83,870.7,425.01,156.588,228.372,71.7725,339.38,0.0355361,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,36.8635,-88.0309,159.859,661.39,493.65,410.13,251.26,1004.33,527.47,113.374,179.905,66.5226,342.94,0.0322525,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
