# Drug name and concentration: 12: Quinidine at 16858μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,29.1229,-14.7862,79.9977,2000,121.27,90.22,1909.78,2000,752.67,4.38807,120.981,116.528,0,-0.0737085,1,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,31.1038,-12.2227,79.9974,2000,108.97,80.03,1919.97,2000,1807.4,1.99601,101.968,99.9185,0,-0.0854225,1,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,29.0702,-14.3069,79.9976,2000,124.63,92.5,1907.5,2000,819.99,3.55105,119.217,115.593,0,-0.0769853,1,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,31.4046,-11.9706,79.9974,2000,107.27,78.43,1921.57,2000,2000,1.4503,89.0368,87.5434,0,-0.0883971,1,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,27.9724,-15.5134,79.9986,2000,136.18,99.93,1900.07,2000,962.38,3.53095,111.688,108.088,0,-0.0800849,1,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,30.3788,-13.1708,79.9971,2000,103.98,76.31,1923.69,2000,1174.06,2.7502,108.702,105.889,0,-0.0881666,1,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,26.7354,-18.1238,80.0003,2000,149.63,110.93,1889.07,2000,977.16,6.8963,118.174,111.209,0,-0.0742252,1,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,29.1615,-14.5208,79.9975,2000,113.23,83.53,1916.47,2000,756.75,4.01153,119.432,115.347,0,-0.0843544,1,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,31.6858,-11.0974,79.9969,641.04,93.04,68.07,572.97,2000,2000,1.05871,92.693,91.584,1358.96,-0.100454,1,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,30.1345,-13.3234,79.9973,2000,111.77,82.49,1917.51,2000,1211.18,2.7615,110.209,107.389,0,-0.0806607,1,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,30.2252,-13.4271,79.997,2000,101.3,74.05,1925.95,2000,1193,2.71515,104.527,101.755,0,-0.0897316,1,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
