# Drug name and concentration: 8: Quinidine at 6743.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,26.4594,-20.3653,79.9906,1777.29,132.66,102.62,1674.67,1489.92,646.32,16.8017,166.951,145.648,-287.37,-0.0455967,1,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,28.9759,-17.2746,79.9942,1343.53,120.18,89.83,1253.7,2000,1035.63,8.81647,123.212,114.343,656.47,-0.0649093,1,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,26.6409,-19.1422,80.0014,1922.51,138.74,106.4,1816.11,1751.83,718.63,11.2879,142.072,130.712,-170.68,-0.0587345,1,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,29.8046,-17.0738,80.0018,1431.54,122.86,89.88,1341.66,2000,740.38,8.02697,106.99,98.9202,568.46,-0.0713793,1,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,25.5803,-20.3979,80.0041,1388.9,163.89,123.59,1265.31,1750.5,988.85,12.8363,132.361,119.46,361.6,-0.0690571,1,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,27.7268,-18.442,79.9937,1285.66,113.18,85.21,1200.45,1961.45,1005.77,11.6302,133.706,122.021,675.79,-0.0651984,1,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,38.9289,-87.8712,163.006,1213.66,936.22,525.35,688.31,1445.69,475.23,137.148,210.136,72.9742,232.03,-0.0129594,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,27.0747,-20.0294,79.9932,1773.55,123.22,93.68,1679.87,1589.31,1057.58,15.2618,149.43,134.087,-184.24,-0.0640773,1,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,29.9271,-14.7096,79.9965,2000,97.12,71.01,1928.99,2000,1030.51,3.98045,104.778,100.756,0,-0.0784534,1,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,27.8367,-18.6714,79.9941,1352.02,120.88,91.62,1260.4,1963.7,662.92,11.0483,135.168,124.061,611.68,-0.0592391,1,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,28.0457,-19.2953,79.9908,1340.09,111.12,82.91,1257.18,1593.4,1042.72,13.1957,132.502,119.239,253.31,-0.0666628,1,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,30.8738,-13.1698,79.9967,2000,96.47,70.53,1929.47,2000,1129.8,2.55308,98.3482,95.7533,0,-0.0832852,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,31.309,-12.486,79.997,2000,101.37,74.41,1925.59,2000,1880.98,1.99308,96.8858,94.854,0,-0.082195,1,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,26.988,-17.8047,79.9985,2000,132.82,101.14,1898.86,2000,713.74,8.23429,140.481,132.181,0,-0.0614704,1,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,28.1785,-16.63,79.9979,2000,122.83,92.34,1907.66,2000,720.12,6.31338,125.939,119.571,0,-0.0637749,1,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,29.6282,-15.1588,79.9968,2000,109.63,80.98,1919.02,2000,1047.45,4.42206,108.865,104.401,0,-0.0699445,1,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,25.5156,-20.703,80.0032,1484.9,146.65,114.21,1370.69,1689.18,712.42,14.6543,155.292,140.555,204.28,-0.0613554,1,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,28.4473,-16.3694,79.998,2000,117.09,86.63,1913.37,2000,744.74,5.89085,117.466,111.523,0,-0.0719545,1,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,27.1301,-18.654,79.9974,1612.08,115.96,88.74,1523.34,1896.2,952.55,11.8645,142.907,130.986,284.12,-0.0592761,1,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,28.483,-16.6072,79.9965,2000,114,85.89,1914.11,2000,645.68,7.12382,129.394,122.223,0,-0.0613741,1,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,28.8875,-16.8647,79.9993,1907.49,121.92,90.31,1817.18,2000,722.34,7.32638,116.808,109.429,92.51,-0.070114,1,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,29.7078,-15.6925,79.9963,2000,107.13,78.89,1921.11,2000,1014.74,5.63033,109.509,103.834,0,-0.0726227,1,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,29.4766,-16.1328,79.9989,1919.49,116.19,84.82,1834.67,2000,762.68,5.70313,101.011,95.269,80.51,-0.0733007,1,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,29.0298,-16.9488,79.9981,1210.05,106.02,78.94,1131.11,2000,959.17,8.24682,120.221,111.932,789.95,-0.0644339,1,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,29.2711,-16.1419,79.9967,2000,110.53,81.26,1918.74,2000,696.67,6.05189,112.52,106.419,0,-0.0738954,1,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,27.8,-19.7703,79.9996,1408.07,122.68,92.66,1315.41,1633.92,685.7,13.9117,140.144,126.158,225.85,-0.0630238,1,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,29.2825,-17.0321,79.995,1258.64,108.07,79.66,1178.98,2000,1022.22,8.2497,111.457,103.168,741.36,-0.0675904,1,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,26.439,-19.2544,79.9988,1641.67,128.91,100.11,1541.56,1875.39,983.52,15.573,152.996,137.355,233.72,-0.0606617,1,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,27.321,-19.3537,80.0028,1295.62,143.77,107.01,1188.61,2000,923.77,9.13497,120.244,111.051,704.38,-0.0658408,1,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,30.6395,-13.501,79.9969,2000,105.79,77.62,1922.38,2000,1163.81,2.73422,99.1741,96.3993,0,-0.0780924,1,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,24.7718,-21.3954,79.9939,1695.67,152.39,118.21,1577.46,1965.04,814.04,12.7685,153.74,140.906,269.37,-0.060208,1,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,29.3154,-15.7699,79.9969,2000,115.01,85.22,1914.78,2000,688.92,5.75542,116.908,111.101,0,-0.0713002,1,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,26.2578,-19.7505,79.9933,1698.36,148.47,113.43,1584.93,1978.83,807.72,11.0849,141.58,130.424,280.47,-0.0587158,1,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,29.6231,-15.2988,79.9966,2000,109.22,80.62,1919.38,2000,1016.22,4.96629,111.769,106.757,0,-0.0712756,1,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,28.9657,-17.8076,80.0016,1212.89,108.92,80.82,1132.07,1909.14,1004.7,10.6256,116.966,106.305,696.25,-0.0642262,1,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,27.5611,-17.9572,79.9982,1572.5,129.74,96.93,1475.57,2000,760.94,9.22998,124.991,115.705,427.5,-0.0678797,1,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,28.568,-16.786,79.9963,2000,112.51,83.97,1916.03,2000,667.31,7.09974,124.053,116.903,0,-0.0659046,1,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,26.4887,-19.3653,79.9979,1564.6,145.63,111.12,1453.48,1898.01,1232.44,14.1466,136.988,122.784,333.41,-0.0623508,1,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,27.8179,-18.419,79.995,1365.4,119.66,90.3,1275.1,1971.09,664.88,10.3879,134.523,124.072,605.69,-0.0637396,1,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
72,27.4304,-19.6136,80.0131,1487.28,132.74,99.83,1387.45,1784.99,1201.06,14.9467,129.944,114.949,297.71,-0.0662196,1,0,72,0.503281,0.922562,1.47813,0.973099,1.26185,1.34755,1.068,0.966409,0.947625
