# Drug name and concentration: 10: Ranolazine at 19482μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.7992,-88.1517,191.752,427.63,337.67,304.54,123.09,648.9,231.34,385.892,470.355,84.4567,221.27,0.0604187,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.712,-88.162,350.26,434.84,333.66,296.74,138.1,838.31,405.42,165.209,240.451,75.2315,403.47,0.0634385,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.3766,-88.1667,291.303,483.67,362.22,317.19,166.48,749.92,294.17,273.987,359.938,85.9366,266.25,0.0629305,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.4215,-88.1466,169.519,509.7,407.96,361,148.7,878.63,422.92,147.461,215.78,68.311,368.93,0.0500637,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.7539,-87.8414,319.318,544.46,400.25,328.79,215.67,929.2,479.68,141.014,219.309,78.282,384.74,0.0701753,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.8782,-87.8621,169.706,468.81,354.59,317.4,151.41,632.08,226.21,430.244,512.072,81.8209,163.27,0.048062,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.5247,-87.8483,161.899,404.65,309.74,275.34,129.31,771.16,332.3,193.725,272.801,79.066,366.51,0.0740758,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.6508,-87.7468,217.719,433.29,333.88,297.8,135.49,623.12,222.73,445.945,533.795,87.8425,189.83,0.0602519,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.378,-87.7364,233.528,756.09,480.72,378.65,377.44,915.77,344.68,225.833,300.307,74.4592,159.68,0.0333268,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.877,-88.1265,214.215,482.57,357.32,320.27,162.3,690.95,252.01,327.588,409.641,82.045,208.38,0.059362,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.63,-87.7134,323.387,446.99,310.73,274.66,172.33,764.24,343.66,217.216,296.325,79.0949,317.25,0.0641006,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.8443,-87.899,313.204,1302.77,1049.26,947.8,354.97,1495.74,938.14,194.441,266.29,73.1966,192.97,0.0110453,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.3094,-88.1265,303.459,894.06,559.76,411,483.06,1183.18,719.29,132.048,200.639,68.573,289.12,0.0322548,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.6572,-88.0538,249.39,518.8,383.18,333.99,184.81,688.6,229.26,394.486,485.134,90.634,169.8,0.0601111,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.4614,-88.1469,233.626,587.22,410.4,353.72,233.5,787.29,284.45,269.494,351.327,81.8211,200.07,0.0466628,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,40.3523,-88.1269,147.131,707.52,499.18,412.97,294.55,853.86,277.89,261.653,336.239,74.577,146.34,0.0279239,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.6521,-87.795,279.488,416.88,311.61,277.17,139.71,634.75,228.93,417.024,511.454,94.4174,217.87,0.0733798,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,39.3528,-87.8054,180.221,642.19,471.04,387.51,254.68,811.37,264.18,301.169,381.494,80.3126,169.18,0.0402948,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.8645,-88.0107,303.437,475.88,337.69,300.56,175.32,666.86,240.25,377.909,465.533,87.6117,190.98,0.0614324,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,42.273,-88.1466,205.093,561.35,415.94,363.32,198.03,698.46,227.8,398.674,481.758,83.0754,137.11,0.0421975,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.6469,-88.024,372.533,502.66,376.85,323.76,178.9,894.9,454.37,149.546,224.255,74.6974,392.24,0.0634966,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.942,-87.9972,248.982,530.56,380.86,336.45,194.11,808.05,359.88,204.707,278.95,74.2309,277.49,0.0444168,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,37.5372,-88.022,159.543,662.07,485.69,399.9,262.17,956.15,454.38,139.902,208.153,68.2422,294.08,0.0408188,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,46.1969,-88.0564,350.613,512.68,372.51,323.19,189.49,841.3,395.49,189.133,264.458,75.3127,328.62,0.0488463,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,42.1767,-87.8118,284.595,505.52,370.19,321.82,183.7,814.03,368.84,200.909,277.413,76.4911,308.51,0.0570551,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,40.1402,-87.9349,182.404,482.97,363.28,322.23,160.74,688.6,249.45,336.082,417.592,81.5008,205.63,0.0506358,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,39.9479,-88.0532,221.586,536.6,405.56,352.56,184.04,843.03,382.52,181.989,253.212,71.2128,306.43,0.0471184,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,41.2024,-88.1166,241.699,438.79,348.57,313.62,125.17,618.33,213.6,475.009,563.513,88.4958,179.54,0.0541066,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,33.9059,-87.9463,148.654,627.2,443.57,370.16,257.04,872.44,373.16,176.343,252.002,75.6482,245.24,0.0566521,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,43.2138,-88.1144,271.967,703.23,473.15,388.84,314.39,996.71,528.88,136.063,205.865,69.7923,293.48,0.0396483,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,39.5086,-87.7985,270.333,524.53,367.73,310.71,213.82,733.52,262.9,328.234,422.391,94.1369,208.99,0.0646139,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,41.6206,-88.033,187.62,552.06,430.92,377.81,174.25,745.28,253.86,319.939,399.005,79.056,193.22,0.0360433,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,36.3222,-88.126,211.51,472.5,354.63,314.16,158.34,711.23,264.29,301.303,388.071,86.7564,238.73,0.0689926,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,41.427,-88.045,179.215,619.98,467.94,397.59,222.39,805.95,268.67,287.047,363.586,76.5298,185.97,0.0316128,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,44.471,-88.083,290.137,457.82,336.37,300.51,157.31,854.52,417.04,146.526,216.128,69.5929,396.7,0.0569393,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,40.2671,-87.9193,264.956,513.13,389.83,334.17,178.96,822.23,357.52,208.332,287.866,79.5194,309.1,0.0595645,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,45.974,-87.9475,347.931,546.53,384.21,324.87,221.66,841.17,366.79,213.964,294.02,80.0417,294.64,0.0554416,0,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,40.3932,-88.1591,265.397,430.33,336.28,300.44,129.89,774.32,339,214.808,295.108,80.2879,343.99,0.0686401,0,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,38.6925,-87.9637,162.971,483.68,365.22,326.02,157.66,635.2,223.04,431.9,514.983,83.0761,151.52,0.0510992,0,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
72,37.3882,-88.015,126.641,498.04,392.87,348.94,149.1,723.47,267.08,285.673,361.61,75.9289,225.43,0.0495539,0,0,72,0.503281,0.922562,1.47813,0.973099,1.26185,1.34755,1.068,0.966409,0.947625
74,40.1757,-87.9912,239.028,539.71,390.28,342.14,197.57,684.31,234.53,389.683,473.215,83.5226,144.6,0.0496156,0,0,74,0.90717,0.750623,1.47323,0.866747,1.44579,0.806922,0.921863,0.935355,1.39523
75,45.799,-88.1401,336.944,441.07,332.41,296.51,144.56,810.83,382.62,183.179,258.019,74.8283,369.76,0.0570714,0,0,75,1.28279,1.21155,0.931139,1.32387,1.48167,1.15726,1.10615,1.41389,1.44653
79,42.3385,-88.0674,280.594,665.49,509.01,408.75,256.74,1015.18,541.74,139.15,207.405,68.2458,349.69,0.0364446,0,0,79,1.06072,0.571216,1.00719,0.709194,0.605073,1.47904,1.41872,1.13247,1.25721
80,43.973,-88.1614,237.298,614.21,453.66,381.76,232.45,914.44,405.54,175.936,247.401,71.4551,300.23,0.0327779,0,0,80,0.86005,1.10285,0.510134,0.705382,0.963019,1.24648,1.1822,1.45642,1.30036
82,40.7358,-87.8982,281.488,392.68,287.58,254.17,138.51,678.78,266.41,318.622,411.666,93.0281,286.1,0.0785547,0,0,82,1.10601,1.31209,0.825787,1.36949,1.36911,0.98818,0.546234,0.692542,0.75495
83,41.8303,-87.9304,293.677,592.53,419.45,356.89,235.64,886.9,419.96,172.119,245.505,73.374,294.37,0.049527,0,0,83,1.15244,0.74375,1.11252,0.961454,0.562099,0.688221,1.23878,0.792966,1.12145
84,39.6604,-88.1525,157.842,697.74,510.86,413.05,284.69,977.86,445.97,143.529,210.031,66.4944,280.12,0.0352822,0,0,84,0.582624,0.51337,1.2606,0.58474,0.949424,0.85385,1.43247,1.37475,1.00793
85,42.2383,-88.1024,222.578,509.25,391.73,344.79,164.46,750.77,276.33,281.397,361.026,79.619,241.52,0.0438886,0,0,85,0.819538,1.41684,0.557905,0.947885,1.12879,1.37881,0.892716,1.23513,1.20659
87,38.3059,-87.9966,166.799,677.54,521.4,421.77,255.77,987.04,460.61,140.498,207.988,67.4798,309.5,0.0344837,0,0,87,0.637328,1.12478,1.16767,0.646771,0.64519,1.16263,1.42513,0.899291,0.860695
90,39.7504,-88.0657,248.365,482.27,359.45,311.93,170.34,871.74,422.72,147.607,223.723,76.1038,389.47,0.0645139,0,0,90,0.92098,1.48888,0.524222,1.03661,0.749197,1.03976,0.7872,1.00938,0.657217
91,43.1397,-88.0547,269.93,731.35,447.28,365.12,366.23,901.12,348.13,221.37,296.003,74.6201,169.77,0.0371689,0,0,91,1.01725,0.641493,0.811559,0.53389,1.43659,0.525324,1.1647,1.05129,1.44199
92,42.7589,-88.111,177.154,546.51,423.42,371.43,175.08,800.98,319.04,229.248,300.096,70.8408,254.47,0.0294555,0,0,92,0.660177,1.44311,1.01261,0.855715,1.48739,1.47129,1.45002,1.34922,1.49697
93,40.1873,-88.0712,216.654,637.6,447.12,377.75,259.85,923.34,442.1,151.973,222.438,70.4546,285.74,0.0453436,0,0,93,0.796213,0.670936,0.888638,0.828865,0.653642,0.569988,1.20593,1.08953,0.9684
94,39.0956,-87.9429,149.652,461.25,367.84,332.15,129.1,765.55,329.6,217.318,288.201,70.8743,304.3,0.0460889,0,0,94,0.589233,1.45364,1.23322,1.49962,0.953672,1.29103,1.49588,0.853225,1.12562
98,32.1419,-88.0886,135.718,422.11,313.63,280.13,141.98,688.61,261.63,291.509,376.638,85.1208,266.5,0.0745479,0,0,98,0.515355,1.37149,1.28372,1.34976,1.23567,0.723209,0.561925,1.06169,0.516209
99,41.1072,-88.0131,178.911,539.48,414.58,365.98,173.5,769.13,294.19,257.014,330.595,73.5723,229.65,0.0383236,0,0,99,0.679416,0.830785,1.04126,1.04566,0.998817,1.12841,1.33357,1.0114,1.32894
102,42.457,-87.9193,318.817,405.91,297.15,257.81,148.1,751.66,330.33,233.778,324.979,91.1822,345.75,0.0814292,0,0,102,1.27052,1.37834,0.871271,1.27755,0.614773,1.14797,0.506448,0.702154,0.602509
104,43.803,-88.157,303.905,570.51,407.09,350.15,220.36,902.84,452.55,153.956,224.541,70.576,332.33,0.0449766,0,0,104,1.12627,1.0949,1.04641,0.853186,1.24777,0.836153,1.27744,1.43363,1.37463
105,43.7167,-88.1395,270.62,583.85,424.6,368.06,215.79,870.64,391.06,188.231,261.768,73.5262,286.79,0.0386577,0,0,105,0.991271,0.834075,0.624196,1.03307,0.537666,0.777966,1.1304,1.35679,1.34201
106,45.6842,-87.8377,342.074,495.13,333.18,292.87,202.26,668.71,239.15,394.188,484.549,90.3465,173.58,0.0585285,0,0,106,1.41332,0.793247,0.704233,1.08964,1.45539,0.592425,0.7994,0.660343,1.42329
107,48.2562,-88.1342,381.529,661.12,439.19,358.86,302.26,965.51,423.22,184.619,262.38,77.7477,304.39,0.0429132,0,0,107,1.481,0.954173,0.742953,0.55713,0.810286,1.14347,0.838236,1.32211,1.29318
108,42.0954,-87.8817,296.212,455.69,345.23,303.75,151.94,805.04,372.74,191.976,268.003,76.013,349.35,0.0587138,0,0,108,1.18957,1.46916,1.02358,1.17721,1.28298,1.28542,1.15663,0.72406,1.10261
109,44.1202,-87.8062,352.264,441.84,327.57,288.29,153.55,717.5,292.34,294.429,381.085,86.6394,275.66,0.0682128,0,0,109,1.48651,0.762188,1.47196,1.23847,0.957291,1.1719,0.866485,0.620157,1.14495
110,46.7927,-88.1134,350.523,460.77,327.18,290.97,169.8,729.87,299.97,278.61,363.611,84.9861,269.1,0.0584778,0,0,110,1.34455,1.30215,0.706253,1.40551,1.01336,0.653893,0.763957,1.25752,1.36685
111,39.4795,-87.8959,268.583,455.81,338.03,297.83,157.98,736.58,302.45,262.214,346.094,83.8666,280.77,0.0670563,0,0,111,1.05269,1.09308,1.23614,1.16353,1.0521,0.972961,0.806263,0.71243,0.89292
112,44.5159,-88.094,330.394,563.07,378.52,313.58,249.49,867.36,401.3,192.77,277.262,84.4758,304.29,0.0653734,0,0,112,1.24881,1.11978,0.658592,0.575272,1.0573,0.919553,0.557098,1.10098,0.731307
