# Drug name and concentration: 9: Ranolazine at 17533.8μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.7447,-88.1515,191.682,418.48,331.27,299.51,118.97,647.12,231.93,384.327,468.735,84.4018,228.64,0.0613954,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.6927,-88.1617,350.244,423.83,326.4,291.21,132.62,833.14,400.7,165.312,240.575,75.2513,409.31,0.0647897,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.3713,-88.1663,291.203,473.87,356.2,313.03,160.84,744.29,293.58,274.833,360.882,86.0363,270.42,0.0636434,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.3797,-88.1463,169.463,497.9,399.3,354.91,142.99,872.65,419.71,147.488,215.819,68.3233,374.75,0.0512458,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.7465,-87.8405,319.169,533.51,393.12,324.61,208.9,921.79,473.12,141.437,219.825,78.3753,388.28,0.070977,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.8314,-87.8626,169.648,457.67,347.38,311.94,145.73,630.63,227.03,427.054,508.783,81.7224,172.96,0.0490542,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.5039,-87.848,161.84,394.88,302.83,269.91,124.97,769.31,330.96,192.714,271.709,78.9845,374.43,0.0749712,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.599,-87.7467,217.636,423.01,326.86,292.45,130.56,621.59,223.48,442.916,530.655,87.7314,198.58,0.0613314,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.3395,-87.7337,233.684,728.36,468.9,375.4,352.96,891.94,339.77,229.957,304.809,74.8382,163.58,0.034328,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.8183,-88.1271,214.141,471.57,350.65,315.28,156.29,687.33,252.42,327.214,409.269,82.0471,215.76,0.0604623,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.6178,-87.7143,323.275,435.53,304.66,270.2,165.33,761.13,341.91,216.546,295.61,79.0507,325.6,0.065044,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.7796,-87.9145,313.304,801.75,524.79,392.2,409.55,1062.62,455.36,162.37,233.083,70.6945,260.87,0.0378198,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.3045,-88.1205,303.506,791.82,526.93,406.41,385.41,1088.85,620.13,136.282,205.621,69.3281,297.03,0.034302,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.6461,-88.0533,249.313,506.77,375.71,328.82,177.95,681.18,229.08,395.817,486.595,90.7645,174.41,0.0612771,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.4386,-88.1469,233.542,573.91,403.48,349.49,224.42,778.78,283.72,270.82,352.784,81.9521,204.87,0.0474781,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
