# Drug name and concentration: 12: Sotalol at 293728μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.0515,-88.1492,191.586,484.27,379.73,337.99,146.28,671.78,229.84,386.634,471.092,84.4504,187.51,0.040235,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.882,-88.1617,350.127,489.21,371.88,326.2,163.01,871.1,432.73,163.129,238.125,74.9851,381.89,0.0485549,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.6849,-88.1697,290.612,568.06,423.59,362.26,205.8,821.03,305.51,256.609,340.994,84.373,252.97,0.0348744,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,39.4989,-88.1448,169.474,577.11,459.81,397.47,179.64,922.92,440.55,145.708,213.896,68.1799,345.81,0.0306513,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.9044,-87.8373,318.843,632.42,467.08,373.11,259.31,1000.61,543.94,137.044,214.644,77.5888,368.19,0.0501652,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,41.0009,-87.8586,169.555,541.28,405.73,356.23,185.05,654.46,221.99,448.352,530.731,82.3715,113.18,0.0256039,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,35.3493,-87.8407,162.029,483.35,371.1,324.03,159.32,800.47,344.1,198.075,277.597,79.5124,317.12,0.0485283,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,39.5206,-87.7421,217.524,493.41,377.48,331.04,162.37,642.48,219.41,459.584,547.872,88.2775,149.07,0.0436226,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.2162,-87.7619,230.545,1295.35,1005.6,916.79,378.56,1325.33,239.29,334.961,409.676,74.7134,29.98,-0.0110329,1,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,39.7995,-88.1296,214.102,538.2,394.09,347.75,190.45,719.71,251.86,324.178,405.975,81.7878,181.51,0.0435349,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.941,-87.7143,322.809,528.32,362.04,312.51,215.81,799.12,353,222.437,301.861,79.4109,270.8,0.0409925,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.9445,-87.9207,309.493,1350.81,1011.83,886.91,463.9,1495.47,846.81,199.337,270.534,71.1771,144.66,-0.00640686,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.4968,-88.1399,299.204,1368.84,1054.53,938.65,430.19,1531.51,932.93,173.415,244.429,71.0086,162.67,-0.0147782,1,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.8638,-88.0564,249.14,581.5,425.82,364.06,217.44,738.67,231.56,381.674,471.262,89.5738,157.17,0.0458116,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,42.8573,-88.159,233.336,687.03,470.74,392.84,294.19,875.09,294.05,252.799,333.233,80.4221,188.06,0.0205415,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,41.6539,-88.1396,146.84,857.5,581.79,444.88,412.62,999.48,289.75,241.676,314.792,73.106,141.98,0.00182304,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.8541,-87.7938,279.371,480.88,358.28,313.75,167.13,664.96,227.51,417.454,511.679,94.2093,184.08,0.0560345,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,40.2305,-87.8051,180.024,746.87,536.24,418.22,328.65,911,270.66,286.307,365.347,79.0272,164.13,0.0215219,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,43.0256,-88.0145,303.394,529.47,369.8,324.31,205.16,696.19,240.42,373.735,460.973,87.2259,166.72,0.0475761,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,43.0169,-88.1486,204.925,623.53,452.8,387.76,235.77,748.65,229.34,389.09,471.518,82.4186,125.12,0.0271036,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.7725,-88.0222,371.878,581.95,432.99,362.53,219.42,955.78,506.91,145.8,219.959,74.1481,373.83,0.0428418,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,43.0926,-88.0063,248.898,629.42,445.07,380.92,248.5,873.57,374.79,201.968,275.883,73.9033,244.15,0.0165359,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,38.8396,-88.0253,159.376,775.06,567.55,437.88,337.18,1051.03,477.43,134.555,202.237,67.6735,275.97,0.01733,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
