# Drug name and concentration: 7: Sotalol at 102804.8μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.0252,-88.1487,190.968,373.99,301.35,275.85,98.14,644.19,236.31,371.393,455.339,83.9416,270.2,0.0577072,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.6749,-88.1592,349.182,364.29,287.05,260.38,103.91,812.06,379.03,163.69,238.844,75.1446,447.77,0.0678045,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.5378,-88.1648,289.859,437.56,338.55,302.52,135.04,732.71,295.39,271.751,357.786,86.023,295.15,0.0526992,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.6871,-88.142,168.936,439.2,357.23,324.02,115.18,850.41,404.04,145.81,214.086,68.2698,411.21,0.0496849,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.7935,-87.8297,318.31,491.32,370.19,313.74,177.58,898.11,452.07,142.824,221.633,78.7981,406.79,0.0657472,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,40.1098,-87.8641,169.057,405.84,316,287.91,117.93,628.4,231.36,411.075,492.333,81.2535,222.56,0.0441519,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,34.4423,-87.8403,161.433,356.4,278.79,251.43,104.97,766.86,327.88,187.234,265.882,78.6404,410.46,0.0676996,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.666,-87.742,216.769,371.17,292.44,265.63,105.54,619.36,228.23,424.246,511.273,87.0214,248.19,0.0609097,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.6387,-87.729,232.782,633.59,432.63,365.19,268.4,821.62,321.37,247.177,323.473,76.2856,188.03,0.027267,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.8534,-88.1347,213.364,412.06,315.23,287.91,124.15,675.28,256.66,320.489,402.321,81.8257,263.22,0.0605373,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
