# Drug name and concentration: 4: Terfenadine at 36μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 19
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 700
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.5004,-88.1521,191.363,392.16,314.4,286.27,105.89,669.69,249.05,330.953,414.326,83.3658,277.53,0.0566876,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.4201,-88.1665,350.011,382.11,298.54,268.7,113.41,849.51,407.22,142.337,215.89,73.5433,467.4,0.0679843,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.2457,-88.1708,290.457,457.38,350.77,310.31,147.07,774.39,330.8,231.803,315.989,84.1737,317.01,0.0518397,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.944,-88.1489,169.377,459.37,372.7,335.57,123.8,889.76,434.76,127.271,194.354,67.076,430.39,0.0491205,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.6346,-87.8376,318.579,514.39,386.43,324,190.39,934.42,481.67,127.366,204.521,77.1453,420.03,0.0642136,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.6012,-87.8656,169.411,428.68,331.9,300.81,127.87,651.68,240.75,370.789,451.743,80.9474,223,0.0428937,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.8109,-87.8473,161.46,377.03,293.76,263.01,114.02,801.2,354.12,163.043,240.34,77.2887,424.17,0.0651142,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.1834,-87.7468,217.261,391.6,307.13,277.41,114.19,643.45,239.16,379.385,465.919,86.5269,251.85,0.0596804,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.4061,-87.7408,233.27,663.8,447.96,370.05,293.75,880.43,372.47,202.911,277.218,74.2952,216.63,0.0268804,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.2349,-88.1357,213.891,430.51,326.15,295.78,134.73,707.18,279.07,279.125,359.918,80.7839,276.67,0.0599597,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
