# Drug name and concentration: 5: Verapamil at 225μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 499
#   Hill Coefficient: 1.1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 202
#   Hill Coefficient: 1.1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,34.4144,-88.182,192.77,259.83,207.41,190.03,69.8,800.65,342.31,140.238,215.135,74.8876,540.82,0.0889308,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,45.148,-88.2,352.776,241.37,185.9,167.73,73.64,894.25,395.13,85.1338,150.028,64.888,652.88,0.104392,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,39.8332,-88.1969,291.873,318.32,244.44,218.59,99.73,857.73,393.84,118.468,194.262,75.7837,539.41,0.0842129,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,31.1365,-88.1792,170.507,317.08,259.87,238.69,78.39,955.14,444.84,72.2855,132.72,60.4302,638.06,0.0824363,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.9503,-87.8635,319.355,370.36,277.42,237.64,132.72,954.11,455.65,80.7818,150.578,69.7902,583.75,0.0880657,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,34.5793,-87.9076,170.256,283.7,221.45,203.2,80.5,801.76,345.22,141.51,213.242,71.7227,518.06,0.0747661,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,28.5786,-87.885,162.598,261.4,202.47,181.94,79.46,901.6,394.67,80.7489,148.619,67.8643,640.2,0.0860262,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,34.9121,-87.7941,218.274,256.03,199.32,181.35,74.68,797.4,340.45,141.723,216.889,75.1563,541.37,0.0878241,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,37.4274,-87.7932,234.739,460.28,333.04,293.7,166.58,944.9,466.86,94.5283,160.612,66.0765,484.62,0.0564681,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,34.0921,-88.1673,215.654,286.28,216.87,198.04,88.24,834.36,367.49,120.66,192.344,71.6761,548.08,0.0923225,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,41.9335,-87.7971,324.536,259.3,188.68,169.39,89.91,888.33,390.78,87.8093,152.856,65.0418,629.03,0.0880613,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,41.0181,-87.948,315.354,451.39,333.91,294.54,156.85,963.11,480.61,88.4602,152.937,64.4704,511.72,0.0729848,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
