# Drug name and concentration: 1: Bepridil at 31.5μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.425,-87.8787,254.662,293.43,244.09,224.86,68.57,676.66,271.5,288.805,371.947,83.1342,383.23,0.054836,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.9476,-88.0599,269.054,369.31,298.58,269.47,99.84,802.3,366.96,171.358,247.895,76.527,432.99,0.0548132,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.2827,-88.0184,264.133,332.76,277.82,254.56,78.2,803.09,366.67,160.79,233.329,72.5297,470.33,0.0407225,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,41.0011,-87.9575,261.194,318.22,257.92,236.04,82.18,757.97,330.28,193.249,270.204,76.9451,439.75,0.0537748,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.2868,-88.0137,264.691,329.68,269.95,244.2,85.48,835.59,385.6,138.427,211.948,73.5111,505.91,0.0634105,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.2616,-88.0666,269.159,357.81,292.1,264.84,92.97,763.3,337.18,204.286,283.318,79.022,405.49,0.0457409,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,41.8933,-88.0448,265.675,344.01,287.72,263.08,80.93,800.88,366.52,165.451,238.28,72.8205,456.87,0.0335394,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.6354,-88.0563,267.25,296.81,244.15,224.47,72.34,852.54,392.91,119.18,187.361,68.1746,555.73,0.0586781,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.6301,-88.0081,264.352,287.77,235.25,215.27,72.5,746.2,317.22,198.473,278.31,79.8277,458.43,0.0602532,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.6556,-87.9622,260.736,355.84,292.73,264.32,91.52,761.06,334.44,208.154,289.178,81.0125,405.22,0.0379246,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
