# Drug name and concentration: 8: Bepridil at 252μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.2127,-87.8927,256.374,412.82,335.15,299.29,113.53,737.4,306.61,257.21,339.842,82.6191,324.58,0.0325083,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.6294,-88.0733,270.473,493.52,389.48,337.42,156.1,899.09,449.52,143.443,217.922,74.4687,405.57,0.0379736,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.4581,-88.0324,265.643,454.81,370.57,328.04,126.77,887.3,441.74,139.633,210.985,71.3415,432.49,0.0205377,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.6894,-87.9679,262.637,444.88,349.86,309.05,135.83,836.06,396.72,167.233,242.946,75.7011,391.18,0.0330965,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,40.9718,-88.0273,266.047,447.79,360.6,315.31,132.48,915.28,458.68,121.552,193.833,72.2712,467.49,0.0455628,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,41.9601,-88.0807,270.83,473.68,375.61,327.49,146.19,857.81,411.18,167.943,244.773,76.8176,384.13,0.0289759,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,42.2241,-88.0584,267.395,453.52,369.01,325.68,127.84,882.93,437.73,141.711,213.124,71.4036,429.41,0.0164586,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.4454,-88.0635,268.935,431.74,348.59,311.73,120.01,926.57,464.7,109.461,177.371,67.9026,494.83,0.0346645,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.3617,-88.0191,265.692,401.8,320.21,284.05,117.75,815.05,377.39,171.945,250.488,78.5302,413.25,0.0396605,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.6822,-87.9779,262.132,475.38,381.33,331.15,144.23,857.02,407.22,172.802,251.681,78.8654,381.64,0.0192233,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.1256,-88.0822,271.631,471.11,365.67,318.64,152.47,916.73,461.35,122.124,192.872,70.738,445.62,0.0427324,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
