# Drug name and concentration: 9: Chlorpromazine at 310.5μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.3734,-87.8847,255.717,299.65,247.49,227.69,71.96,677.74,272.42,288.458,371.645,83.1787,378.09,0.0560261,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.9162,-88.0641,269.834,376.77,301.82,271.79,104.98,805.14,369.49,170.412,246.891,76.469,428.37,0.0559814,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.196,-88.0244,264.635,338.71,280.7,256.79,81.92,805.3,368.73,160.062,232.556,72.485,466.59,0.042653,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.9371,-87.9637,261.601,324.82,261.07,238.56,86.26,759.8,332.04,192.632,269.568,76.9257,434.98,0.0551347,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.2375,-88.0176,265.282,336.73,273.46,246.89,89.84,837.91,387.89,137.973,211.467,73.484,501.18,0.0642781,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.2061,-88.0717,269.76,364.04,294.57,266.56,97.48,765.79,339.22,203.03,282.002,78.9612,401.75,0.0474979,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,41.8177,-88.0512,266.477,349.09,289.72,264.48,84.61,803.12,368.46,164.406,237.167,72.7524,454.03,0.036147,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.5721,-88.062,268.239,303.6,247.93,227.64,75.96,854.37,394.96,119.08,187.275,68.1877,550.77,0.0599163,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.5713,-88.0141,264.652,293.23,237.8,217.3,75.93,747.51,318.56,197.999,277.83,79.8205,454.28,0.0618973,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.561,-87.9681,261.188,361.02,294.48,265.4,95.62,763.19,336.14,206.838,287.784,80.934,402.17,0.0403919,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.4585,-88.0763,270.807,363.99,288.23,260.15,103.84,839.2,392.48,140.416,212.575,72.15,475.21,0.0587619,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,42.1501,-88.1092,273.009,304.14,246.22,223.81,80.33,783.63,345.51,169.76,247.665,77.8947,479.49,0.0692369,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
