# Drug name and concentration: 13: Cisapride at 65μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.2832,-87.891,256.397,703.56,513.11,406.37,297.19,913.63,260.72,312.501,394.448,81.9327,210.07,-0.00939076,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,42.1427,-88.0712,269.985,850.79,608.63,420.14,430.65,1165.41,450.98,158.562,231.929,73.3526,314.62,0.00264795,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,44.2276,-88.0097,263.55,1105.39,977.42,914.84,190.55,1381.29,928.6,197.465,269.838,73.0267,275.9,-0.0392476,1,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,42.8649,-87.9664,262.345,790.97,547.7,405.55,385.42,1059.91,389.87,194.457,269.572,75.1006,268.94,-0.00770827,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,42.6834,-88.0226,265.83,690.19,523.52,402.55,287.64,1052.28,570.14,142.669,215.718,73.0381,362.09,0.0132264,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,43.8926,-88.0766,270.199,775.95,539.63,404.19,371.76,1068.12,389.62,193.986,270.043,76.0442,292.17,-0.00624867,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,44.4016,-88.0486,266.362,741.5,529.33,398.22,343.28,1068.55,431.42,168.057,239.689,71.6218,327.05,-0.0202827,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,43.9933,-88.0587,268.647,794.27,586.62,428.82,365.45,1156.22,696.74,125.893,194.361,68.4587,361.95,-0.0113483,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,42.1698,-88.0141,265.516,628.08,462.13,372.8,255.28,912.38,360.26,212.315,291.914,79.5861,284.3,0.00377,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,43.7948,-87.9741,261.834,738.61,540.57,413.3,325.31,1033.5,378.28,202.131,280.55,78.4057,294.89,-0.0163889,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
