# Drug name and concentration: 6: Cisapride at 15.6μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.8537,-87.8775,255.266,413.11,337.61,303.8,109.31,678.47,251.92,344.753,430.215,85.4521,265.36,0.0274738,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,41.3656,-88.06,269.501,491.92,388.34,338.37,153.55,841.79,385.09,186.802,264.112,77.2992,349.87,0.032613,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,43.3437,-88.0166,264.517,453.44,369.63,328.94,124.5,823.68,384.18,185.716,259.974,74.2483,370.24,0.0140575,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,41.5136,-87.9528,261.679,443.47,350.17,311.58,131.89,771.68,335.3,225.804,304.697,78.8805,328.21,0.0277747,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.8576,-88.0132,265.061,445.46,358.59,315.01,130.45,860.53,417.57,154.991,229.996,74.9942,415.07,0.0410136,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.7338,-88.0668,269.653,473.28,376.09,330.34,142.94,795.62,340.57,224.787,304.638,79.8395,322.34,0.0229449,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,43.2102,-88.0428,266.046,452.93,368.34,326.75,126.18,820.21,379.54,188.235,262.526,74.2811,367.28,0.00956118,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,42.5546,-88.0505,267.604,427.44,345.15,309.72,117.72,873.09,428.26,137.468,207.886,70.4097,445.65,0.0294016,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,41.0781,-88.0051,264.666,400.23,320.55,286.4,113.83,754.55,325.3,228.861,310.584,81.711,354.32,0.0348751,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,42.5308,-87.9633,261.189,474.51,380.88,332.88,141.63,795.59,335.63,230.911,312.909,81.9848,321.08,0.0138207,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.9768,-88.0692,270.345,469.09,364.04,318.75,150.34,861.83,419.12,156.059,229.463,73.3946,392.74,0.0374218,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,42.6895,-88.1042,272.827,408.96,327.7,291.14,117.82,798.89,364.51,191.117,270.46,79.3317,389.93,0.0446954,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,42.8304,-87.8587,253.781,486.72,389.8,342.43,144.29,766.7,305.39,263.034,341.918,78.8738,279.98,0.00964408,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,43.1714,-87.9691,262.31,489,373.31,327.71,161.29,756.36,300.27,266.845,346.522,79.6669,267.36,0.0126055,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,40.9146,-88.0148,265.532,454.37,361.3,318.9,135.47,835.29,396.12,171.553,245.838,74.2748,380.92,0.0350606,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,42.5714,-87.9427,260.305,406.61,319.61,286.18,120.43,762.47,336.91,216.32,293.621,77.2911,355.86,0.0427461,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,41.7354,-87.901,257.856,477.08,365.84,316.36,160.72,882.47,435.83,143.811,216.891,73.0705,405.39,0.0252858,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
21,40.6063,-87.9183,258.547,440.95,357.57,317.57,123.38,783.98,344.34,217.067,296.186,79.1079,343.03,0.026561,0,0,21,0.921505,1.06391,1.21224,1.07186,0.780669,1.06777,0.965775,0.82739,0.961391
22,42.4878,-88.0204,265.218,394.05,319.74,284.28,109.77,799.64,365.54,186.018,265.074,79.0443,405.59,0.0356433,0,0,22,0.716341,1.06807,0.703671,1.14696,1.14425,1.29532,0.81121,1.03778,0.85743
24,42.3026,-87.8676,255.611,500.12,387.87,336.36,163.76,787.89,327.13,240.59,319.053,78.452,287.77,0.0244354,0,0,24,1.29532,0.817529,0.784918,0.70732,0.933627,0.944758,1.09673,0.735763,1.14416
25,43.1508,-88.0499,267.1,469.65,376.28,328.99,140.66,853.83,408.19,169.932,244.911,74.9686,384.18,0.0153371,0,0,25,1.2427,1.17211,0.997716,0.805043,1.13113,1.24015,1.01595,1.15684,1.01538
26,42.1191,-87.8536,255.166,501.99,387.95,339.02,162.97,742.1,273.58,302.119,384.724,82.594,240.11,0.0204991,0,0,26,1.23639,0.91462,0.798116,0.816288,0.792247,0.787773,0.963238,0.707834,1.16415
27,42.6639,-88.0415,267.092,484.14,386.83,340.47,143.67,832.09,379.9,191.245,266.645,75.3902,347.95,0.0101063,0,0,27,1.14452,1.19292,1.293,0.91499,0.910605,0.998969,1.09078,1.14034,1.13923
28,40.7662,-87.9388,260.143,496.62,388.96,336.53,160.09,918.23,466.67,128.745,199.34,70.5862,421.61,0.0313732,0,0,28,1.08215,0.85268,1.00467,0.71747,0.914475,0.886925,1.21371,0.817162,0.825968
30,42.2162,-87.9551,262.097,426.65,333.29,296.62,130.03,764.98,334.4,222.61,300.805,78.1833,338.33,0.038474,0,0,30,1.097,0.767484,0.844748,1.01332,1.0797,0.816959,1.02856,0.884865,1.11905
32,40.6111,-87.9734,261.685,436.94,354.14,313.68,123.26,808.3,369.74,191.635,268.921,77.2756,371.36,0.0315473,0,0,32,0.789063,0.966402,1.26303,0.970787,0.938576,1.15059,0.974893,0.936304,0.941136
33,42.5604,-87.997,263.679,414.5,342.24,308.28,106.22,663.65,236.44,380.243,468.432,88.1785,249.15,0.0199495,0,0,33,0.750712,1.20696,1.03387,1.2762,0.861783,1.27134,0.716745,1.05283,1.23934
35,41.2209,-87.8439,253.149,484.27,384.32,336.21,148.06,701.83,245.28,360.639,446.015,85.3647,217.56,0.0212596,0,0,35,1.20112,0.970467,1.24295,0.734576,1.04501,1.10247,0.893425,0.720147,1.20447
36,42.8857,-88.0625,268.108,399.36,327.09,292.72,106.64,851.28,407.5,147.989,222.075,74.0762,451.92,0.0314234,0,0,36,1.16262,1.11148,0.767137,1.28512,0.90081,1.24414,0.970821,1.165,0.900677
37,43.6268,-88.0784,269.83,439.34,345.93,308.76,130.58,833.47,397.01,167.597,241.33,73.7243,394.13,0.0175323,0,0,37,0.739248,1.21866,0.920536,1.22788,0.97928,0.724012,1.11896,1.19254,1.12618
38,42.8662,-88.084,270.801,449.32,359.09,319.41,129.91,885.91,439.26,136.65,207.829,71.1708,436.59,0.0239429,0,0,38,0.729709,1.05851,0.961845,1.10564,0.811333,0.875033,1.15353,1.21064,0.993575
39,44.2899,-88.1233,274.039,535.42,407.53,349.81,185.61,922.57,469.24,145.144,219.764,74.6109,387.15,0.00523011,0,0,39,1.06294,1.27003,0.752569,0.712422,0.923522,0.746652,0.888847,1.28624,0.862813
40,41.2556,-87.8948,255.822,417.05,340.9,305.2,111.85,796.55,367.33,190.519,264.792,74.262,379.5,0.026379,0,0,40,0.856686,1.09947,1.25831,1.19708,1.03643,1.17594,1.27196,0.823172,1.1284
