# Drug name and concentration: 12: Dofetilide at 42μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.3065,-87.8913,256.367,717.92,519.14,408,309.92,928.49,261.66,310.124,391.818,81.6793,210.57,-0.0103077,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,42.1768,-88.0716,269.931,890.54,627.19,420.83,469.71,1204.06,454.63,156.498,229.523,73.0095,313.52,0.00145011,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,43.8473,-87.9967,262.392,1088.74,960.2,899.51,189.23,1301.48,826.08,248.606,322.666,74.0686,212.74,-0.0343213,1,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,42.8942,-87.967,262.23,817.15,558.34,406.8,410.35,1086.17,393.28,192.053,266.844,74.7765,269.02,-0.00882068,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,42.6996,-88.0228,265.833,698.37,528.61,403.98,294.39,1060.07,578.62,142.125,215.087,72.9509,361.7,0.0126443,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,43.9122,-88.0768,270.15,797.53,546.47,405.09,392.44,1089.61,391.87,192.361,268.17,75.7949,292.08,-0.00714743,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,44.4195,-88.0485,266.278,767.13,537.04,398.96,368.17,1094.57,434.36,166.269,237.64,71.3593,327.44,-0.0212762,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,44.0195,-88.059,268.54,825.71,604.87,430.52,395.19,1187.07,730.45,124.533,192.766,68.2228,361.36,-0.0125979,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,42.1951,-88.0144,265.526,634.9,465.74,374.22,260.68,918.64,361.43,211.501,290.999,79.4855,283.74,0.00315273,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,43.814,-87.9743,261.83,748.56,545.53,414.53,334.03,1043.56,379.98,201.043,279.318,78.2618,295,-0.0170681,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,42.8456,-88.0771,270.588,755.13,525.44,387.68,367.45,1086.62,598.73,141.117,212.217,71.0907,331.49,0.0118581,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,43.2867,-88.1136,273.659,637.92,474.98,379.84,258.08,968.12,416.34,175.23,252.38,77.1378,330.2,0.0153522,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,43.2707,-87.8438,251.55,1067.84,911.5,827.84,240,1249.05,267.64,286.099,361.401,75.2907,181.21,-0.0369584,1,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,43.2108,-87.9603,259.168,1037.67,867.3,809.49,228.18,1154.31,226,378.133,457.022,78.8832,116.64,-0.0302123,1,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,41.9614,-88.0239,266.017,746.32,541.86,398.4,347.92,1069.68,471.51,153.664,225.411,71.7365,323.36,0.00666526,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,43.3847,-87.9521,261.089,673.06,467.26,368.33,304.73,945.14,376.56,200.58,275.869,75.2758,272.08,0.0133161,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,42.6456,-87.9082,258.199,727.65,507.97,380.76,346.89,1065.53,588.71,133.287,204.613,71.3158,337.88,0.000474747,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
21,42.0922,-87.9316,259.302,748.89,558.69,419.21,329.68,1043.16,398.64,190.08,265.834,75.7409,294.27,-0.00890221,0,0,21,0.921505,1.06391,1.21224,1.07186,0.780669,1.06777,0.965775,0.82739,0.961391
22,43.6595,-88.0284,265.939,598.27,452.43,366.87,231.4,939.19,412.45,176.139,253.691,77.5406,340.92,0.00654851,0,0,22,0.716341,1.06807,0.703671,1.14696,1.14425,1.29532,0.81121,1.03778,0.85743
24,42.2934,-87.8473,252.63,1095.47,927.73,854,241.47,1247.62,251.79,308.631,385.199,76.5591,152.15,-0.0184546,1,0,24,1.29532,0.817529,0.784918,0.70732,0.933627,0.944758,1.09673,0.735763,1.14416
25,44.1868,-88.0559,267.418,708.55,516.62,393.87,314.68,1054.09,473.32,154.679,227.451,72.7628,345.54,-0.010282,0,0,25,1.2427,1.17211,0.997716,0.805043,1.13113,1.24015,1.01595,1.15684,1.01538
26,42.6288,-87.8536,252.831,1139.95,933.72,836.46,303.49,1273.39,242.82,324.325,401.684,77.3462,133.44,-0.0261857,1,0,26,1.23639,0.91462,0.798116,0.816288,0.792247,0.787773,0.963238,0.707834,1.16415
27,43.2044,-88.0262,264.13,1095.7,953.24,888.84,206.86,1305.49,828.53,241.281,315.749,74.466,209.79,-0.0373565,1,0,27,1.14452,1.19292,1.293,0.91499,0.910605,0.998969,1.09078,1.14034,1.13923
28,41.6967,-87.9468,260.538,814.57,597.69,412.82,401.75,1172.43,706.29,116.766,185.228,68.4526,357.86,0.00385508,0,0,28,1.08215,0.85268,1.00467,0.71747,0.914475,0.886925,1.21371,0.817162,0.825968
30,43.0929,-87.9653,262.699,703.81,482.08,373.52,330.29,970.65,376.15,201.071,276.668,75.5831,266.84,0.00979498,0,0,30,1.097,0.767484,0.844748,1.01332,1.0797,0.816959,1.02856,0.884865,1.11905
32,41.827,-87.9835,263.001,687.75,518.83,400.29,287.46,1006.95,419.82,173.765,248.679,74.9014,319.2,0.00185556,0,0,32,0.789063,0.966402,1.26303,0.970787,0.938576,1.15059,0.974893,0.936304,0.941136
33,44.307,-88.0087,264.511,683.76,504.6,407.6,276.16,889.85,243.59,343.635,427.996,84.3489,206.09,-0.0171355,0,0,33,0.750712,1.20696,1.03387,1.2762,0.861783,1.27134,0.716745,1.05283,1.23934
35,41.9672,-87.8428,252.618,935.27,507.47,382.36,552.91,1066.16,220.7,397.056,478.198,80.7966,130.89,0.00746294,0,0,35,1.20112,0.970467,1.24295,0.734576,1.04501,1.10247,0.893425,0.720147,1.20447
36,44.326,-88.0707,268.972,646.36,494.34,396.8,249.56,1023.14,551.8,140.628,213.457,72.8197,376.78,-0.0039655,0,0,36,1.16262,1.11148,0.767137,1.28512,0.90081,1.24414,0.970821,1.165,0.900677
