# Drug name and concentration: 13: Dofetilide at 52.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.3683,-87.8922,256.215,774.91,538.81,412.15,362.76,986.95,264.69,302.138,382.878,80.7222,212.04,-0.013221,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,42.1942,-88.0631,269.038,866.89,584.67,401.49,465.4,1121.12,391.62,177.738,252.841,73.8858,254.23,0.00558027,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,43.9012,-87.9963,261.922,1075.47,940.49,872.68,202.79,1304.18,823.43,227.712,301.038,73.3206,228.71,-0.0389311,1,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,42.7037,-87.9594,261.697,1167.26,1002.07,931.56,235.7,1388.31,908.33,223.993,299.055,75.7441,221.05,-0.0256388,1,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,42.7444,-88.0232,265.835,723.64,544.22,407.83,315.81,1084.32,605.74,140.495,213.192,72.6856,360.68,0.0109699,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,43.9913,-88.0774,269.84,910.64,563.89,405.96,504.68,1199.93,400.36,184.575,259.122,74.5121,289.29,-0.0111346,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,44.0447,-88.0324,264.586,1052.94,933.14,877.89,175.05,1331.02,894.28,205.965,278.859,73.3473,278.08,-0.0396017,1,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,43.9351,-88.0499,266.824,853.91,592.41,412.34,441.57,1152.88,682.69,138.125,208.265,68.9956,298.97,-0.0106853,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,42.2643,-88.0151,265.549,655.04,476.21,378.08,276.96,937.41,364.96,209.05,288.248,79.1854,282.37,0.0014124,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,43.8664,-87.9749,261.806,780.61,560.79,417.79,362.82,1075.91,384.92,197.825,275.652,77.8142,295.3,-0.0190701,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,42.8992,-88.0779,270.446,808.44,547.82,390.01,418.43,1137.29,652.85,138.268,208.896,70.6166,328.85,0.00974205,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,43.341,-88.1142,273.668,657.38,485.66,383.79,273.59,986.39,420.23,173.459,250.356,76.8855,329.01,0.0137583,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,43.5093,-87.8507,252.044,1093.17,914.82,805.34,287.83,1290.56,289.8,257.143,331.356,74.2024,197.39,-0.0369885,1,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,43.3528,-87.965,259.252,1041.62,860.27,795.34,246.28,1172.51,238.8,341.409,419.263,77.8439,130.89,-0.0310426,1,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,42.0274,-88.0247,265.907,802.67,571.42,401.17,401.5,1124.85,498.62,149.962,221.147,71.1724,322.18,0.00435549,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,43.4488,-87.9533,261.075,708.49,481.06,371.64,336.85,979.14,382.23,196.533,271.346,74.7987,270.65,0.0113522,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,42.6862,-87.9088,258.178,751.68,520.28,383.27,368.41,1087.18,609.52,131.817,202.901,71.0751,335.5,-0.00100447,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
21,42.1661,-87.9324,259.233,794.13,585.16,423.43,370.7,1089.1,405.91,185.548,260.706,75.1442,294.97,-0.0114238,0,0,21,0.921505,1.06391,1.21224,1.07186,0.780669,1.06777,0.965775,0.82739,0.961391
22,43.7153,-88.0289,265.955,613.47,460.94,370.49,242.98,952.98,415.63,174.745,252.101,77.3449,339.51,0.00506971,0,0,22,0.716341,1.06807,0.703671,1.14696,1.14425,1.29532,0.81121,1.03778,0.85743
24,42.508,-87.853,253.059,1101.4,920.89,835.49,265.91,1271.17,273.04,275.765,351.286,75.5095,169.77,-0.0185645,1,0,24,1.29532,0.817529,0.784918,0.70732,0.933627,0.944758,1.09673,0.735763,1.14416
25,44.2279,-88.056,267.37,737.24,529.89,396.29,340.95,1082.33,486.05,152.712,225.181,72.4594,345.09,-0.0119438,0,0,25,1.2427,1.17211,0.997716,0.805043,1.13113,1.24015,1.01595,1.15684,1.01538
26,42.8538,-87.8598,253.175,1190.48,942.55,812.94,377.54,1336.6,258.16,290.875,366.959,76.0715,146.12,-0.0267657,1,0,26,1.23639,0.91462,0.798116,0.816288,0.792247,0.787773,0.963238,0.707834,1.16415
27,43.362,-88.0304,264.701,1090.86,939.01,864.22,226.64,1319.02,836.35,216.892,290.432,73.5337,228.16,-0.0383706,1,0,27,1.14452,1.19292,1.293,0.91499,0.910605,0.998969,1.09078,1.14034,1.13923
28,41.7508,-87.9474,260.445,877.05,640.11,415.26,461.79,1231.49,767.81,114.216,182.223,67.9964,354.44,0.00145893,0,0,28,1.08215,0.85268,1.00467,0.71747,0.914475,0.886925,1.21371,0.817162,0.825968
30,43.1572,-87.9667,262.627,745.61,497.11,376.43,369.18,1011.44,382.35,196.478,271.514,75.0215,265.83,0.00772037,0,0,30,1.097,0.767484,0.844748,1.01332,1.0797,0.816959,1.02856,0.884865,1.11905
32,41.8863,-87.9841,262.979,713.45,534.16,403.99,309.46,1032.19,424.48,171.355,245.939,74.5722,318.74,8.53032E-05,0,0,32,0.789063,0.966402,1.26303,0.970787,0.938576,1.15059,0.974893,0.936304,0.941136
33,44.3625,-88.0092,264.458,719.07,518.08,411.91,307.16,926.31,244.83,338.429,422.155,83.712,207.24,-0.0195971,0,0,33,0.750712,1.20696,1.03387,1.2762,0.861783,1.27134,0.716745,1.05283,1.23934
35,41.6628,-87.8228,251.088,1055.25,907.47,844.04,211.21,1141.37,195.48,514.483,596.812,82.3293,86.12,-0.0184432,1,0,35,1.20112,0.970467,1.24295,0.734576,1.04501,1.10247,0.893425,0.720147,1.20447
36,44.389,-88.0712,268.986,667.85,507.2,401.64,266.21,1043.08,571.62,139.279,211.893,72.6043,375.23,-0.00589707,0,0,36,1.16262,1.11148,0.767137,1.28512,0.90081,1.24414,0.970821,1.165,0.900677
37,44.7509,-88.0796,269.052,1130.02,970.37,910.12,219.9,1405.64,966.69,175.923,247.691,72.4599,275.62,-0.0386811,1,0,37,0.739248,1.21866,0.920536,1.22788,0.97928,0.724012,1.11896,1.19254,1.12618
38,44.2894,-88.0925,270.844,910.35,627.21,424.86,485.49,1269.55,818.83,120.118,188.46,68.3318,359.2,-0.0167505,0,0,38,0.729709,1.05851,0.961845,1.10564,0.811333,0.875033,1.15353,1.21064,0.993575
39,45.3394,-88.133,274.192,985.14,605.14,418.33,566.81,1320.67,870.62,124.086,195.119,71.0224,335.53,-0.0279348,0,0,39,1.06294,1.27003,0.752569,0.712422,0.923522,0.746652,0.888847,1.28624,0.862813
40,42.7071,-87.9046,256.313,759.28,554.26,401.3,357.98,1072.23,428.14,169.74,241.222,71.4697,312.95,-0.00964655,0,0,40,0.856686,1.09947,1.25831,1.19708,1.03643,1.17594,1.27196,0.823172,1.1284
41,42.5624,-88.0761,270.755,680.97,471.71,368.57,312.4,986.44,434.82,165.733,240.515,74.7718,305.47,0.00982102,0,0,41,0.871109,0.902345,1.10156,1.007,1.23715,0.751594,0.923052,1.13444,0.956678
43,42.4249,-87.9232,258.229,882.36,622.49,407.16,475.2,1217.44,749.14,126.149,194.637,68.4759,335.08,-0.00675958,0,0,43,1.02679,1.01342,1.05075,0.926255,0.993944,0.839068,1.26881,0.794397,0.927704
44,44.9103,-88.052,267.394,866.99,546.82,403.5,463.49,1159.52,408.34,182.271,256.396,74.1105,292.53,-0.0223328,0,0,44,0.965571,1.20915,0.856729,1.06389,0.967914,0.95513,0.935377,1.12134,1.10942
45,42.9791,-87.9357,258.885,1095.32,929.85,863.65,231.67,1187.86,204.05,456.73,537.06,80.3279,92.54,-0.0258185,1,0,45,1.11104,0.831287,0.850596,1.15416,0.758021,0.894735,0.931204,0.900433,1.29381
