# Drug name and concentration: 10: Sotalol at 146864μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.8792,-87.8782,255.374,427.75,348.42,312.25,115.5,683.94,250.95,346.15,431.648,85.4887,256.19,0.0247056,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,41.3915,-88.0607,269.597,507.08,398.85,345.44,161.64,851.97,388.28,185.897,263.094,77.1863,344.89,0.0304736,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,43.458,-88.0172,264.594,468.33,380.21,336.64,131.69,831.69,386.91,185.792,260.034,74.232,363.36,0.0114683,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,41.5414,-87.9532,261.767,459.02,360.86,319.49,139.53,778.97,337.17,225.961,304.835,78.8629,319.95,0.0251847,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.8912,-88.0139,265.137,459.38,368.77,322.35,137.03,867.98,423.82,154.918,229.899,74.9698,408.6,0.0388264,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.8409,-88.0674,269.901,487.34,385.47,336.76,150.58,804.78,342.78,223.834,303.578,79.7318,317.44,0.0207776,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,43.3235,-88.0433,266.105,466.05,377.36,333.08,132.97,827.36,381.8,188.211,262.478,74.2578,361.31,0.00731038,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,42.6732,-88.0506,267.713,443.79,357.08,319,124.79,879.94,435.26,137.967,208.446,70.4706,436.15,0.0264203,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,41.1021,-88.0055,264.743,413.63,330.07,293.69,119.94,759.94,327.14,229.089,310.809,81.708,346.31,0.03238,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,42.6462,-87.964,261.262,488.92,390.85,339.76,149.16,805.2,337.4,230.123,312.01,81.8739,316.28,0.0114695,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
