# Drug name and concentration: 11: Terfenadine at 135μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 19
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 700
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.5182,-87.9,256.967,501.87,398.95,344.7,157.17,806.04,333.75,233.83,315.204,81.3589,304.17,0.0163004,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.552,-88.0791,270.969,583.65,454.25,378.41,205.24,976.78,517.3,130.627,203.804,73.166,393.13,0.0254509,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.965,-88.0375,266.1,545.33,436.09,372.41,172.92,959.51,505.69,129.059,199.523,70.4538,414.18,0.00499487,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.9873,-87.9734,263.17,540.78,415.87,354.2,186.58,908.19,452,152.985,227.576,74.5785,367.41,0.0177176,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,40.9308,-88.0326,266.517,529.87,422.16,357.65,172.22,977.77,516.58,113.339,184.778,71.4288,447.9,0.0329008,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.2715,-88.0862,271.247,558.42,433.81,364.62,193.8,934.32,471.3,151.299,226.704,75.3927,375.9,0.0159661,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,42.7552,-88.0624,267.73,532.19,424.32,361.86,170.33,947.22,493.92,130.945,201.473,70.5193,415.03,0.00251005,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.9416,-88.0671,269.541,531.96,422.43,365.97,165.99,991.46,526.97,103.8,171.288,67.4807,459.5,0.0170283,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.3412,-88.0238,266.126,483.71,378.59,326.34,157.37,873.36,424.83,158.179,235.666,77.4738,389.65,0.024466,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,42.2514,-87.9834,263.13,562.03,442.55,371.15,190.88,936.64,465.8,155.816,233.248,77.4187,374.61,0.00439747,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.0288,-88.0864,272.04,550.89,419.71,353.17,197.72,976.43,515.47,113.604,183.482,69.8691,425.54,0.0318158,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,41.9302,-88.1226,274.504,490.09,385.38,330.67,159.42,917.48,465.17,134.412,209.705,75.2823,427.39,0.0362998,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,42.5691,-87.8834,255.297,579.67,452.06,376.26,203.41,920.27,421.98,171.115,245.429,74.3013,340.6,0.00167028,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,42.8464,-87.9893,263.76,578.65,423.88,353.16,225.49,900.54,412.01,174.19,249.307,75.1055,321.89,0.00639955,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,40.0343,-88.0342,267.019,538.57,421.51,357.57,181,954.95,498.11,122.757,193.34,70.574,416.38,0.0280839,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,41.9073,-87.9644,262.811,487.56,371.62,320.08,167.48,882.24,435.88,147.403,220.683,73.2684,394.68,0.0356115,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,40.9421,-87.9186,258.945,559.02,420.68,350.32,208.7,992.06,526.51,106.492,176.193,69.6923,433.04,0.0176584,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
21,40.0473,-87.9404,259.908,535.04,426.81,364.03,171.01,919.06,462.37,148.96,223.835,74.8634,384.02,0.0156757,0,0,21,0.921505,1.06391,1.21224,1.07186,0.780669,1.06777,0.965775,0.82739,0.961391
22,42.031,-88.0389,266.482,470.99,375.19,322.87,148.12,913.11,460.19,131.99,207.179,75.1779,442.12,0.0259821,0,0,22,0.716341,1.06807,0.703671,1.14696,1.14425,1.29532,0.81121,1.03778,0.85743
