# Drug name and concentration: 12: Quinidine at 16858μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,28.5986,-15.7287,79.9976,2000,119.23,88.44,1911.56,2000,705.03,5.2165,123.16,117.866,0,-0.0777901,1,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,29.4117,-14.3773,79.9975,2000,118.49,87.14,1912.86,2000,1172.36,3.35073,109.155,105.744,0,-0.0788984,1,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,30.191,-14.0562,79.9967,2000,108.9,79.57,1920.43,2000,1087.24,3.292,103.855,100.507,0,-0.0816432,1,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,29.356,-14.7136,79.9972,2000,113.21,83.27,1916.73,2000,1086.25,3.69923,110.679,106.917,0,-0.0799072,1,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,28.7686,-15.6319,79.9974,2000,125.59,92.37,1907.63,2000,784.03,4.93486,110.81,105.816,0,-0.0764468,1,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,29.1158,-15.0126,79.9977,2000,119.08,88.06,1911.94,2000,737.45,4.23203,115.461,111.164,0,-0.0758907,1,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,29.883,-14.9516,79.9961,2000,109.8,80.46,1919.54,2000,1041.56,4.44828,107.478,102.976,0,-0.0773177,1,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,30.3103,-13.7645,79.9968,2000,109.65,79.94,1920.06,2000,1147.76,2.74216,98.7426,95.9503,0,-0.0820333,1,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,27.2951,-17.6308,79.9996,2000,132.38,99.41,1900.59,2000,744.12,8.02257,127.526,119.429,0,-0.0696393,1,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,27.801,-16.6688,79.9976,2000,130.55,97.2,1902.8,2000,765.89,6.41621,123.338,116.845,0,-0.0751441,1,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,29.7409,-14.497,79.9972,2000,112.06,82.22,1917.78,2000,1119.22,3.488,105.193,101.654,0,-0.0768832,1,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,27.9281,-16.6097,79.9978,2000,131.82,98.36,1901.64,2000,763.95,6.34026,122.035,115.629,0,-0.0698281,1,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
