# Drug name and concentration: 2: Chlorpromazine at 69μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.4953,-87.8788,254.513,269.61,224.53,207.72,61.89,668.66,264.91,293.8,376.722,82.916,399.05,0.0608392,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,41.039,-88.058,268.743,345.47,279.93,254.27,91.2,782.8,350.5,180.093,257.121,77.0188,437.33,0.0595568,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.3506,-88.0171,263.846,308.78,258.3,237.93,70.85,786.07,351.73,167.167,239.96,72.7845,477.29,0.0466658,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,41.0806,-87.9577,260.992,294.02,239.03,219.95,74.07,743.46,317.57,200.324,277.472,77.1396,449.44,0.0595342,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.37,-88.0116,264.403,306.49,251.11,228.39,78.1,819,370.79,143.623,217.436,73.8042,512.51,0.0682489,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.3374,-88.0649,269.135,335.03,274.39,250.36,84.67,744.52,322.09,215.247,294.773,79.5163,409.49,0.0508636,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,41.9942,-88.0435,265.731,321.53,269.55,247.84,73.69,783.38,351.59,172.727,245.888,73.1524,461.85,0.0392072,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.7206,-88.0571,267.451,271.06,223.07,205.91,65.15,837.74,378.74,121.948,190.146,68.1914,566.68,0.0649497,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.6993,-88.0081,264.181,264.91,216.95,199.5,65.41,732.92,305.49,205.527,285.551,80.0154,468.01,0.0662341,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.6937,-87.9604,260.488,331.54,273.34,248.4,83.14,742.45,319.34,218.454,299.915,81.4509,410.91,0.04391,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
