# Drug name and concentration: 2: Diltiazem at 255μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6569
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.5266,-87.9423,258.477,225.15,181.69,163.95,61.2,874.75,381.51,92.2939,160.762,68.4609,649.6,0.0770759,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,38.9537,-88.1045,272.097,308.65,246.15,219.58,89.07,949.77,441.8,75.341,140.853,65.5057,641.12,0.0762911,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,39.3815,-88.0688,267.495,275.28,227.47,206.44,68.84,952.96,435.67,70.0852,131.689,61.5989,677.68,0.0644591,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,38.4746,-88.0112,264.302,253.98,201.16,181,72.98,919.93,408.74,76.3745,140.63,64.2503,665.95,0.07543,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,39.072,-88.0605,267.805,268.5,215.58,192.09,76.41,955.32,430.13,66.5105,129.594,63.0788,686.82,0.0830271,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,39.7547,-88.1128,272.453,300.92,242.92,217.62,83.3,936.77,436.67,80.6667,147.839,67.1655,635.85,0.0677636,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,39.2635,-88.0925,269.181,294.45,245.18,222.64,71.81,960.46,447.36,71.3818,133.556,62.1693,666.01,0.0557881,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,39.3801,-88.1024,271.045,232.06,185.84,168,64.06,956.36,415.74,59.3354,117.745,58.4063,724.3,0.0815374,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,38.668,-88.058,267.806,228.65,181.47,162.45,66.2,900.35,392.34,79.8575,146.804,66.9401,671.7,0.079394,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,39.1202,-88.0077,263.462,303.6,247.91,221.6,82,939.86,440.29,80.6504,149.394,68.7355,636.26,0.0562993,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
