# Drug name and concentration: 2: Mexiletine at 5006.4μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.2708,-87.8844,254.967,241.4,200.76,186.38,55.02,667.86,261.92,286.33,368.454,82.1186,426.46,0.0751754,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.8804,-88.0591,269.008,316.51,256.71,234.4,82.11,768.44,337.14,183.62,260.721,77.0911,451.93,0.0722819,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.0203,-88.0212,264.281,277.83,232.45,215.11,62.72,775.14,339.86,167.067,239.548,72.4727,497.31,0.0638085,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.8437,-87.9599,261.241,264.68,215.03,198.73,65.95,736.21,308.98,198.884,275.612,76.7201,471.53,0.0741769,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.1538,-88.0151,264.783,278.81,228.37,208.6,70.21,807.44,358.64,144.598,218.239,73.6316,528.63,0.0800357,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.0795,-88.0669,269.088,305.2,250.34,229.67,75.53,730.81,309.99,219.397,298.954,79.5483,425.61,0.0660819,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,41.675,-88.0478,266.203,290.07,243.42,225.02,65.05,770.8,338.79,173.705,246.649,72.935,480.73,0.0580666,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.4422,-88.0603,267.588,241.2,197.9,183.25,57.95,826.24,365.27,121.598,189.308,67.7038,585.04,0.0798741,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.4566,-88.0125,264.752,235.41,192.27,177.46,57.95,726.3,297.24,203.904,283.443,79.5308,490.89,0.0818942,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.3143,-87.966,261.026,296.16,244.1,223.14,73.02,729.06,306.79,220.261,301.548,81.2769,432.9,0.062734,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
