# Drug name and concentration: 3: Bepridil at 94.5μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.3525,-87.8829,255.2,341.1,281.54,256.77,84.33,693.53,282.79,281.582,364.933,83.341,352.43,0.044676,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.8429,-88.065,269.582,418.52,335.2,298.28,120.24,836.87,396.75,160.371,236.207,75.8254,418.35,0.0470072,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.2899,-88.0235,264.727,381.24,315.59,285.81,95.43,832.26,393.37,153.32,225.557,72.2276,451.02,0.0312512,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.9044,-87.9607,261.775,367.91,294.93,266.71,101.2,783.71,353.36,184.597,261.292,76.6846,415.8,0.0442906,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.1897,-88.0187,265.22,377,306.81,274.29,102.71,864.15,412.3,132.23,205.396,73.1567,487.15,0.0552389,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.1755,-88.0719,269.97,404.02,326.16,291.69,112.33,796.73,363.7,190.066,268.361,78.2833,392.71,0.0377608,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,42.0643,-88.0498,266.557,388.35,321.48,290.31,98.04,830.45,392.66,156.502,228.902,72.3908,442.1,0.0251854,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.5547,-88.0582,268.022,349.68,285.92,260.49,89.19,878.51,418.99,116.152,184.413,68.2537,528.83,0.0479366,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.5448,-88.0116,264.842,333.47,270.21,244.63,88.84,769.53,338.46,189.442,268.988,79.5345,436.06,0.0506711,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.6002,-87.968,261.289,403.97,329.31,293.3,110.67,794.46,360.44,194.883,275.234,80.3384,390.49,0.0289733,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
