# Drug name and concentration: 4: Bepridil at 126μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.3239,-87.885,255.433,359.28,295.45,268.22,91.06,702.36,287.78,276.9,360.183,83.2725,343.08,0.0411785,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.7961,-88.067,269.805,437.49,349.1,308.75,128.74,851.39,409.07,156.192,231.722,75.519,413.9,0.0443731,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.3605,-88.0256,264.955,399.86,329.73,297.08,102.78,844.77,404.56,150.187,222.253,72.0572,444.91,0.0280882,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.8614,-87.9623,262.001,387.19,308.96,277.93,109.26,795.23,363.23,180.729,257.246,76.5059,408.04,0.0410601,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.1457,-88.0207,265.425,395.07,320.69,285.24,109.83,876.08,423.27,129.715,202.7,72.9752,481.01,0.0524502,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.1328,-88.074,270.189,421.73,338.94,301.36,120.37,810.86,374.58,184.645,262.612,77.9555,389.13,0.0351305,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,42.1411,-88.0518,266.766,405.1,333.91,299.94,105.16,842.7,403.3,152.988,225.182,72.1847,437.6,0.02249,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.5147,-88.0593,268.246,370.25,301.89,273.94,96.31,889.5,429.7,114.735,182.963,68.2205,519.25,0.0441815,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.5076,-88.0133,265.049,350.89,283.22,255.21,95.68,779.8,347.48,185.448,264.802,79.3423,428.91,0.047446,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.5867,-87.9703,261.499,422.27,342.95,303.67,118.6,808.87,371.12,189.585,269.618,80.0191,386.6,0.0260359,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.3118,-88.0772,270.664,420.11,330.59,293.49,126.62,878.08,427.31,130.914,202.424,71.5007,457.97,0.0482829,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,42.0881,-88.1114,273.087,359.97,290.5,260.38,99.59,820.06,378.37,157.537,234.747,77.199,460.09,0.0568417,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,42.0277,-87.8681,254.328,430.43,349.29,311.13,119.3,784.27,350.97,210.021,286.809,76.7765,353.84,0.0224107,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,42.3221,-87.9778,262.798,435.72,338.95,301.31,134.41,775.94,342.78,215.005,292.695,77.6786,340.22,0.024467,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
