# Drug name and concentration: 8: Ranolazine at 15585.6μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.2973,-87.8947,256.814,398.57,321.61,289.19,109.38,671.66,254.08,341.456,426.638,85.1702,273.09,0.0537281,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.9542,-88.0696,270.869,478.03,371.8,323.06,154.97,827.76,378.84,188.292,265.628,77.3227,349.73,0.0551313,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.0419,-88.0335,266.255,431.46,348.5,310.42,121.04,810.96,378.12,183.331,257.218,73.8753,379.5,0.0462921,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.9109,-87.9628,263.135,428.45,332.6,295.83,132.62,762.01,331.94,223.983,302.612,78.6155,333.56,0.0543909,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.2771,-88.027,266.476,433.5,344.91,302.13,131.37,850.97,409.14,155.062,229.923,74.8486,417.47,0.0613865,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.1006,-88.0789,271.352,451.38,354.15,311.26,140.12,776.94,333.6,227.2,307.138,79.9242,325.56,0.0514005,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,41.6004,-88.0612,268.138,423.85,342.6,305.22,118.63,803.25,371.59,186.355,260.314,73.9469,379.4,0.0464425,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.5732,-88.0615,269.367,415.67,330.72,296.11,119.56,864.47,419.53,136.713,206.802,70.0793,448.8,0.0565095,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.4708,-88.0188,266.502,379.6,299.13,267.51,112.09,741.19,318.05,230.502,312.191,81.6762,361.59,0.0645791,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.2605,-87.9837,263.47,437.87,347.45,304.6,133.27,769.52,328.38,231.551,313.513,81.9463,331.65,0.0505436,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
