# Drug name and concentration: 9: Dofetilide at 18.9μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.0225,-87.8877,256.455,608.16,465.14,387.63,220.53,817.04,254.32,329.764,413.422,83.6442,208.88,-0.00124767,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,41.9174,-88.0685,270.052,703.42,525.05,406.96,296.46,1020.81,429.87,169.149,244.118,74.9575,317.39,0.0101702,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,44.4093,-88.0237,265.05,666.16,506.49,405.13,261.03,993.74,428.09,172.679,245.229,72.5399,327.58,-0.0128498,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,42.5937,-87.9615,262.42,660.64,483.13,389.17,271.47,931.73,367.52,209.277,286.181,76.8915,271.09,0.000703452,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,42.5122,-88.0206,265.744,621.43,479.76,386.84,234.59,988.8,510.09,147.336,221.118,73.7717,367.37,0.018922,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,43.6959,-88.0744,270.332,664.62,490.53,392.03,272.59,957.12,372.87,204.969,282.495,77.5144,292.5,0.000598491,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,44.2126,-88.0478,266.611,630.47,478.4,386.79,243.68,957.59,413.74,177.505,250.406,72.8909,327.12,-0.0132252,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,43.7315,-88.0559,268.405,654.94,500.04,406.56,248.38,1024.55,560.2,133.07,202.712,69.6336,369.61,-0.00185379,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,41.8933,-88.0116,265.388,567.3,428.44,357.36,209.94,859,349.85,219.519,299.982,80.4506,291.7,0.00997768,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,43.5843,-87.9719,261.797,660.3,498.52,399.38,260.92,954.97,364.16,211.424,291.032,79.5949,294.67,-0.0100013,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,42.66,-88.0746,270.743,650.71,472.38,375.42,275.29,991.49,508.19,147.584,219.701,72.1079,340.78,0.0180772,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,43.0541,-88.1113,273.561,572.58,436.99,362.68,209.9,909.44,402.45,181.323,259.309,77.9748,336.86,0.0216282,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,43.7672,-87.8678,254.062,760.71,536.9,406.54,354.17,1019.56,337.91,229.483,304.841,75.3431,258.85,-0.0163753,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,44.0425,-87.979,262.512,730.93,481.83,377.71,353.22,959.4,325.45,238.733,315.467,76.7215,228.47,-0.010139,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,41.7331,-88.0213,266.082,639.54,480.17,383.86,255.68,968.99,441.42,161.908,234.832,72.9135,329.45,0.0135212,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,43.1432,-87.9485,261.001,583.19,425.17,352.94,230.25,865.14,361.2,210.832,287.278,76.4346,281.95,0.020097,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,42.4739,-87.9059,258.211,651.95,468,369.25,282.7,1000.46,530.32,137.92,209.992,72.0622,348.51,0.00600344,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
21,41.7984,-87.928,259.304,642.69,493.92,399.33,243.36,937.59,378.11,202.435,279.698,77.2513,294.9,-0.00052894,0,0,21,0.921505,1.06391,1.21224,1.07186,0.780669,1.06777,0.965775,0.82739,0.961391
22,43.4161,-88.0265,265.84,543.58,420.18,351.07,192.51,892.24,401.04,180.855,259.064,78.1963,348.66,0.0125492,0,0,22,0.716341,1.06807,0.703671,1.14696,1.14425,1.29532,0.81121,1.03778,0.85743
24,43.085,-87.8774,255.906,756.24,519.15,389.02,367.22,1017.58,365.78,210.405,285.576,75.1561,261.34,0.00300361,0,0,24,1.29532,0.817529,0.784918,0.70732,0.933627,0.944758,1.09673,0.735763,1.14416
25,44.006,-88.0547,267.465,631.54,476.38,382.38,249.16,980.41,449.82,160.532,234.161,73.6196,348.87,-0.00446858,0,0,25,1.2427,1.17211,0.997716,0.805043,1.13113,1.24015,1.01595,1.15684,1.01538
26,43.0636,-87.8674,255.559,806.97,535.29,402.22,404.75,1020.81,299.93,259.188,337.372,78.1673,213.84,-0.00552042,0,0,26,1.23639,0.91462,0.798116,0.816288,0.792247,0.787773,0.963238,0.707834,1.16415
27,43.7089,-88.0488,267.478,707.38,522.24,407.18,300.2,1021.24,424.65,173.845,247.035,73.1796,313.86,-0.0149695,0,0,27,1.14452,1.19292,1.293,0.91499,0.910605,0.998969,1.09078,1.14034,1.13923
