# Drug name and concentration: 12: Mexiletine at 50064μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.7124,-87.9021,256.322,208.83,171.7,159.92,48.91,674.5,262.21,265.688,346.347,80.6529,465.67,0.0978876,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.4803,-88.068,270.129,282.06,226.53,207.68,74.38,759.5,326.4,180.596,257.247,76.6413,477.44,0.0938788,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,41.2809,-88.038,265.552,237.81,196.85,182.93,54.88,770.23,329.96,159.317,230.739,71.4133,532.42,0.0930761,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.2694,-87.9719,262.216,229.2,183.61,170.26,58.94,736.93,304.05,187.317,262.817,75.4917,507.73,0.0980755,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,40.651,-88.0284,265.881,246.4,199.75,183.02,63.38,800.7,348.28,140.612,213.481,72.8603,554.3,0.0992189,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,41.5104,-88.0785,270.458,266.77,216.71,199.73,67.04,723.25,300.52,214.181,293.154,78.9637,456.48,0.0925751,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,40.9386,-88.0656,267.522,246.53,204.82,190.32,56.21,763.12,326.96,166.953,238.952,71.9902,516.59,0.0917077,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,40.8143,-88.0734,269.267,206.44,166.74,154.77,51.67,814.92,348.83,118.609,185.171,66.5553,608.48,0.103458,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,39.9038,-88.0291,266.582,197.84,158.7,146.85,50.99,728.55,292.82,190.354,268.369,78.0068,530.71,0.107061,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,40.5424,-87.9868,262.938,245.33,199.31,183.18,62.15,723.93,296.97,208.726,288.823,80.0862,478.6,0.0956615,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
