# Drug name and concentration: 3: Ondansetron at 1075.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.4464,-87.8815,255.172,346.37,285.75,260.57,85.8,684.19,275.01,297.697,381.588,83.881,337.82,0.0442552,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.9565,-88.0634,269.521,423.66,338.8,301.22,122.44,828.17,390.04,168.569,244.945,76.3645,404.51,0.0465439,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.3854,-88.0219,264.679,385.91,319.07,288.82,97.09,822.01,386.64,161.846,234.644,72.7883,436.1,0.031036,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,41.0239,-87.9586,261.726,373.31,298.91,270.23,103.08,773.23,346,195.602,272.923,77.3101,399.92,0.0439064,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.3208,-88.0172,265.171,381.87,310.41,277.3,104.57,855.75,407.25,138.499,212.202,73.6933,473.88,0.054746,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.2789,-88.0704,269.928,408.62,329.45,294.52,114.1,786.8,354.35,200.802,279.666,78.852,378.18,0.0375666,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,42.1575,-88.0483,266.515,392.09,324.13,292.57,99.52,820.06,385.51,165.049,237.99,72.9316,427.97,0.0253719,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.6951,-88.0565,267.996,355.01,289.91,263.97,91.04,870.64,414.89,121.315,190.094,68.7709,515.63,0.0474262,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.641,-88.0101,264.808,337.93,273.59,247.69,90.24,759.39,331.66,200.253,280.429,80.1646,421.46,0.0506153,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.6774,-87.967,261.29,407.81,332,295.57,112.24,784.47,350.51,205.734,286.663,80.9159,376.66,0.0293654,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.4985,-88.0739,270.416,407.36,321.39,286.67,120.69,857.51,411.32,140.063,212.3,72.2277,450.15,0.0501475,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,42.2313,-88.108,272.834,347.68,281.34,253.3,94.38,799.23,362.08,169.809,247.847,78.0278,451.55,0.0592084,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,42.0123,-87.8638,253.947,416.94,339.75,304.55,112.39,759.9,331.91,228.733,306.337,77.5931,342.96,0.0251002,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,42.3743,-87.9742,262.538,422.64,330.69,295.86,126.78,752.22,324.27,234.373,312.908,78.524,329.58,0.026888,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,40.46,-88.0198,265.647,391.25,315.23,283.19,108.06,833.41,392.76,152.133,225.091,72.9485,442.16,0.0488681,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,42.0802,-87.9496,260.506,344.59,274.76,249.29,95.3,774.17,345.01,184.423,259.904,75.4705,429.58,0.0567433,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,40.852,-87.9071,257.99,413.99,323.92,286.11,127.88,879.21,426.2,128.115,199.799,71.675,465.22,0.0382169,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
21,40.1225,-87.9231,258.496,371.9,304.5,274.82,97.08,783.33,353.39,188.773,266.327,77.5431,411.43,0.0428604,0,0,21,0.921505,1.06391,1.21224,1.07186,0.780669,1.06777,0.965775,0.82739,0.961391
22,41.9468,-88.0253,265.334,335.16,274.53,247.29,87.87,804.3,364.15,163.184,240.674,77.479,469.14,0.050745,0,0,22,0.716341,1.06807,0.703671,1.14696,1.14425,1.29532,0.81121,1.03778,0.85743
24,41.7597,-87.8727,255.746,432.94,342.31,303.4,129.54,780.16,347.11,211.314,288.616,77.2908,347.22,0.0373084,0,0,24,1.29532,0.817529,0.784918,0.70732,0.933627,0.944758,1.09673,0.735763,1.14416
25,42.1943,-88.0548,267.378,410.46,334.43,297.99,112.47,848.61,406.51,151.669,225.488,73.8087,438.15,0.0294683,0,0,25,1.2427,1.17211,0.997716,0.805043,1.13113,1.24015,1.01595,1.15684,1.01538
26,41.6344,-87.8578,255.119,428.61,337.62,301.21,127.4,730.52,300.55,266.545,348.117,81.5608,301.91,0.0349725,0,0,26,1.23639,0.91462,0.798116,0.816288,0.792247,0.787773,0.963238,0.707834,1.16415
27,41.5714,-88.0461,267.258,415.83,338.23,303.7,112.13,823.33,388.07,169.562,243.79,74.2178,407.5,0.0262203,0,0,27,1.14452,1.19292,1.293,0.91499,0.910605,0.998969,1.09078,1.14034,1.13923
28,39.95,-87.9438,260.314,429.71,341.82,302.66,127.05,907.29,448.93,116.672,186.057,69.3776,477.58,0.044372,0,0,28,1.08215,0.85268,1.00467,0.71747,0.914475,0.886925,1.21371,0.817162,0.825968
30,41.7404,-87.9613,262.169,364.23,289.01,261.02,103.21,772.52,345.06,192.038,268.608,76.5595,408.29,0.0522483,0,0,30,1.097,0.767484,0.844748,1.01332,1.0797,0.816959,1.02856,0.884865,1.11905
32,40.1551,-87.9781,261.778,373.81,306.05,275.46,98.35,808.02,371.88,168.617,244.466,75.839,434.21,0.0463438,0,0,32,0.789063,0.966402,1.26303,0.970787,0.938576,1.15059,0.974893,0.936304,0.941136
33,42.1046,-87.9998,263.649,349.94,291.63,266.06,83.88,664.72,255.33,335.809,422.826,87.007,314.78,0.0375516,0,0,33,0.750712,1.20696,1.03387,1.2762,0.861783,1.27134,0.716745,1.05283,1.23934
35,40.4577,-87.8476,253.49,422.82,341.39,304.53,118.29,694.33,263.74,320.618,405.092,84.4635,271.51,0.03413,0,0,35,1.20112,0.970467,1.24295,0.734576,1.04501,1.10247,0.893425,0.720147,1.20447
36,42.146,-88.0675,268.262,334.43,276.26,250.43,84,851.83,398.18,130.711,203.205,72.4847,517.4,0.0486555,0,0,36,1.16262,1.11148,0.767137,1.28512,0.90081,1.24414,0.970821,1.165,0.900677
37,42.7102,-88.0846,270.027,369.87,296.46,268.78,101.09,834.5,391.46,146.396,218.576,72.1712,464.63,0.0351415,0,0,37,0.739248,1.21866,0.920536,1.22788,0.97928,0.724012,1.11896,1.19254,1.12618
38,41.918,-88.0891,270.788,379.06,307.25,277.84,101.22,879.75,424.27,122.188,191.981,69.7845,500.69,0.041,0,0,38,0.729709,1.05851,0.961845,1.10564,0.811333,0.875033,1.15353,1.21064,0.993575
39,43.3283,-88.1265,274.284,464.45,361.7,317.62,146.83,901.39,449.98,132.928,206.749,73.8112,436.94,0.0202291,0,0,39,1.06294,1.27003,0.752569,0.712422,0.923522,0.746652,0.888847,1.28624,0.862813
40,40.434,-87.9017,255.999,352.97,291.95,265.43,87.54,805.64,370.61,162.149,234.508,72.3497,452.67,0.0423793,0,0,40,0.856686,1.09947,1.25831,1.19708,1.03643,1.17594,1.27196,0.823172,1.1284
41,41.2018,-88.0739,270.31,364.02,286.99,258.19,105.83,812.87,372.8,159.279,234.695,75.4053,448.85,0.0522606,0,0,41,0.871109,0.902345,1.10156,1.007,1.23715,0.751594,0.923052,1.13444,0.956678
43,40.2509,-87.9196,258.233,397.25,317.48,284.31,112.94,872.33,420.76,127.778,197.73,69.9433,475.08,0.0418829,0,0,43,1.02679,1.01342,1.05075,0.926255,0.993944,0.839068,1.26881,0.794397,0.927704
44,42.7299,-88.0458,267.291,383.71,310.35,279.74,103.97,787.12,356.99,190.178,267.505,77.3167,403.41,0.0317978,0,0,44,0.965571,1.20915,0.856729,1.06389,0.967914,0.95513,0.935377,1.12134,1.10942
45,42.199,-87.9531,260.899,363.26,294.5,268.3,94.96,703.52,290.35,273.157,354.628,81.4617,340.26,0.0466007,0,0,45,1.11104,0.831287,0.850596,1.15416,0.758021,0.894735,0.931204,0.900433,1.29381
46,41.2372,-87.9583,260.859,359.03,293.11,264.81,94.22,748.88,324.85,220.59,302.421,81.8188,389.85,0.0390955,0,0,46,0.940262,1.2529,0.939252,1.19994,0.824922,1.02557,0.788124,0.89548,0.937594
47,41.4497,-88.0377,266.718,344.26,281.77,255.96,88.3,820.24,377.45,151.838,226.025,74.1775,475.98,0.0474882,0,0,47,0.815581,1.07538,0.990865,1.29168,0.75363,0.991103,0.986885,1.07627,0.972273
48,43.175,-88.0161,264.823,456.26,370.23,329.09,127.17,771.63,322.71,242.419,322.144,79.7136,315.37,0.014064,0,0,48,1.0233,1.21392,0.950118,0.739818,0.821107,1.16451,0.942537,1.08284,1.27541
49,41.2699,-88.1168,273.123,372.75,300,270.92,101.83,807.84,370.54,168.943,246.403,77.4493,435.09,0.0380193,0,0,49,1.22221,1.24695,1.27149,1.18023,0.818421,0.767903,0.821447,1.28247,0.913207
50,40.655,-88.0553,267.96,364.52,297.05,268.12,96.4,816.94,376.45,160.637,237.765,77.1171,452.42,0.0411389,0,0,50,0.881617,1.23178,1.2189,1.18893,0.730645,0.936144,0.82669,1.10628,0.83131
52,41.0293,-88.1066,271.845,335.54,272.95,247.04,88.5,832.18,383.17,141.972,216.837,74.8558,496.64,0.049029,0,0,52,1.01127,1.19491,1.18717,1.28868,1.0917,0.966981,0.853389,1.26557,0.836384
54,42.3219,-88.0308,266.027,352.06,284.74,256.74,95.32,724.52,305.15,245.033,328.173,83.1288,372.46,0.050636,0,0,54,1.03376,0.900984,0.767782,0.996276,1.26856,1.13849,0.742256,1.06967,1.05281
55,41.7715,-88.1114,272.681,399.5,318.6,285.46,114.04,859.48,412.82,136.988,207.955,70.958,459.98,0.0476206,0,0,55,0.775433,0.752159,1.11706,0.786661,1.17688,0.933267,1.13928,1.298,1.09943
56,41.9877,-88.0922,271.697,363.11,294.05,265.02,98.09,766.95,339.36,203.153,283.71,80.5455,403.84,0.0538868,0,0,56,1.17027,0.781475,0.893751,1.00128,0.783822,1.05685,0.756285,1.22387,0.976556
57,40.4954,-87.9001,256.241,339.57,280.31,254.76,84.81,734.7,314.83,227.14,307.341,80.1894,395.13,0.0442629,0,0,57,0.805714,1.18508,1.17096,1.24864,1.11951,1.19336,0.915059,0.811638,1.04663
58,42.3294,-87.9259,259.109,362.01,287.79,260.31,101.7,676.47,266.95,313.27,398.43,85.1502,314.46,0.0447391,0,0,58,0.758009,0.975395,0.709013,1.05452,1.28739,0.833956,0.802097,0.831144,1.22362
59,42.2955,-88.0745,269.877,410.33,327.06,292.63,117.7,702.95,271.72,302.737,388.635,85.8872,292.62,0.0287971,0,0,59,0.950357,1.17978,1.12951,0.834373,1.21284,0.925084,0.703891,1.21654,1.18738
60,41.0992,-87.8804,255.586,401.5,322.8,288.74,112.76,748.86,323.26,232.462,311.725,79.2515,347.36,0.0445901,0,0,60,0.917027,0.766713,0.941272,0.780512,1.00598,1.07908,1.01076,0.754151,1.13628
61,41.1902,-88.0069,265.185,368.13,294.28,266.96,101.17,674.32,263.5,319.481,405.311,85.82,306.19,0.0488142,0,0,61,1.06616,0.865148,1.27603,1.04893,1.03127,0.793906,0.761144,1.00549,1.21576
62,39.7317,-87.9669,262.607,339.59,270.44,244.12,95.47,842.13,389.5,133.17,205.644,72.4646,502.54,0.0654603,0,0,62,1.10756,0.722619,1.07429,1.1129,0.889325,0.812698,1.02252,0.850317,0.820097
63,41.4175,-88.0873,270.887,416.23,338.59,301.22,115.01,810.36,373.11,186.385,266.923,80.5257,394.13,0.0286918,0,0,63,1.16077,1.25058,1.11135,0.85642,0.808668,1.10566,0.711777,1.21897,0.842411
64,41.0494,-88.1175,272.912,398.47,323.2,286.47,112,870.08,418.99,135.105,210.091,74.977,471.61,0.0490328,0,0,64,0.961366,0.868141,1.02763,0.727136,1.01761,1.25001,0.806337,1.27369,0.757977
