# Drug name and concentration: 6: Quinidine at 5057.4μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,25.5088,-87.9259,80.0637,494.47,397.66,302.29,192.18,208.45,173.86,12.7604,176.844,73.3539,-286.02,0.0582967,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,45.4048,-15.1959,274.135,949.51,308.15,257.51,692,613.19,704.16,142.647,211.182,141.176,-336.32,-0.13117,1,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,26.9178,-88.0646,80.0173,613.34,512.71,308.39,304.95,208.68,188.23,4.80817,137.564,65.5051,-404.66,0.0742502,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,46.0902,-15.6272,265.821,924.78,310.51,259.85,664.93,613.85,2000,142.599,211.124,140.549,-310.93,-0.145902,1,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,44.8534,-88.0155,264.939,1417.25,1187,967.46,449.79,1689.4,1295.33,122.666,194.812,72.148,272.15,-0.0328562,1,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,24.9196,-88.1136,79.9939,563.19,456.64,315.27,247.92,201.57,179.07,5.84435,149.63,69.6998,-361.62,0.0739577,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,29.4408,-88.0722,80.1548,462.83,366.05,271.95,190.88,216.39,189.82,7.82561,150.036,67.2131,-246.44,0.0598802,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,26.3022,-88.0828,79.9978,599.08,483.07,327.21,271.87,218.88,197.86,4.73225,130.865,64.1506,-380.2,0.071236,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,44.8766,-88.0166,265.272,1256.71,1072.5,968.37,288.34,1472.99,958.41,207.855,283.469,75.6097,216.28,-0.0401604,1,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,42.3969,-87.9813,79.9229,410.64,261.97,179.62,231.02,10.95,10.95,0,177.782,73.6291,-399.69,0.0663938,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
