# Drug name and concentration: 11: Ranolazine at 29223μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.2708,-87.9006,257.492,442.68,351.79,311.56,131.12,687.21,251.73,344.545,429.757,85.1999,244.53,0.0513734,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.9322,-88.0738,271.416,524.65,401.25,340.66,183.99,857.21,387.41,185.666,262.618,76.9386,332.56,0.0535871,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,41.9789,-88.0389,266.853,474.07,377.1,329.73,144.34,832.34,387.56,182.824,256.57,73.7334,358.27,0.0456836,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,40.8807,-87.9665,263.742,475.84,361.96,316.01,159.83,782.83,337.54,223.547,302.028,78.4669,306.99,0.0525895,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.2518,-88.0319,266.996,476.05,374.02,321.38,154.67,873.14,427.56,154.501,229.215,74.7006,397.09,0.0593329,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.0547,-88.0835,271.898,490.36,377.99,326.24,164.12,799.22,338.81,225.086,304.726,79.6257,308.86,0.0511427,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,41.5205,-88.0665,268.703,456.81,363.93,319.33,137.48,818.25,378.35,186.219,260.082,73.8505,361.44,0.0478036,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.5416,-88.0648,269.988,468.69,367.07,322.5,146.19,886.61,441.49,137.461,207.592,70.1207,417.92,0.053585,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.4339,-88.0232,267.156,416.8,323.03,284.95,131.85,753.19,322.39,231.687,313.384,81.6825,336.39,0.0638344,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.1773,-87.9903,263.997,472.8,369.57,318.62,154.18,788.5,332.79,229.993,311.693,81.6826,315.7,0.0516243,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.4811,-88.0798,272.353,500.1,375.46,321.94,178.16,872.77,426.72,155.511,228.64,73.1177,372.67,0.0568941,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,42.1483,-88.1199,274.623,437.88,341.14,297.77,140.11,805.67,366.86,193.322,272.644,79.3074,367.79,0.0639899,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,41.6137,-87.8837,256.086,503.46,392.59,338.79,164.67,777.72,313.32,253.882,331.985,78.0892,274.26,0.0406555,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,42.0439,-87.9795,264.475,502.85,369.78,320.82,182.03,758.63,304.06,262.155,341.348,79.1789,255.78,0.0450086,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,40.4616,-88.0293,267.468,484.46,373.88,323.26,161.2,846.64,402.16,170.452,244.415,73.9511,362.18,0.0560489,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,42.0863,-87.9546,262.049,448.53,340.63,299.55,148.98,775.82,341.17,215.993,293.101,77.095,327.29,0.0568013,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,40.223,-87.9209,259.902,480.98,357.37,305.56,175.42,879.81,432.2,140.912,213.353,72.4281,398.83,0.0575219,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
21,39.9521,-87.9411,260.376,463.47,365.05,318.32,145.15,791.66,345.57,214.953,293.649,78.6809,328.19,0.0541975,0,0,21,0.921505,1.06391,1.21224,1.07186,0.780669,1.06777,0.965775,0.82739,0.961391
22,41.562,-88.0455,267.395,403.78,319.5,280.71,123.07,797.01,363.18,187.706,266.666,78.9457,393.23,0.0647713,0,0,22,0.716341,1.06807,0.703671,1.14696,1.14425,1.29532,0.81121,1.03778,0.85743
24,41.5999,-87.8853,257.377,527.55,396.1,336.17,191.38,804.6,333.01,233.558,311.343,77.7712,277.05,0.0458579,0,0,24,1.29532,0.817529,0.784918,0.70732,0.933627,0.944758,1.09673,0.735763,1.14416
25,41.559,-88.0736,269.723,466.66,366.08,316.71,149.95,845.95,402.66,169.501,244.162,74.6481,379.29,0.0525669,0,0,25,1.2427,1.17211,0.997716,0.805043,1.13113,1.24015,1.01595,1.15684,1.01538
26,41.4652,-87.8695,257.03,535.5,397.86,339.9,195.6,760.85,278.75,294.07,375.96,81.8751,225.35,0.0437819,0,0,26,1.23639,0.91462,0.798116,0.816288,0.792247,0.787773,0.963238,0.707834,1.16415
27,41.1937,-88.0599,269.477,496.4,385.63,333.69,162.71,833.79,379.13,189.201,264.147,74.9331,337.39,0.0463099,0,0,27,1.14452,1.19292,1.293,0.91499,0.910605,0.998969,1.09078,1.14034,1.13923
28,39.8013,-87.9564,262.181,520.54,396.21,335.07,185.47,926.7,473.45,127.075,197.144,70.0584,406.16,0.0558184,0,0,28,1.08215,0.85268,1.00467,0.71747,0.914475,0.886925,1.21371,0.817162,0.825968
30,41.6989,-87.9671,263.752,462.47,348.73,304.94,157.53,777.16,337.44,221.191,299.094,77.889,314.69,0.0559025,0,0,30,1.097,0.767484,0.844748,1.01332,1.0797,0.816959,1.02856,0.884865,1.11905
32,40.0491,-87.9949,263.908,455.41,359.36,313,142.41,813.11,370.82,190.813,267.801,76.9733,357.7,0.0578837,0,0,32,0.789063,0.966402,1.26303,0.970787,0.938576,1.15059,0.974893,0.936304,0.941136
33,41.8285,-88.0213,266.159,431.19,346.87,308.28,122.91,663.94,235.19,385.499,473.679,88.1673,232.75,0.0518764,0,0,33,0.750712,1.20696,1.03387,1.2762,0.861783,1.27134,0.716745,1.05283,1.23934
35,40.331,-87.8655,255.189,495.44,383.52,331.12,164.32,705.35,246.98,356.105,441.068,84.9506,209.91,0.0480144,0,0,35,1.20112,0.970467,1.24295,0.734576,1.04501,1.10247,0.893425,0.720147,1.20447
36,41.771,-88.0863,270.827,417.62,333.45,293.99,123.63,852.06,409.23,149.333,223.256,73.9109,434.44,0.0614519,0,0,36,1.16262,1.11148,0.767137,1.28512,0.90081,1.24414,0.970821,1.165,0.900677
37,42.2816,-88.0867,272.349,463.16,350.85,308.36,154.8,837.29,399.23,166.849,240.214,73.3527,374.13,0.051282,0,0,37,0.739248,1.21866,0.920536,1.22788,0.97928,0.724012,1.11896,1.19254,1.12618
38,41.6359,-88.0981,272.882,477.84,369.84,322.49,155.35,892.69,445.71,136.728,207.578,70.8391,414.85,0.0537342,0,0,38,0.729709,1.05851,0.961845,1.10564,0.811333,0.875033,1.15353,1.21064,0.993575
39,42.2121,-88.1344,277.059,530.75,389.5,328.94,201.81,905.52,453.96,146.356,220.726,74.3583,374.77,0.0500555,0,0,39,1.06294,1.27003,0.752569,0.712422,0.923522,0.746652,0.888847,1.28624,0.862813
40,40.2875,-87.9188,258.109,440.44,351.29,309.75,130.69,805.59,372.37,187.407,261.209,73.7888,365.15,0.0529705,0,0,40,0.856686,1.09947,1.25831,1.19708,1.03643,1.17594,1.27196,0.823172,1.1284
41,41.0744,-88.0776,272.264,446.86,333.9,291.83,155.03,811.27,374.43,181.401,258.116,76.7022,364.41,0.0631541,0,0,41,0.871109,0.902345,1.10156,1.007,1.23715,0.751594,0.923052,1.13444,0.956678
43,40.0302,-87.9311,260.065,488.74,372.31,320.6,168.14,883.23,437.64,141.958,212.871,70.9011,394.49,0.0544836,0,0,43,1.02679,1.01342,1.05075,0.926255,0.993944,0.839068,1.26881,0.794397,0.927704
44,42.2776,-88.059,269.758,463.08,356.95,312.22,150.86,789.25,344.35,216.132,294.474,78.3288,326.17,0.0501798,0,0,44,0.965571,1.20915,0.856729,1.06389,0.967914,0.95513,0.935377,1.12134,1.10942
