# Drug name and concentration: 12: Sotalol at 293728μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,42.4728,-87.8823,255.818,504.93,401.89,350.81,154.12,727.69,249.71,345.089,430.224,85.1229,222.76,0.011783,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,41.5296,-88.0643,269.877,588.17,453.3,377.89,210.28,914.77,405.67,179.678,256.064,76.3744,326.6,0.0204668,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,43.9644,-88.0202,264.911,548.29,434.56,372.15,176.14,886.44,402.5,182.804,256.615,73.8004,338.15,-0.000528395,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,42.0905,-87.9562,262.151,542.59,414.74,355.36,187.23,830.9,347.87,222.223,300.587,78.3524,288.31,0.0131102,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,42.1831,-88.0171,265.474,531.4,419.66,355.81,175.59,914.84,458.22,152.716,227.328,74.6012,383.44,0.0287583,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,43.3014,-88.0707,270.187,561.87,432.75,365.84,196.03,861.88,354.55,216.945,295.887,78.9311,300.01,0.010732,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,43.8084,-88.0455,266.314,535.22,422.63,361.53,173.69,873.86,394.33,185.583,259.471,73.8789,338.64,-0.00296851,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,43.2233,-88.0524,268.17,531.52,418.76,363,168.52,928.11,478.48,138.055,208.49,70.4266,396.59,0.0124547,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,41.3272,-88.0081,265.091,482.65,376.87,327.03,155.62,796.31,336.83,227.192,308.591,81.3863,313.66,0.0209821,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,43.1511,-87.9678,261.574,564.03,440.55,370.98,193.05,864.43,347.57,223.274,304.313,81.0267,300.4,0.000657322,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
