# Drug name and concentration: 2: Sotalol at 29372.8μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.6682,-87.8748,254.498,314.04,261.07,240,74.04,661.94,261.41,321.132,405.395,84.2555,347.9,0.0488831,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,41.2104,-88.0562,268.884,390.63,315.11,283.49,107.14,790.82,359.75,187.999,265.569,77.5606,400.19,0.0495186,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.6049,-88.0138,263.916,353.82,294.88,269.54,84.28,787.62,358.76,179.06,252.8,73.7318,433.8,0.0344451,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,41.2919,-87.9525,261.017,340.18,275.3,251.45,88.73,741.74,321.13,216.329,294.586,78.2474,401.56,0.047919,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.6007,-88.0096,264.495,350.06,286.3,258.31,91.75,823.35,380.34,151.664,226.317,74.644,473.29,0.0582526,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.5215,-88.063,269.03,378.27,308.11,278.63,99.64,750.38,326.09,225.431,305.507,80.0663,372.11,0.0402672,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,42.2514,-88.0404,265.513,363.23,302.99,276.29,86.94,785.79,358.14,183.446,257.396,73.941,422.56,0.0276897,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.9921,-88.0514,266.981,318.95,262.15,240.56,78.39,841.4,389.96,130.222,199.602,69.3723,522.45,0.052254,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.8832,-88.0037,264.135,307.85,251.55,229.86,77.99,730.91,309,220.656,301.773,81.1066,423.06,0.0546611,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.9137,-87.9586,260.597,376.47,309.11,278.35,98.12,748.17,322.74,230.072,312.217,82.134,371.7,0.0325083,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.7991,-88.0679,269.783,376.35,299.85,270.32,106.03,824.42,384.42,154.189,227.43,73.2322,448.07,0.0526712,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,42.4609,-88.1011,272.176,317.81,259.31,235.72,82.09,767.79,336.5,187.964,267.067,79.0936,449.98,0.0628909,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,42.1899,-87.8547,253.197,385.56,317.53,288.09,97.47,724.85,307.55,255.261,333.859,78.5885,339.29,0.0280281,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,42.613,-87.9686,261.825,392.37,311.76,282.32,110.05,718.22,300.55,262.43,342.019,79.5793,325.85,0.029007,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,40.7493,-88.0128,264.966,360.05,292.55,265.52,94.53,800.79,366.35,167.596,241.534,73.9287,440.74,0.0518825,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,42.3195,-87.9431,259.799,315.04,254.09,232.75,82.29,745.33,322.15,203.334,279.656,76.3135,430.29,0.0603251,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,41.1261,-87.9006,257.44,382.64,302.34,269.97,112.67,847.84,400.5,139.801,212.405,72.5954,465.2,0.0407829,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
21,40.3954,-87.915,257.835,339.16,279.8,255.07,84.09,751.39,327.82,208.405,286.911,78.4964,412.23,0.0470058,0,0,21,0.921505,1.06391,1.21224,1.07186,0.780669,1.06777,0.965775,0.82739,0.961391
22,42.1847,-88.0178,264.711,306.37,252.79,229.79,76.58,774.49,339.75,179.569,258.025,78.446,468.12,0.0544831,0,0,22,0.716341,1.06807,0.703671,1.14696,1.14425,1.29532,0.81121,1.03778,0.85743
24,41.9919,-87.8641,255.076,402.39,322.02,289.24,113.15,743.16,320.31,237.659,316.126,78.4565,340.77,0.039694,0,0,24,1.29532,0.817529,0.784918,0.70732,0.933627,0.944758,1.09673,0.735763,1.14416
25,42.3539,-88.0471,266.67,381.85,313.8,282.63,99.22,813.59,378.04,168.335,243.242,74.8969,431.74,0.0314817,0,0,25,1.2427,1.17211,0.997716,0.805043,1.13113,1.24015,1.01595,1.15684,1.01538
26,41.8443,-87.8507,254.481,395.02,315.3,284.84,110.18,696.3,278.9,296.782,379.348,82.5566,301.28,0.0382227,0,0,26,1.23639,0.91462,0.798116,0.816288,0.792247,0.787773,0.963238,0.707834,1.16415
27,41.8014,-88.039,266.533,383.51,314.87,285.84,97.67,786.84,358.79,188.809,264.117,75.298,403.33,0.0289858,0,0,27,1.14452,1.19292,1.293,0.91499,0.910605,0.998969,1.09078,1.14034,1.13923
28,40.27,-87.9372,259.701,395.93,317.16,283.88,112.05,875.75,422.73,126.182,196.396,70.2056,479.82,0.0473718,0,0,28,1.08215,0.85268,1.00467,0.71747,0.914475,0.886925,1.21371,0.817162,0.825968
30,41.9954,-87.9548,261.477,334.5,268.61,245.08,89.42,742.06,321.18,212.939,290.459,77.5108,407.56,0.0555299,0,0,30,1.097,0.767484,0.844748,1.01332,1.0797,0.816959,1.02856,0.884865,1.11905
32,40.4294,-87.9702,261.093,343.14,282.97,257.23,85.91,775.93,345.93,186.154,263.004,76.8408,432.79,0.049816,0,0,32,0.789063,0.966402,1.26303,0.970787,0.938576,1.15059,0.974893,0.936304,0.941136
33,42.3159,-87.9935,262.995,318.19,266.99,245.44,72.75,642.32,244.85,363.207,450.633,87.4199,324.13,0.0419313,0,0,33,0.750712,1.20696,1.03387,1.2762,0.861783,1.27134,0.716745,1.05283,1.23934
35,40.7114,-87.8399,252.604,394.15,321.5,290.06,104.09,663.55,249.23,354.716,440.06,85.3356,269.4,0.0364574,0,0,35,1.20112,0.970467,1.24295,0.734576,1.04501,1.10247,0.893425,0.720147,1.20447
36,42.408,-88.0608,267.605,302.19,251.02,229.35,72.84,822.74,373.65,141.47,214.703,73.2243,520.55,0.0531846,0,0,36,1.16262,1.11148,0.767137,1.28512,0.90081,1.24414,0.970821,1.165,0.900677
