# Drug name and concentration: 11: Verapamil at 675μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 499
#   Hill Coefficient: 1.1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 202
#   Hill Coefficient: 1.1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,37.9747,-87.956,259.625,367.36,298.21,263.38,103.98,997.86,484.94,69.1533,135.652,66.4918,630.5,0.0492346,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,38.7249,-88.1197,273.812,449.42,356.8,309.84,139.58,1077.84,544.07,55.7991,118.936,63.1312,628.42,0.0541292,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,38.9875,-88.0835,268.898,416.28,343.7,305.59,110.69,1084.92,543.25,52.5997,112.652,60.047,668.64,0.0366673,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,38.1204,-88.0218,265.987,403.08,318.81,280.72,122.36,1046.8,514.01,57.8012,120.451,62.6447,643.72,0.0482595,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,38.7949,-88.074,269.096,405.08,326.44,284.39,120.69,1077.12,529.61,51.067,112.648,61.5767,672.04,0.0603497,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,39.4106,-88.1284,274.13,436.53,350.1,305.46,131.07,1065.19,538.94,59.1124,123.675,64.5556,628.66,0.0443057,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,38.9022,-88.1083,270.794,422.04,349.08,309.85,112.19,1087.27,547.03,52.8542,113.082,60.2229,665.23,0.0304198,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,39.0475,-88.1088,272.429,386.32,311.68,277.56,108.76,1084.68,526.18,47.3199,105.21,57.887,698.36,0.0515679,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,38.3664,-88.0669,268.591,369.3,294.25,258.46,110.84,1022.12,494.07,60.5185,125.839,65.3139,652.82,0.0514397,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,38.775,-88.0237,264.707,443.21,361.2,315.4,127.81,1071.52,547.43,59.2033,125.572,66.3616,628.31,0.0296055,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,39.0466,-88.1284,275.238,430.83,336.34,292.87,137.96,1083.14,536.37,51.1319,111.389,60.2521,652.31,0.0584747,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,39.779,-88.1622,277.086,370.63,294.53,256.62,114.01,1034.33,500.15,57.4776,122,64.5157,663.7,0.0651975,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,37.9905,-87.9392,258.446,442.75,362.17,318.75,124,1070.56,543.5,58.8521,121.08,62.2226,627.81,0.0309114,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,38.7482,-88.0398,267.022,450.07,350.65,306.16,143.91,1059.49,535.1,60.4011,123.537,63.1293,609.42,0.0339112,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,38.1321,-88.0798,270.044,416.01,332.09,291.54,124.47,1073.07,529.31,52.5747,112.864,60.2845,657.06,0.055877,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
19,38.5332,-88.0192,266.138,360.33,281.22,247.08,113.25,1027.84,488.06,56.3174,117.245,60.9233,667.51,0.0658194,0,0,19,1.26944,0.71068,0.723918,1.1225,1.0785,0.839498,1.07798,0.862981,1.14851
20,37.9836,-87.9617,261.775,446.58,349.07,303.3,143.28,1105.47,549.86,47.4583,107.575,60.1128,658.89,0.038116,0,0,20,1.26505,1.10567,0.817375,0.783092,1.23962,0.805455,1.11308,0.752444,0.81826
