# Drug name and concentration: 6: Chlorpromazine at 207μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.6166,-88.0163,264.969,320.26,260.4,237.55,82.71,778.01,344.45,176.937,253.056,76.1096,457.75,0.0539672,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.4183,-88.005,264.167,318.47,259.7,237.08,81.39,793.07,355.15,163.767,238.179,74.4026,474.6,0.0557526,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.0381,-87.9935,263.384,318.89,259.8,236.97,81.92,786.21,349.96,169.548,245.012,75.4545,467.32,0.0562385,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.3869,-87.9954,263.508,313.12,255.64,233.59,79.53,788.47,351.23,166.083,240.743,74.6501,475.35,0.0571538,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.2893,-88.0191,265.138,308.74,251.76,229.88,78.86,808.17,363.88,150.337,223.787,73.4411,499.43,0.0590906,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.3249,-88.0271,265.72,315.05,256.33,233.67,81.38,816.13,370.18,146.209,219.278,73.0601,501.08,0.0578061,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.104,-88.0043,264.088,315.43,256.54,234.04,81.39,806.4,363.54,152.889,226.53,73.6321,490.97,0.0582934,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.497,-88.0246,265.612,312.32,254.18,232.16,80.16,794.34,354.9,161.359,235.855,74.4865,482.02,0.0564795,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.6014,-88.0209,265.297,320.63,261.06,238.35,82.28,775.02,342.47,179.734,256.094,76.3501,454.39,0.0538997,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.4418,-88.027,265.829,317.51,258.2,235.65,81.86,804.24,362.49,155.109,228.912,73.7941,486.73,0.0546864,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.1428,-87.9916,263.054,315.23,256.05,233.45,81.78,792.97,353.89,163.333,238.511,75.1683,477.74,0.0557673,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.4566,-88.0152,264.948,309.51,252.56,230.77,78.74,783.46,346.89,169.728,245.314,75.5771,473.95,0.058093,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.2417,-88.0129,264.782,319.57,260.62,237.83,81.74,790.65,353.33,166.247,241.274,75.0178,471.08,0.0559894,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.165,-88.0126,264.685,309.48,252.09,230.11,79.37,811.27,366.07,148.079,221.175,73.0876,501.79,0.0595102,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.4454,-88.0116,264.69,315.1,256.86,234.38,80.72,789.9,352.13,165.867,240.996,75.1197,474.8,0.0563922,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.4278,-88.0183,264.947,315.57,257.17,234.97,80.6,791.58,353.58,164.23,238.8,74.5614,476.01,0.0546379,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.3723,-87.993,263.314,313.56,255.98,233.83,79.73,786.74,350.05,167.563,242.355,74.7825,473.18,0.0562509,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.5231,-88.0272,265.841,320.92,261.19,237.95,82.97,797.63,358.18,161.534,236.487,74.9426,476.71,0.0553821,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.1739,-87.9905,263.194,318.09,259.63,236.87,81.22,776.66,343.24,177.565,253.765,76.1896,458.57,0.0550511,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,41.2381,-87.9986,263.638,314.37,257.16,234.87,79.5,791.96,353.72,163.899,238.505,74.5958,477.59,0.0546105,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.2062,-87.9907,263.238,321.43,262.02,238.77,82.66,801.88,361.47,157.915,231.995,74.0705,480.45,0.0564862,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.3003,-87.9852,262.834,325.54,266.05,242.73,82.81,768.45,338.62,186.965,263.712,76.7375,442.91,0.0521387,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
