# Drug name and concentration: 10: Diltiazem at 1275μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6569
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.5886,-88.0831,269.823,280.91,222.15,195.64,85.27,1029.8,461.06,45.7191,105.448,59.726,748.89,0.0708439,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,38.4137,-88.0736,269.134,276.43,218.95,192.93,83.5,1036.29,461.03,43.6742,102.225,58.5484,759.86,0.0733143,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,38.1966,-88.0617,268.154,277.39,219.4,193.01,84.38,1032.35,459.83,44.5207,103.775,59.2517,754.96,0.0728685,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,38.3428,-88.0655,268.383,269.33,213.02,187.59,81.74,1032.31,456.57,43.6321,102.218,58.5831,762.98,0.0748083,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,38.5091,-88.0848,270.018,266.59,210.38,185.06,81.53,1038.27,457.45,41.9333,100.212,58.2764,771.68,0.0758233,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,38.5838,-88.0909,270.556,275.47,217.66,191.51,83.96,1044.12,463.22,41.7777,100.011,58.2309,768.65,0.0740715,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,38.3247,-88.0708,268.958,272.74,214.87,188.96,83.78,1039.73,459.89,42.2246,100.503,58.2754,766.99,0.0751417,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,38.6003,-88.0902,270.335,271.92,214.6,189.01,82.91,1033.87,458.4,43.5882,102.394,58.8032,761.95,0.073347,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,38.6126,-88.0877,270.111,279.68,221.16,194.81,84.87,1027.72,459.86,46.052,105.882,59.8263,748.04,0.0713337,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,38.5908,-88.0907,270.258,278.79,220.44,194.39,84.4,1040.84,463.73,42.9644,101.469,58.5015,762.05,0.0711732,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,38.2956,-88.057,267.748,275.95,217.68,191.49,84.46,1034.81,460.16,43.7639,103.054,59.2871,758.86,0.0712168,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,38.5423,-88.083,269.892,266.17,209.99,184.63,81.54,1026.54,453.59,44.4695,103.852,59.3797,760.37,0.0753646,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,38.3965,-88.0802,269.656,277.73,219.88,193.58,84.15,1033.98,460.83,44.2918,103.353,59.0581,756.25,0.0732537,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,38.4111,-88.0787,269.58,267.37,210.8,185.38,81.99,1040.33,458.09,41.5248,99.5518,58.0245,772.96,0.0761362,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,38.5127,-88.0786,269.541,274.15,216.89,190.87,83.28,1032.67,459.14,44.1764,103.36,59.1809,758.52,0.0732126,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,38.4983,-88.0844,269.834,275.63,218.21,192.47,83.16,1034.97,460.52,43.9089,102.662,58.7502,759.34,0.071583,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,38.3201,-88.0629,268.142,271.67,215.25,189.65,82.02,1032.71,457.89,43.8978,102.581,58.6808,761.04,0.0734266,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,38.6625,-88.0917,270.64,281.8,223.15,196.35,85.45,1037.26,464.16,44.1365,103.475,59.3357,755.46,0.0719014,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,38.2358,-88.0596,267.896,278.02,220.66,194.25,83.77,1029.09,459.57,45.5236,105.179,59.6528,751.07,0.071459,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,38.3086,-88.0662,268.253,275.08,218.9,193.11,81.97,1036.04,461.08,43.7406,102.497,58.7541,760.96,0.0709226,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,38.2665,-88.0592,267.953,279.43,221.47,194.9,84.53,1040.98,463.68,42.9552,101.426,58.4678,761.55,0.0734492,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,38.225,-88.0556,267.564,285.46,227.43,200.56,84.9,1029.4,463.16,46.5969,106.438,59.8377,743.94,0.0691255,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,38.4658,-88.0828,269.879,280.92,221.18,194.51,86.41,1048.02,466.03,41.4206,99.4538,58.0306,767.1,0.0737598,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,38.3156,-88.0649,268.312,286.75,227.88,200.74,86.01,1043.74,468.28,43.3594,102.224,58.8616,756.99,0.0696845,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,38.3677,-88.0807,269.69,269.43,212.71,187.16,82.27,1033.13,456.8,43.3521,102.117,58.7624,763.7,0.0748823,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,38.38,-88.0722,268.883,278.3,220.1,193.95,84.35,1042.11,463.72,42.5728,101.03,58.4549,763.81,0.071091,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,38.3493,-88.0701,268.819,281.38,222.97,196.47,84.91,1036.93,463.39,44.1355,103.058,58.9193,755.55,0.0713383,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,38.2921,-88.0714,268.92,278.36,219.27,192.74,85.62,1038.71,461.98,43.0735,101.951,58.8743,760.35,0.0731289,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,38.3005,-88.0655,268.454,269.2,211.93,186.42,82.78,1027.99,454.61,44.3891,103.49,59.0982,758.79,0.0744711,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
