# Drug name and concentration: 5: Diltiazem at 637.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6569
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.7764,-88.0751,269.173,271.02,215.69,191.67,79.35,985.44,441.92,56.691,118.113,61.4174,714.42,0.072354,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,38.5964,-88.0654,268.474,267.16,213.03,189.46,77.7,991.58,442.34,54.2569,114.435,60.1748,724.42,0.0746832,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,38.37,-88.0536,267.529,267.77,213.16,189.26,78.51,987.72,440.87,55.3104,116.221,60.9069,719.95,0.0743636,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,38.5289,-88.0572,267.756,260.24,207.25,184.24,76,987.53,437.92,54.2952,114.504,60.2053,727.29,0.0761818,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,38.6783,-88.0771,269.401,257.21,204.36,181.45,75.76,993.64,438.91,52.0521,111.833,59.7779,736.43,0.0773116,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,38.7349,-88.0833,269.869,265.9,211.5,187.8,78.1,999.62,444.7,51.7493,111.478,59.7256,733.72,0.0755488,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,38.4923,-88.063,268.3,263.36,208.92,185.46,77.9,994.99,441.36,52.4444,112.265,59.8169,731.63,0.0765817,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,38.7641,-88.0825,269.721,262.26,208.38,185.23,77.03,989.27,439.53,54.1008,114.492,60.3874,727.01,0.0748549,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,38.7837,-88.0797,269.528,269.78,214.72,190.87,78.91,983.33,440.66,57.1294,118.667,61.5335,713.55,0.072829,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,38.7505,-88.0831,269.673,268.74,213.87,190.27,78.47,996.07,444.74,53.2297,113.29,60.0572,727.33,0.072763,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
