# Drug name and concentration: 10: Dofetilide at 21μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.2584,-88.0177,265.73,627.2,464.38,376.04,251.16,936.26,396.21,187.033,263.043,75.9984,309.06,0.00335547,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,43.0758,-88.0063,264.918,629.67,470.57,379.83,249.84,951.69,415.15,174.952,249.541,74.5778,322.02,0.00487203,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,42.6429,-87.9956,264.256,632.75,474.29,382.4,250.35,949.01,407.63,179.843,255.314,75.4595,316.26,0.00482897,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,43.0193,-87.9969,264.321,625.13,468.74,379.46,245.67,944.31,409.1,178.712,253.658,74.9345,319.18,0.00551573,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,42.942,-88.0196,265.867,616.34,464.32,377.45,238.89,956.56,443.11,162.454,236.461,73.9961,340.22,0.00726718,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,42.9714,-88.0271,266.353,616.34,462.43,375.2,241.14,962.34,462.97,157.222,230.801,73.5683,346,0.00770843,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,42.7369,-88.0053,264.93,632.89,474.6,382.57,250.32,966.2,438.78,163.801,237.788,73.9758,333.31,0.00649553,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,43.1559,-88.0247,266.194,618.47,460.83,374.6,243.87,943.58,416.81,173.389,248.212,74.812,325.11,0.00506911,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,43.2698,-88.023,266.145,640.21,475.07,383.38,256.83,946.43,396.43,188.261,264.297,76.0255,306.22,0.00134719,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,43.2056,-88.0269,266.343,632.83,470.68,380.21,252.62,963.67,434.5,165.526,239.583,74.0461,330.84,0.00250209,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
