# Drug name and concentration: 10: Mexiletine at 25032μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.9026,-88.0269,265.871,242.17,196.3,181.33,60.84,753.49,317.15,176.179,251.461,75.2724,511.32,0.0932086,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,40.7424,-88.0159,264.894,241.91,196.66,181.7,60.21,768.7,327.47,162.53,236.05,73.5103,526.79,0.0932451,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.3855,-88.005,264.263,240.61,195.18,180.18,60.43,762.19,322.5,167.934,242.463,74.5192,521.58,0.0942874,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,40.7126,-88.0068,264.139,237.48,193.21,178.61,58.87,765.77,324.8,164.015,237.697,73.6729,528.29,0.0939886,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,40.6285,-88.0311,266.448,231.65,187.81,173.4,58.25,783.34,334.96,148.703,221.14,72.4272,551.69,0.0963644,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,40.6431,-88.0388,267.04,236.99,191.82,176.89,60.1,789.14,339.58,145.541,217.687,72.1371,552.15,0.0956315,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.4518,-88.0156,264.987,237.8,192.41,177.55,60.25,781.42,334.66,151.342,223.999,72.6488,543.62,0.0952468,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,40.7991,-88.0355,266.808,234.91,190.31,175.86,59.05,769.86,326.86,160.003,233.555,73.5432,534.95,0.0950349,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,40.9158,-88.031,266.593,241.87,196.22,181.34,60.53,750.59,315.27,178.808,254.328,75.5115,508.72,0.0933761,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,40.7235,-88.0379,266.965,237.52,192.12,177.43,60.09,777.97,332.56,153.911,226.759,72.8386,540.45,0.094563,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,40.4164,-88.0041,264.457,234.02,188.86,174.25,59.77,769.25,325.72,160.459,234.515,74.0473,535.23,0.095404,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,40.7778,-88.0266,265.612,232.94,189.18,174.83,58.11,760.48,320.29,167.911,242.535,74.614,527.54,0.0956366,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,40.5885,-88.0238,265.482,241.59,196.22,181.2,60.39,765.42,325.02,165.403,239.573,74.1606,523.83,0.0941049,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,40.508,-88.0245,265.45,233.08,188.85,174.31,58.77,786.35,337.1,146.59,218.677,72.0778,553.27,0.0961863,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,40.748,-88.0232,265.403,237.52,192.81,178.04,59.48,765.57,324.38,164.522,238.733,74.2011,528.05,0.0945669,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,40.7355,-88.0293,266.313,236.92,192.2,177.69,59.23,767.2,325.59,162.518,236.128,73.6002,530.28,0.0941786,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,40.6838,-88.0048,263.965,237.67,193.4,178.78,58.89,764.09,323.71,165.468,239.278,73.8013,526.42,0.0937208,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,40.8183,-88.0384,267.115,241.64,195.82,180.59,61.05,770.75,328.37,161.309,235.449,74.1303,529.11,0.0943233,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,40.497,-88.0026,263.914,240.18,195.35,180.43,59.75,753.41,316.74,175.831,251.098,75.2574,513.23,0.0937511,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,40.5211,-88.0115,264.246,235.31,191.56,177.06,58.25,768.05,325.84,161.637,235.204,73.5573,532.74,0.0942854,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
