# Drug name and concentration: 11: Chlorpromazine at 517.5μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.4603,-88.0233,266.176,350.39,281.36,254.56,95.83,799.06,362.46,167.423,243.058,75.6233,448.67,0.0506957,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.2436,-88.0119,264.8,349.08,281.37,254.8,94.28,813.69,373.07,155.676,229.658,73.9727,464.61,0.0523191,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.8689,-88.0005,263.949,349.75,281.66,254.82,94.93,806.86,367.88,161.065,236.085,75.0093,457.11,0.0527415,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.2157,-88.0023,264.123,343.76,277.46,251.53,92.23,808.73,368.89,158.018,232.268,74.2401,464.97,0.0535813,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.1323,-88.0257,266.08,339.63,273.92,248.21,91.42,828.15,381.57,143.521,216.597,73.0669,488.52,0.0554757,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.1509,-88.0336,266.615,345.72,278.15,251.6,94.12,836.2,387.88,139.602,212.28,72.668,490.48,0.0543904,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.9324,-88.0109,264.638,346.84,278.95,252.48,94.36,826.6,381.39,145.924,219.18,73.2463,479.76,0.0546703,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.325,-88.0314,266.553,342.76,275.7,249.84,92.92,814.57,372.55,153.521,227.595,74.0643,471.81,0.0530261,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.4478,-88.0278,266.498,351.39,282.61,255.9,95.49,796.34,360.73,170.03,245.904,75.8634,444.95,0.0504617,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.2657,-88.0337,266.733,348.54,280.13,253.67,94.87,824.7,380.43,147.755,221.145,73.3802,476.16,0.0512414,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,40.9725,-87.9984,264.001,346.56,278.26,251.68,94.88,813.27,371.71,155.541,230.306,74.7549,466.71,0.0521614,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.3055,-88.022,265.959,340.18,274.42,248.76,91.42,803.87,364.68,161.25,236.411,75.1511,463.69,0.0544568,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
