# Drug name and concentration: 12: Ondansetron at 7170μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.7642,-88.0408,267.781,540.47,416.11,349.19,191.28,949.59,493.32,127.81,200.359,72.5382,409.12,0.0297045,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,40.5472,-88.0299,266.989,542.05,420.79,353.42,188.63,962.26,504.32,121.047,192.246,71.1882,420.21,0.0306998,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.1944,-88.019,266.093,545.05,423.27,354.96,190.09,958.27,500.79,124.441,196.52,72.0683,413.22,0.0306271,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,40.5143,-88.0209,266.112,538.31,418.75,352.28,186.03,957.03,499.85,122.94,194.43,71.4786,418.72,0.0312106,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,40.4625,-88.0425,267.936,533.79,415.74,350.74,183.05,969.97,509.13,114.263,184.881,70.6074,436.18,0.0327297,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,40.4712,-88.0498,268.459,535.03,415.36,349.87,185.16,975.39,513,111.448,181.682,70.2234,440.36,0.0329354,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.2748,-88.028,266.828,545.59,423.53,355.71,189.88,973.7,513.2,115.406,186.087,70.6703,428.11,0.0319272,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,40.6374,-88.0476,268.249,534.45,413.05,348.09,186.36,958.53,500.23,120.114,191.485,71.3599,424.08,0.0311616,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,40.7657,-88.0456,268.177,549.03,423.77,355.2,193.83,953.57,497.12,129.12,201.815,72.6837,404.54,0.0282817,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,40.5728,-88.0492,268.292,544.72,420.9,353.87,190.85,971.33,511.26,116.258,187.006,70.7376,426.61,0.0291267,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
