# Drug name and concentration: 13: Cisapride at 65μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.4389,-88.0196,265.733,694.22,498.79,387.38,306.84,999.54,408.52,180.34,255.488,75.1369,305.32,-0.00189648,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,43.2555,-88.0082,264.9,700.27,508.67,391.72,308.55,1018.41,428.96,168.548,242.282,73.7231,318.14,-0.000497282,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,42.8301,-87.9977,264.277,701.26,512.34,394.66,306.6,1013.94,420.88,173.253,247.858,74.593,312.68,-0.000549949,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,43.2039,-87.9989,264.318,694.93,506.82,391.81,303.12,1010.31,422.64,172.121,246.203,74.0708,315.38,7.31516E-05,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,43.1247,-88.0214,265.882,679.24,500.1,390.13,289.11,1013.89,460.37,157.484,230.788,73.2929,334.65,0.00201618,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,43.1444,-88.0287,266.36,676.56,496.32,387.06,289.5,1016.53,491.17,152.774,225.705,72.9205,339.97,0.00272366,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,42.9208,-88.0073,264.956,702.42,514.09,395.29,307.13,1030.83,455.94,158.122,231.311,73.1784,328.41,0.00106105,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,43.3392,-88.0266,266.202,682.88,495.36,386.54,296.34,1002.89,429.88,167.72,241.779,74.0483,320.01,-0.000177379,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,43.4588,-88.0252,266.131,715.19,513.86,395.49,319.7,1018.59,410.02,180.722,255.787,75.0533,303.4,-0.00431665,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,43.3894,-88.0289,266.272,702.44,508.3,392.33,310.11,1028.3,450.62,159.827,233.086,73.2489,325.86,-0.00294601,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,43.0517,-87.9949,263.993,704.67,512.31,395.31,309.36,1021.07,430.89,168.059,242.549,74.4788,316.4,-0.00285482,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,43.2434,-88.0192,265.786,687.1,502.78,392.02,295.08,1001.73,418.1,174.986,249.892,74.8942,314.63,2.32349E-05,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,43.0593,-88.0171,265.574,705.92,515.48,396.4,309.52,1023.57,428.51,169.192,243.317,74.1132,317.65,-0.00122627,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,42.9682,-88.0144,265.417,674.24,496.09,387.25,286.99,1010.2,469.29,155.888,228.967,73.0688,335.96,0.00364836,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,43.2639,-88.015,265.441,687.25,501.36,389.91,297.34,1005.54,424.28,171.006,245.497,74.4795,318.29,-9.29899E-05,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,43.3555,-88.0207,265.707,698.05,505.17,391,307.05,1014.29,427.5,169.297,243.228,73.9204,316.24,-0.00300227,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,43.194,-87.9958,264.066,682.05,496.9,386.65,295.4,995.8,416.96,174.721,249.06,74.3274,313.75,0.000498883,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,43.3419,-88.0307,266.749,694.52,506.22,392.16,302.36,1019.5,437.41,164.78,238.944,74.1529,324.98,-0.000665421,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,42.9712,-87.9945,263.937,683.98,499.45,388.56,295.42,990.41,405.15,182.473,257.866,75.381,306.43,-0.000453043,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,43.1779,-88.0014,264.354,686.12,502.97,390.79,295.33,1005.59,425.4,170.373,244.507,74.1228,319.47,-0.00247772,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
