# Drug name and concentration: 13: Ranolazine at 48705μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.385,-88.0321,267.943,489.75,371.86,319.2,170.55,820.95,366.84,196.919,274.016,77.082,331.2,0.0548508,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.2249,-88.0213,266.722,494.56,378.11,323.95,170.61,839.28,386.96,182.997,258.49,75.4788,344.72,0.0542219,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.8444,-88.0107,266.086,495.46,378.74,324.05,171.41,833.21,378.03,189.063,265.558,76.4808,337.75,0.0550649,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.21,-88.0121,265.991,491.77,376.89,323.34,168.43,833.92,381.34,186.684,262.522,75.8239,342.15,0.0543237,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.1167,-88.035,268.065,486.05,372.67,319.96,166.09,852.18,406.24,168.819,243.543,74.7104,366.13,0.0567398,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.1117,-88.0427,268.628,486.49,371.76,318.75,167.74,859.01,413.62,163.239,237.49,74.2383,372.52,0.0573271,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.9339,-88.0198,266.822,497.93,380.07,324.86,173.07,855.04,405.73,170.962,245.766,74.7903,357.11,0.0555315,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.2773,-88.0393,268.409,485.15,369.47,317.71,167.44,835.6,387.85,181.056,256.732,75.6619,350.45,0.0559936,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.3878,-88.0367,268.321,497.94,378.63,324.46,173.48,823.53,365.01,199.439,276.698,77.2449,325.59,0.0535757,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.197,-88.0413,268.525,493.12,374.82,321.39,171.73,848.79,400.79,173.211,248.121,74.8967,355.67,0.0551676,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
