# Drug name and concentration: 1: Sotalol at 14686.4μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.8558,-88.0087,264.451,322.52,263.94,241.11,81.41,763.76,335.12,190.755,267.702,76.9378,441.24,0.0505991,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.6658,-87.9974,263.617,320.58,263.07,240.47,80.11,778.84,345.99,176.327,251.564,75.228,458.26,0.052486,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.2733,-87.9859,262.857,321.08,263.27,240.46,80.62,772.05,340.79,182.616,258.913,76.2873,450.97,0.0529837,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.63,-87.9877,262.881,315.3,259.06,237.03,78.27,774.11,342.01,178.992,254.485,75.4839,458.81,0.0539364,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.5376,-88.0116,264.524,310.8,255.03,233.17,77.63,794.62,355.34,161.242,235.5,74.2488,483.82,0.0558848,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.5622,-88.0197,265.104,317.02,259.56,236.9,80.12,802.66,361.67,156.678,230.543,73.8562,485.64,0.0545509,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.3512,-87.9968,263.611,317.46,259.83,237.33,80.13,792.66,354.84,164.127,238.583,74.4469,475.2,0.0551146,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.7297,-88.017,264.904,314.52,257.63,235.61,78.91,780.21,345.85,173.666,248.984,75.308,465.69,0.053132,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.8378,-88.0133,264.776,322.95,264.66,241.96,80.99,760.82,333.16,193.768,270.952,77.175,437.87,0.0505097,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.6798,-88.0194,265.028,319.69,261.61,239.06,80.63,790.27,353.57,166.718,241.336,74.6088,470.58,0.0512567,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.3859,-87.9838,262.636,317.51,259.57,236.97,80.54,778.92,344.87,175.801,251.819,76.0077,461.41,0.0524414,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.6945,-88.0077,264.35,311.78,256.06,234.29,77.49,769.37,337.82,182.787,259.203,76.4069,457.59,0.0548522,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.4815,-88.0054,264.213,321.73,264.06,241.28,80.45,776.6,344.26,178.899,254.748,75.8395,454.87,0.0527041,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.4137,-88.0051,264.111,311.47,255.3,233.33,78.14,797.79,357.61,158.725,232.626,73.8923,486.32,0.0563506,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.6884,-88.0041,264.107,317.3,260.3,237.84,79.46,775.8,343.04,178.553,254.51,75.9475,458.5,0.0531123,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.6747,-88.0106,264.418,317.8,260.63,238.43,79.37,777.49,344.54,176.768,252.161,75.3844,459.69,0.0512407,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.6163,-87.9852,262.682,315.76,259.41,237.28,78.48,772.35,340.79,180.642,256.268,75.617,456.59,0.0529953,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.7536,-88.0198,265.217,323.07,264.64,241.42,81.65,783.59,349.09,173.754,249.523,75.7598,460.52,0.0520328,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.4133,-87.9828,262.664,320.34,263.15,240.4,79.94,762.43,333.95,191.436,268.471,77.0248,442.09,0.051759,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,41.4837,-87.9908,262.961,316.64,260.63,238.35,78.29,777.78,344.63,176.484,251.92,75.4265,461.14,0.0512271,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.4576,-87.9832,262.711,323.45,265.32,242.09,81.36,787.83,352.46,169.803,244.707,74.8947,464.38,0.0532995,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.5386,-87.9775,262.319,327.86,269.67,246.37,81.49,754.1,329.1,201.79,279.369,77.5695,426.24,0.0487582,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,41.4285,-88.0121,264.674,322.29,262.74,239.5,82.79,807.66,365.71,153.904,227.444,73.5313,485.37,0.0544291,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,41.4075,-87.9918,263.203,326.04,267.12,243.46,82.58,789.59,353.74,169.262,244.396,75.1253,463.55,0.0507648,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,41.3624,-88.0064,264.225,313.94,257.68,235.68,78.26,781.24,346.44,172.698,248.027,75.32,467.3,0.0547066,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,41.4311,-88,263.707,318.68,260.74,238.09,80.59,792.32,354.7,164.796,239.348,74.5427,473.64,0.0519873,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
