# Drug name and concentration: 2: Cisapride at 5.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.9068,-88.0087,264.56,340.44,277.66,252.69,87.75,767.06,339.31,193.081,270.236,77.1454,426.62,0.04655,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.7187,-87.9974,263.727,338.65,277.04,252.3,86.35,782.03,350.4,178.716,254.186,75.4598,443.38,0.0484344,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.3226,-87.9859,262.968,339.33,277.41,252.43,86.9,775.31,345.16,185.043,261.569,76.5162,435.98,0.0489006,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.6838,-87.9877,262.994,333.4,273.13,249.01,84.39,777.03,346.23,181.598,257.341,75.7333,443.63,0.0498381,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.592,-88.0115,264.629,328.99,269.22,245.28,83.71,797.82,360.01,163.487,237.996,74.4992,468.83,0.0517559,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.6157,-88.0196,265.207,335.03,273.5,248.72,86.31,806.16,366.55,158.658,232.753,74.0859,471.13,0.0505253,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.4036,-87.9967,263.71,335.89,274.13,249.49,86.4,795.98,359.57,166.394,241.097,74.6931,460.09,0.0510119,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.7827,-88.0169,265.008,332.53,271.53,247.44,85.09,783.34,350.25,175.999,251.55,75.5415,450.81,0.0490241,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.8884,-88.0133,264.891,341.24,278.74,253.89,87.35,764.27,337.43,196.128,273.52,77.382,423.03,0.0463472,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.7334,-88.0192,265.128,338.01,275.73,251.05,86.96,793.71,358.32,168.893,243.74,74.8381,455.7,0.0471007,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.4395,-87.9837,262.728,336.08,273.94,249.17,86.91,782.11,349.36,178.285,254.551,76.2558,446.03,0.0482419,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.7475,-88.0077,264.463,329.97,270.23,246.38,83.59,772.43,342.11,185.296,261.951,76.6448,442.46,0.050681,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.5313,-88.0055,264.328,340,278.23,253.29,86.71,780.06,348.83,181.168,257.236,76.0585,440.06,0.0485974,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.4673,-88.005,264.21,329.53,269.35,245.3,84.23,800.94,362.25,160.945,235.099,74.1447,471.41,0.0522905,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.7414,-88.0041,264.218,335.35,274.28,249.7,85.65,779.03,347.45,180.899,257.083,76.1749,443.68,0.0490234,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.7267,-88.0105,264.523,335.96,274.66,250.35,85.61,780.68,348.96,179.147,254.774,75.617,444.72,0.0470851,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.669,-87.9852,262.792,333.6,273.23,249.02,84.58,775.21,344.91,183.217,259.089,75.8617,441.61,0.0489491,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.8061,-88.0199,265.331,341.21,278.64,253.24,87.97,787.28,353.85,175.799,251.774,75.9651,446.07,0.0479718,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.4622,-87.9829,262.775,338.2,276.97,252.08,86.12,765.55,338.02,193.923,271.18,77.2473,427.35,0.0477216,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
