# Drug name and concentration: 5: Ondansetron at 1792.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.554,-88.0199,265.752,413.18,330.03,293.46,119.72,825.46,387.78,166.936,242.662,75.7147,412.28,0.0370571,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.3477,-88.0088,264.902,412.38,330.99,294.65,117.73,839.76,399.37,155.767,229.925,74.1479,427.38,0.03872,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.9593,-87.9975,264.207,413.85,332.07,295.28,118.57,833.56,394.25,160.945,236.113,75.1562,419.71,0.0389703,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.3246,-87.9993,264.266,407.34,327.5,291.94,115.4,834,394.59,158.471,232.938,74.4562,426.66,0.0398197,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.2232,-88.0223,265.778,403.54,324.5,289.34,114.2,853.43,408.3,144.084,217.412,73.3183,449.89,0.0415314,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.2493,-88.0302,266.575,408.6,327.62,291.5,117.1,862.13,415.1,139.734,212.623,72.879,453.53,0.0408385,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.0297,-88.0076,264.886,411.73,330.05,293.76,117.97,852.92,408.79,146.286,219.769,73.4727,441.19,0.0408309,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.4301,-88.0276,266.262,405.97,325.04,289.7,116.27,839.96,398.59,153.665,227.931,74.2543,433.99,0.0391869,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.5397,-88.0245,266.108,415.93,332.87,296.22,119.71,823.8,386.62,169.419,245.37,75.9393,407.87,0.0364014,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.3709,-88.0296,266.286,413.08,330.49,294.26,118.82,851.33,407.83,147.822,221.401,73.5683,438.25,0.037177,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.0836,-87.9947,263.915,412.27,329.73,293.17,119.1,839.84,398.73,155.845,230.816,74.9596,427.57,0.0378854,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
