# Drug name and concentration: 5: Quinidine at 4214.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,45.3821,-88.0158,264.593,1224.49,1019.48,884.58,339.91,1474.61,927.47,175.037,247.932,72.8871,250.12,-0.0408541,1,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,45.3007,-88.0034,263.726,1238.49,1031.53,887.45,351.04,1501.75,954.8,160.205,231.985,71.7732,263.26,-0.0394515,1,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,44.9868,-87.9934,263.15,1244.52,1044.91,906.36,338.16,1501.49,963.11,165.094,237.559,72.4584,256.97,-0.0396752,1,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,45.2051,-87.9936,263.019,1231.93,1031.17,893.32,338.61,1491.65,946.97,165.062,237.112,72.0424,259.72,-0.0389361,1,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,45.1449,-88.0136,264.494,1225.65,1044.14,932.3,293.35,1492.88,996.38,158.092,230.018,71.9185,267.23,-0.0375778,1,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,45.1778,-88.0207,264.948,1222.98,1041.43,931.42,291.56,1494.41,1007.39,154.041,225.753,71.7051,271.43,-0.0369128,1,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,45.0526,-88.0018,263.771,1250.4,1051.41,914.87,335.53,1518.79,1003.47,151.282,222.837,71.5486,268.39,-0.0382424,1,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,45.3421,-88.0213,264.95,1214.17,1022.2,903.01,311.16,1473.88,958.2,165.963,238.241,72.2712,259.71,-0.0392592,1,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,45.4712,-88.0228,265.153,1257.16,1036.4,880.97,376.19,1507.41,934.63,170.413,243.156,72.7366,250.25,-0.0429276,1,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,45.4682,-88.0246,265.132,1235.63,1033.13,897.87,337.76,1503.96,989.12,153.706,225.307,71.5942,268.33,-0.0420467,1,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
