# Drug name and concentration: 8: Verapamil at 360μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 499
#   Hill Coefficient: 1.1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 202
#   Hill Coefficient: 1.1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.1789,-88.0603,268.209,354.28,285.4,254.18,100.1,981.01,473.57,73.0259,138.367,65.3348,626.73,0.0540251,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,38.9823,-88.0498,267.426,351.93,284.63,253.94,97.99,987.05,475.34,70.4886,134.562,64.0674,635.12,0.0562226,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,38.7485,-88.0382,266.605,353.17,285.31,254.19,98.98,983.29,473.71,71.8497,136.731,64.8748,630.12,0.0559417,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,38.928,-88.0411,266.797,345.81,279.79,249.73,96.08,982.44,471.15,71.0495,135.249,64.1938,636.63,0.0576142,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,39.0259,-88.0615,268.264,342.96,277.19,247.37,95.59,989.27,473.09,68.2309,131.833,63.5967,646.31,0.0587162,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,39.0937,-88.0685,268.914,350.01,282.54,251.85,98.16,995.6,478.23,67.2367,130.649,63.4071,645.59,0.0573351,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,38.8418,-88.0474,267.277,350.04,282.3,251.72,98.32,990.85,475.66,68.6053,132.279,63.6681,640.81,0.0580499,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,39.1482,-88.0672,268.696,346.62,279.45,249.34,97.28,984.9,472.55,70.3125,134.567,64.2482,638.28,0.0562939,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,39.1965,-88.0648,268.56,354.96,286.26,255.14,99.82,979.96,473.5,73.6012,139.112,65.5044,625,0.0540288,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,39.1311,-88.0684,268.666,353.66,285.25,254.59,99.07,992.64,478.45,68.8703,132.704,63.8277,638.98,0.0540304,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,38.8522,-88.0343,266.133,351.65,283.26,252.32,99.33,986.04,474.39,70.6321,135.434,64.7952,634.39,0.0543105,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,39.0968,-88.0594,268.155,342.67,276.8,246.85,95.82,978.15,468.42,72.1319,137.136,64.9973,635.48,0.0580855,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,38.9379,-88.057,267.98,353.84,286.16,255.15,98.69,985.97,475.56,71.2021,135.811,64.6022,632.13,0.0560552,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,38.9199,-88.0552,267.83,343.4,277.27,247.38,96.02,990.5,473.36,67.7201,131.046,63.3204,647.1,0.0592377,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,39.0722,-88.0555,267.864,349.07,282.05,251.39,97.68,984.09,473.24,71.132,135.831,64.6924,635.02,0.05625,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,39.0586,-88.0613,268.165,350.48,283.12,252.8,97.68,986,474.56,70.6556,134.909,64.2475,635.52,0.054367,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,38.91,-88.0387,266.584,346.37,280.28,250.11,96.26,982.16,471.26,71.2556,135.542,64.2799,635.79,0.0565225,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,39.2079,-88.0696,269.061,356.09,287.56,256.02,100.07,990.19,478.55,70.279,134.99,64.7047,634.1,0.0550409,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,38.8146,-88.0361,266.428,351.66,284.59,253.5,98.16,979.16,471.78,73.2504,138.605,65.348,627.5,0.0547905,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,38.8795,-88.0428,266.79,349.21,283.48,253.11,96.1,986.31,474.62,70.537,134.809,64.2658,637.1,0.0539357,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,38.83,-88.0356,266.451,355.49,287.75,256.39,99.1,992.04,478.55,69.3293,133.244,63.9091,636.55,0.0565799,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,38.8413,-88.0319,266.119,359.32,291.37,259.61,99.71,979.47,474.78,74.5993,140.252,65.6461,620.15,0.0522136,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,38.9705,-88.0606,268.259,355.88,286.1,254.78,101.1,999.36,481.09,66.5999,129.78,63.1742,643.48,0.0571849,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
