# Drug name and concentration: 9: Diltiazem at 1147.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6569
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.6121,-88.082,269.734,278.75,220.62,194.56,84.19,1022.67,457.81,47.235,107.185,59.9464,743.92,0.0712207,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,38.4364,-88.0725,269.044,274.37,217.5,191.92,82.45,1029.1,457.85,45.131,103.894,58.7601,754.73,0.0736691,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,38.2183,-88.0606,268.069,275.26,217.89,191.94,83.32,1025.18,456.6,46.0057,105.475,59.4665,749.92,0.0732423,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,38.3667,-88.0644,268.298,267.29,211.58,186.58,80.71,1025.11,453.4,45.095,103.891,58.7933,757.82,0.0751647,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,38.5309,-88.0837,269.935,264.5,208.9,184.01,80.49,1031.09,454.29,43.3197,101.792,58.47,766.59,0.0761967,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,38.6045,-88.0898,270.468,273.36,216.17,190.46,82.9,1036.95,460.07,43.1499,101.577,58.4248,763.59,0.0744423,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,38.3457,-88.0698,268.869,270.64,213.41,187.93,82.71,1032.53,456.73,43.6267,102.104,58.4748,761.89,0.0755065,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,38.6229,-88.0892,270.244,269.79,213.1,187.94,81.85,1026.7,455.19,45.033,104.045,59.0085,756.91,0.0737264,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,38.6203,-88.0866,270.092,277.52,219.64,193.74,83.78,1020.57,456.59,47.5849,107.637,60.0486,743.05,0.0717014,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,38.6132,-88.0897,270.183,276.6,218.88,193.27,83.33,1033.63,460.5,44.3786,103.085,58.7036,757.03,0.0715664,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,38.3179,-88.056,267.665,273.71,216.07,190.32,83.39,1027.62,456.89,45.2062,104.7,59.4911,753.91,0.07163,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,38.5644,-88.0819,269.808,264.07,208.5,183.58,80.49,1019.42,450.38,45.9495,105.541,59.5882,755.35,0.0757374,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,38.4187,-88.0791,269.568,275.62,218.39,192.53,83.09,1026.81,457.62,45.7645,105.039,59.2712,751.19,0.0736198,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,38.4324,-88.0776,269.495,265.31,209.35,184.37,80.94,1033.12,454.96,42.9019,101.122,58.2177,767.81,0.0765011,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,38.5353,-88.0776,269.456,272.03,215.39,189.8,82.23,1025.53,455.93,45.6399,105.033,59.3901,753.5,0.073587,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,38.5208,-88.0833,269.746,273.48,216.68,191.38,82.1,1027.76,457.27,45.3666,104.329,58.9597,754.28,0.0719701,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,38.3435,-88.0618,268.058,269.61,213.79,188.62,80.99,1025.5,454.7,45.3683,104.264,58.893,755.89,0.0737894,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,38.6838,-88.0907,270.551,279.65,221.62,195.26,84.39,1030.16,460.95,45.5845,105.131,59.5436,750.51,0.0722778,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,38.2586,-88.0585,267.813,275.89,219.14,193.17,82.72,1021.92,456.32,47.043,106.92,59.8737,746.03,0.071838,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,38.3313,-88.0651,268.172,272.93,217.35,191.99,80.94,1028.81,457.82,45.1929,104.159,58.9628,755.88,0.0713179,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,38.289,-88.0581,267.868,277.37,220.01,193.88,83.49,1033.79,460.52,44.382,103.059,58.6749,756.42,0.0738042,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,38.249,-88.0545,267.478,283.31,225.89,199.46,83.85,1022.2,459.86,48.1544,108.227,60.0695,738.89,0.0695029,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,38.4863,-88.0818,269.79,278.81,219.71,193.47,85.34,1040.83,462.9,42.7818,101.009,58.2248,762.02,0.0741232,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,38.3371,-88.0638,268.229,284.58,226.32,199.62,84.96,1036.54,465.05,44.7852,103.857,59.0685,751.96,0.0700703,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,38.3896,-88.0797,269.604,267.32,211.22,186.1,81.22,1025.95,453.6,44.7951,103.765,58.9669,758.63,0.0752577,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,38.4016,-88.0711,268.796,276.11,218.54,192.82,83.29,1034.88,460.49,43.9755,102.633,58.6548,758.77,0.0714897,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,38.3725,-88.069,268.729,279.25,221.46,195.4,83.85,1029.73,460.16,45.6009,104.737,59.1328,750.48,0.071714,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,38.3123,-88.0704,268.832,276.19,217.74,191.66,84.53,1031.54,458.77,44.4966,103.576,59.0771,755.35,0.073512,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,38.3231,-88.0644,268.363,267.1,210.46,185.38,81.72,1020.81,451.4,45.8784,105.192,59.3112,753.71,0.0748418,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,38.2835,-88.0659,268.321,266.11,211.01,186.19,79.92,1019.05,451,46.4108,105.636,59.2221,752.94,0.074725,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,38.4734,-88.08,269.665,278.26,219.19,192.8,85.46,1027.18,458.29,45.7681,105.421,59.6503,748.92,0.0736289,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,38.5757,-88.0817,269.784,284.08,225.02,198.21,85.87,1032.36,463.38,45.5815,105.254,59.6688,748.28,0.0709039,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,38.6985,-88.0917,270.418,284.45,225.49,199.05,85.4,1037.85,465.47,44.4752,103.318,58.8396,753.4,0.0705642,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,38.5187,-88.0833,269.805,285.92,226.28,199.6,86.32,1027.22,462.02,47.0169,106.76,59.7395,741.3,0.0704929,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,38.4437,-88.0777,269.325,277.68,219.83,194.17,83.51,1029.94,459.35,45.3238,104.067,58.7402,752.26,0.0721373,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,38.2498,-88.0588,267.795,281.73,224.43,198.25,83.48,1029.61,461.58,46.1121,105.371,59.2561,747.88,0.0700302,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,38.2953,-88.0571,267.83,271.18,214.38,188.95,82.23,1031.62,456.88,44.0123,102.474,58.459,760.44,0.0745834,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,38.2935,-88.0579,267.859,267.65,210.83,185.76,81.89,1022.81,452.18,45.4762,104.53,59.0512,755.16,0.0746886,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,38.4425,-88.0723,269.1,268.83,211.93,186.5,82.33,1022.47,452.92,45.7315,105.205,59.4703,753.64,0.0751687,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,38.6018,-88.088,270.141,271.41,214.11,188.66,82.75,1020.52,453.62,46.626,106.344,59.7146,749.11,0.0737734,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,38.2247,-88.0618,268.122,266.02,210.13,185.16,80.86,1028.12,453.58,44.1069,102.796,58.6869,762.1,0.0747036,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,38.3894,-88.0596,267.931,278.29,219.81,193.87,84.42,1028.72,459,45.6022,104.724,59.1187,750.43,0.0714319,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
43,38.599,-88.0862,269.98,283,224.34,198.19,84.81,1027.42,461.25,46.7254,106.235,59.5069,744.42,0.0698562,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013
44,38.3222,-88.0612,268.052,283.29,225.03,198.62,84.67,1019.73,458.64,48.6378,108.915,60.2738,736.44,0.0698507,0,0,44,1.02871,1.02767,1.02663,0.982016,0.954556,0.998778,0.962404,0.973844,1.04585
45,38.4169,-88.0649,268.374,284.54,225.45,198.67,85.87,1027.07,461.66,46.8892,106.99,60.0979,742.53,0.0692063,0,0,45,1.01152,1.04906,0.989099,0.972991,1.04779,0.983794,0.955893,0.978953,0.978301
46,38.4061,-88.0718,268.858,272.66,215.59,190.08,82.58,1019.3,453.89,47.1402,107.147,60.0038,746.64,0.0717119,0,0,46,1.0412,1.04737,1.03564,1.04011,1.00167,0.972533,0.956272,0.996674,1.00511
47,38.6214,-88.0895,270.234,292.1,231.63,204.46,87.64,1024.64,464.15,48.6137,109.017,60.3991,732.54,0.0680424,0,0,47,1.00096,1.04347,1.03047,0.95174,1.01855,0.953754,0.951743,1.0478,1.04352
48,38.474,-88.0771,269.261,277.77,220.81,195.16,82.61,1030.57,460.3,45.3789,104.269,58.8869,752.8,0.0706252,0,0,48,0.961421,1.04459,1.02386,1.01773,1.04095,1.00412,1.03041,1.01668,1.03059
49,38.4866,-88.0752,269.18,269.83,214.38,189.21,80.62,1035.56,458.7,43.2232,101.614,58.3883,765.73,0.0728624,0,0,49,1.01685,1.03035,0.979946,1.04507,0.995641,1.04154,1.04058,1.00759,0.971884
50,38.5632,-88.0867,270.121,264.51,209.02,184.02,80.49,1028.98,453.83,43.8066,102.663,58.8537,764.47,0.0757327,0,0,50,1.03679,0.984074,0.976216,1.04118,1.04903,1.03715,0.999339,1.03123,0.962398
51,38.5408,-88.0812,269.761,276.1,218.2,192.41,83.69,1034.12,459.96,44.0964,102.56,58.461,758.02,0.0743277,0,0,51,0.976124,0.952567,0.957704,0.987849,0.959236,0.98755,1.04484,1.01535,1.00625
52,38.3713,-88.0694,268.806,270.73,214.04,188.79,81.94,1024.08,454.2,45.7169,104.587,58.8674,753.35,0.0748103,0,0,52,1.00127,0.95832,1.00797,1.00867,1.03705,1.00545,1.02953,0.988291,1.04849
53,38.5077,-88.0728,269.103,277.08,219.77,193.7,83.38,1023.83,457.49,46.7575,106.433,59.672,746.75,0.0729826,0,0,53,0.966251,0.973456,0.951714,0.977035,1.01127,1.04424,0.979766,0.99889,1.02267
54,38.3585,-88.0585,267.836,277.65,220.59,194.52,83.13,1033.61,461.08,44.5757,103.481,58.9029,755.96,0.0718185,0,0,54,1.04915,1.00474,0.952636,0.984849,1.02794,1.0464,1.02176,0.963153,0.980251
55,38.5239,-88.0881,270.179,273.04,216.43,191.04,82,1021.25,454.86,46.84,106.306,59.4633,748.21,0.07345,0,0,55,0.964963,0.99355,1.04034,1.02039,0.982694,1.00997,0.991127,1.04291,1.04955
56,38.4053,-88.0716,269.011,283.81,224.73,197.88,85.93,1032.74,463,45.3732,104.854,59.4776,748.93,0.0714635,0,0,56,1.01254,0.996538,1.0001,0.95259,1.02381,1.00241,0.982475,0.991761,0.957178
57,38.4841,-88.076,269.35,267.66,211.72,186.46,81.2,1022.02,452.64,45.8329,105.153,59.3169,754.36,0.0757174,0,0,57,1.00769,0.951224,0.965818,1.01169,1.01568,1.04843,0.989325,1.0038,1.01504
58,38.2713,-88.0582,267.879,283.76,224.61,198.19,85.57,1033.15,462.57,45.2694,103.997,58.7245,749.39,0.0720073,0,0,58,1.01416,0.96773,0.998097,0.95651,0.972623,0.973278,1.0482,0.958411,1.024
59,38.5329,-88.0737,268.963,276.23,218.43,192.86,83.37,1032.56,459.77,44.5508,103.231,58.6771,756.33,0.0715884,0,0,59,1.03193,1.0264,0.956209,1.0246,0.987812,0.952373,1.03733,0.999518,1.01356
60,38.4441,-88.081,269.613,275.73,219.1,193.33,82.4,1034.19,460.72,44.216,103.124,58.9056,758.46,0.0716917,0,0,60,1.02648,1.03945,1.04297,1.02149,0.966228,1.02178,1.01002,1.02276,0.961179
61,38.4953,-88.0744,269.114,279.45,220.45,194.21,85.24,1033.85,461.23,44.4937,103.5,59.003,754.4,0.0722405,0,0,61,1.04223,0.998348,0.961419,0.985118,1.00773,0.95444,1.00825,0.995534,0.969112
62,38.2972,-88.0649,268.374,275.12,217.99,192.07,83.05,1032.96,459.34,44.2458,103.064,58.8155,757.84,0.0736291,0,0,62,1.04606,0.978803,1.00834,0.991717,0.953089,1.02474,1.01907,0.974766,0.964956
63,38.4607,-88.0778,269.372,286.64,227.83,201.24,85.4,1028.82,463.26,46.9051,106.395,59.4865,742.18,0.069786,0,0,63,0.995554,1.0187,1.03343,0.963715,1.01325,0.99677,1.00333,1.01721,1.0416
64,38.4082,-88.0696,268.817,282.47,222.85,196.28,86.19,1021.96,458.17,47.6576,107.596,59.9354,739.49,0.0726704,0,0,64,1.04381,0.959562,0.993837,0.953649,0.990486,0.963762,0.971673,0.985268,1.0312
65,38.6679,-88.0905,270.442,275.15,217.48,191.65,83.5,1038.12,461.34,43.1269,101.672,58.5423,762.97,0.0731868,0,0,65,0.990519,1.00187,0.950784,1.00458,1.04477,0.990999,1.02425,1.04116,0.954127
66,38.2032,-88.0559,267.752,276.36,218.56,192.41,83.95,1028.78,458.08,45.2522,104.451,59.1959,752.42,0.0735019,0,0,66,1.0324,0.97133,1.01646,0.974588,1.01943,1.01272,1.00183,0.950965,0.974258
67,38.3483,-88.0639,268.3,273.35,215.51,189.7,83.65,1021.36,454.39,46.5651,106.459,59.8904,748.01,0.0728386,0,0,67,0.962069,1.01009,1.00408,1.01229,1.02202,0.96833,0.959174,0.970801,0.983291
68,38.3507,-88.0687,268.78,279.48,221.92,195.4,84.08,1026.61,459.57,46.3453,106.35,60.0015,747.13,0.0715944,0,0,68,0.974755,1.01461,1.02548,0.978867,0.968799,1.04253,0.950682,0.98797,0.953418
69,38.3073,-88.0565,267.687,285.91,227.57,200.81,85.1,1033.05,464.48,45.8101,105.148,59.3352,747.14,0.0693537,0,0,69,0.979146,1.02907,0.99173,0.957847,1.0328,1.03121,1.00748,0.961692,0.993444
70,38.5723,-88.0904,270.451,281.51,223.66,197.25,84.26,1026.47,460.65,46.7696,106.696,59.9232,744.96,0.0710077,0,0,70,1.00288,1.02366,1.03658,0.986587,0.961683,1.01983,0.9587,1.04955,0.99288
71,38.3946,-88.0763,269.352,264.06,207.93,183.06,81,1024.08,451.27,44.6977,103.655,58.9545,760.02,0.0762031,0,0,71,0.968373,0.970308,1.02128,1.04496,1.00895,0.986038,1.00244,1.00047,0.989786
72,38.3739,-88.0678,268.591,279.02,221.73,195.81,83.21,1023.47,458.26,47.1759,106.805,59.6255,744.45,0.0704602,0,0,72,1.0158,1.03732,1.03828,1.00202,1.04664,1.01125,0.993055,0.992873,1.0427
73,38.5267,-88.088,270.195,283.47,224.11,197.39,86.08,1033.08,462.87,45.2176,104.542,59.3215,749.61,0.0720567,0,0,73,1.0407,0.990294,1.02764,0.958092,1.03141,0.978729,0.988468,1.03496,0.968302
74,38.4786,-88.0743,269.156,274.23,217.5,191.75,82.48,1021.81,455.8,46.8725,106.782,59.9061,747.58,0.0718887,0,0,74,1.03465,1.02806,0.997941,1.01507,1.0365,1.02662,0.961414,1.00579,1.00494
75,38.2853,-88.0572,267.832,281.38,222.72,196.15,85.23,1028.03,460.27,46.1461,105.893,59.7434,746.65,0.0712783,0,0,75,0.97166,1.00738,0.99286,0.973039,0.962232,0.992262,0.972718,0.955347,0.967863
76,38.435,-88.0722,269.054,262.47,207.35,182.79,79.68,1019.39,449.38,45.7607,104.804,59.04,756.92,0.0764249,0,0,76,1.01901,0.956191,0.982017,1.04914,0.992428,1.02734,1.00929,0.994908,1.04419
77,38.396,-88.0754,269.191,287.94,229.58,202.82,85.12,1039.23,467.58,44.7117,103.445,58.73,751.29,0.0698036,0,0,77,0.965942,1.0166,1.04141,0.954683,0.979345,1.03098,1.04105,1.0108,0.994916
78,38.4265,-88.0833,269.902,280.69,221.46,195.03,85.66,1026.41,458.99,46.318,105.861,59.5395,745.72,0.0735075,0,0,78,1.03565,0.960485,1.04782,0.964444,0.9707,0.964641,0.981761,1.02008,0.998796
79,38.3057,-88.0576,267.845,283.09,224.45,198.16,84.93,1030.63,461.69,45.8645,104.715,58.8476,747.54,0.0719904,0,0,79,1.02136,0.964992,0.980551,0.960418,0.95197,0.991832,1.04563,0.959633,1.0472
80,38.3308,-88.053,267.445,282.56,224.5,198.14,84.42,1026.34,460.68,46.9407,106.645,59.7011,743.78,0.0696853,0,0,80,0.991185,1.03224,0.968221,0.983854,0.971214,1.00734,0.99041,0.9521,1.0205
81,38.4506,-88.0746,269.172,275.99,218.55,192.68,83.31,1029.37,458.77,45.2293,104.486,59.2537,753.38,0.0720412,0,0,81,0.997256,1.02075,1.00338,1.00928,1.00545,0.99525,0.994826,1.00273,0.981902
82,38.5908,-88.0848,269.868,275.02,217.24,191.63,83.39,1032.88,459.44,44.2732,103.121,58.8451,757.86,0.0720363,0,0,82,1.00992,1.03146,0.977386,1.0296,0.99618,0.951234,1.01506,1.02705,0.982665
83,38.6273,-88.0838,269.903,281.18,223.29,196.93,84.25,1023.13,459.29,47.5691,107.566,59.9932,741.95,0.0716398,0,0,83,0.993991,0.99138,0.955959,0.970543,1.00253,1.03473,0.964574,1.03097,1.03646
84,38.2815,-88.0654,268.425,281.13,222.46,196.23,84.9,1034.82,462.07,44.5288,103.106,58.5741,753.69,0.0724235,0,0,84,0.958106,0.980159,1.03792,0.969489,1.01605,0.976903,1.04766,0.976672,0.99931
85,38.4883,-88.0881,270.25,286.13,226.06,199.2,86.93,1039.66,465.99,44.0121,102.831,58.8163,753.53,0.0714469,0,0,85,0.951026,1.00001,1.0481,0.955026,1.02422,0.950104,1.01746,1.03315,0.951185
86,38.3905,-88.0751,269.262,275.18,218.15,192.14,83.04,1031.83,459.22,44.5348,103.588,59.0503,756.65,0.0736319,0,0,86,1.02063,0.982962,1.01768,0.988079,0.998168,1.03941,1.00054,1.00182,0.959781
87,38.3507,-88.0647,268.338,280.78,222.8,196.36,84.42,1022.76,458.68,47.4695,107.659,60.186,741.98,0.0706615,0,0,87,1.03358,1.02562,1.01353,0.980811,1.00992,1.01701,0.952245,0.980214,0.995587
