# Drug name and concentration: 8: Mexiletine at 20025.6μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.9569,-88.0256,265.77,245.53,199.27,184,61.53,753.7,317.83,176.972,252.353,75.3725,508.17,0.0910039,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,40.7916,-88.0146,264.673,245.14,199.51,184.27,60.87,768.95,328.19,163.231,236.848,73.608,523.81,0.0911514,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.4358,-88.0036,264.165,243.94,198.12,182.84,61.1,762.4,323.2,168.704,243.336,74.6226,518.46,0.0921718,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,40.7645,-88.0055,264.052,240.63,196,181.13,59.5,765.96,325.46,164.755,238.538,73.7741,525.33,0.0919525,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,40.665,-88.0297,265.719,234.9,190.71,176.03,58.87,783.62,335.74,149.391,221.931,72.5313,548.72,0.0942985,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,40.6951,-88.0374,266.921,240.31,194.76,179.54,60.77,789.63,340.53,146.085,218.33,72.2361,549.32,0.0935282,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.5019,-88.0143,264.888,241.04,195.28,180.14,60.9,781.78,335.49,151.961,224.72,72.7499,540.74,0.0932084,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,40.8524,-88.0342,266.681,238.19,193.22,178.49,59.7,770.13,327.62,160.702,234.357,73.6462,531.94,0.0928923,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,40.9689,-88.0298,266.464,245.24,199.19,184.03,61.21,750.78,315.92,179.625,255.246,75.6122,505.54,0.0911709,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,40.7779,-88.0366,266.829,240.95,195.16,180.18,60.77,778.36,333.44,154.561,227.513,72.9427,537.41,0.0923376,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,40.4715,-88.0026,264.331,237.51,191.95,177.04,60.47,769.46,326.47,161.268,235.441,74.1639,531.95,0.0932127,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,40.8292,-88.0253,265.522,236.14,192.03,177.4,58.74,760.66,320.95,168.676,243.403,74.7181,524.52,0.0935701,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,40.6389,-88.0225,265.391,244.88,199.14,183.84,61.04,765.71,325.76,166.108,240.376,74.2589,520.83,0.0919834,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,40.5585,-88.0231,265.357,236.27,191.67,176.86,59.41,786.74,337.97,147.169,219.357,72.1792,550.47,0.0941671,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,40.8011,-88.0218,265.311,240.82,195.73,180.68,60.14,765.81,325.1,165.257,239.57,74.3031,524.99,0.0924445,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,40.7895,-88.028,266.181,240.28,195.17,180.39,59.89,767.45,326.33,163.265,236.98,73.7056,527.17,0.0919762,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,40.7364,-88.0034,263.878,240.87,196.23,181.34,59.53,764.26,324.37,166.232,240.145,73.9045,523.39,0.0916369,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,40.8717,-88.0371,266.998,245.05,198.84,183.3,61.75,771.13,329.2,161.966,236.204,74.228,526.08,0.0921421,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,40.5492,-88.0012,263.824,243.54,198.31,183.11,60.43,753.56,317.38,176.676,252.048,75.3627,510.02,0.0915872,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,40.5755,-88.01,264.158,238.72,194.59,179.79,58.93,768.29,326.59,162.404,236.08,73.667,529.57,0.0920733,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,40.589,-88.0011,263.818,247.15,200.97,185.31,61.84,777.12,333.65,157.234,230.495,73.2516,529.97,0.0913897,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,40.6626,-87.9956,263.411,249.95,203.97,188.43,61.52,744.91,312.84,186.363,262.328,75.9556,494.96,0.0895304,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,40.5783,-88.0291,266.391,245.23,197.93,182.29,62.94,794.02,344.03,143.705,215.644,71.9293,548.79,0.0929394,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,40.5016,-88.0105,264.487,246.89,200.37,184.63,62.26,777.3,333.49,157.083,230.58,73.4873,530.41,0.0913878,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,40.525,-88.0241,265.483,237.56,192.97,178.22,59.34,771.15,328.06,159.739,233.379,73.6315,533.59,0.0936862,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,40.5172,-88.0183,265.147,239.73,194.07,179.06,60.67,780.84,334.62,152.343,225.148,72.7959,541.11,0.0927229,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,40.6323,-88.0127,264.716,246.04,199.86,184.48,61.56,767.02,326.8,165.112,239.153,74.0315,520.98,0.091194,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,40.3638,-88.0165,265.2,242.24,195.73,180.41,61.83,777.26,332.42,155.848,229.37,73.5125,535.02,0.0933254,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,40.6104,-88.0063,264.404,238.89,193.79,179.07,59.82,759.51,320.58,169.848,244.398,74.5408,520.62,0.0927553,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,40.6641,-88.006,263.988,239.74,195.73,181.09,58.65,753.97,317.5,175.027,249.729,74.6933,514.23,0.0919558,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,40.6203,-88.025,265.904,245.58,198.47,182.92,62.66,767.89,326.83,164.506,239.071,74.5555,522.31,0.0926259,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,40.7247,-88.0289,266.492,246.7,199.69,183.94,62.76,772.44,330.11,161.22,235.534,74.3039,525.74,0.0919909,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,40.8935,-88.039,267.092,247.34,200.31,184.7,62.64,781.35,336.45,153.922,226.966,73.0346,534.01,0.0912793,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,40.826,-88.0268,266.245,251.5,203.8,188.06,63.44,757.74,321.43,174.507,249.58,75.0635,506.24,0.090231,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,40.7654,-88.0207,265.376,246,199.71,184.53,61.47,768,327.69,163.921,237.497,73.5669,522,0.0908315,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,40.547,-88.0022,263.885,246.96,201.16,185.75,61.21,762.52,324.08,169.223,243.571,74.3386,515.56,0.0904882,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,40.6131,-87.9999,263.857,242.11,196.56,181.41,60.7,776.98,332.72,155.962,228.941,72.9697,534.87,0.0920838,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,40.6608,-87.9993,263.999,239.79,194.43,179.64,60.15,762.08,322.48,167.705,241.902,74.1877,522.29,0.092267,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,40.6947,-88.0154,264.957,240.01,194.68,179.7,60.31,763.32,323.17,167.099,241.657,74.5489,523.31,0.093002,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,40.8732,-88.0314,266.557,241,195.49,180.6,60.4,757.14,319.41,172.674,247.677,74.9939,516.14,0.0924681,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,40.3672,-88.0064,264.274,235.2,190.83,176.22,58.98,775.03,330.07,155.912,229.07,73.1491,539.83,0.0938482,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,40.7771,-88.0027,264.276,245.38,198.65,183.36,62.02,765.14,325.36,166.399,240.501,74.0931,519.76,0.0908159,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
