# Drug name and concentration: 4: Ondansetron at 1434μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.6029,-88.018,265.527,395.86,317.73,284.14,111.72,813.38,377.59,170.723,246.684,75.9493,417.52,0.0393043,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.3991,-88.0068,264.686,394.83,318.3,284.97,109.86,827.87,389,159.036,233.403,74.3555,433.04,0.041026,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.01,-87.9954,263.986,396.1,319.19,285.47,110.63,821.46,383.83,164.41,239.798,75.3764,425.36,0.0413192,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.3742,-87.9973,264.047,389.71,314.69,282.09,107.62,822.25,384.34,161.754,236.422,74.6574,432.54,0.0421955,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.2735,-88.0204,265.566,385.84,311.54,279.28,106.56,842.04,398.02,146.807,220.315,73.4975,456.2,0.0439473,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.2888,-88.0284,266.114,391.23,315.03,281.83,109.4,850.61,404.71,142.47,215.544,73.0636,459.38,0.0431086,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.0812,-88.0057,264.668,393.69,316.91,283.64,110.05,841.15,398.26,149.133,222.805,73.6617,447.46,0.0432402,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.4681,-88.0257,265.967,388.53,312.52,280.09,108.44,828.25,388.26,156.917,231.384,74.4564,439.72,0.041496,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.5882,-88.0225,265.884,398.08,320.09,286.5,111.58,811.33,376.22,173.319,249.51,76.1799,413.25,0.0387617,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.4228,-88.0278,266.065,395.23,317.64,284.4,110.83,839.5,397.32,150.797,224.575,73.7669,444.27,0.0395337,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.1327,-87.9928,263.692,394.11,316.6,283.1,111.01,827.84,388.18,159.052,234.229,75.1659,433.73,0.0403277,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.4474,-88.017,265.435,386.55,312.05,279.79,106.76,817.73,380.27,164.826,240.371,75.5339,431.18,0.04281,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.2148,-88.0149,265.288,396.96,320.23,286.57,110.39,826.56,387.94,161.01,235.939,74.9183,429.6,0.0410091,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.1426,-88.0139,265.132,385.94,311.24,278.9,107.04,844.67,399.86,144.739,217.909,73.1603,458.73,0.044642,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.4319,-88.0135,265.166,391.41,315.51,282.4,109.01,824.69,385.93,160.877,235.939,75.0509,433.28,0.0414902,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.4088,-88.0194,265.494,392.49,316.06,283.28,109.21,826.2,387.34,159.524,234.056,74.5212,433.71,0.0395137,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.3538,-87.9948,263.753,388.84,313.81,281.2,107.64,820.03,382.53,163.08,237.866,74.7754,431.19,0.0415492,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.4935,-88.0291,266.264,397.64,320.05,285.94,111.7,833.93,393.28,156.244,231.061,74.8064,436.29,0.0405765,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.1488,-87.9927,263.674,393.33,317.38,283.89,109.44,811.21,375.78,171.837,247.927,76.0794,417.88,0.0403913,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,41.218,-88.0003,264.109,390.62,316.09,283.22,107.4,826.04,387.12,159.518,234.117,74.588,435.42,0.0395315,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.1861,-87.9929,263.708,398.6,321.57,287.32,111.28,837.36,396.28,153.548,227.597,74.0387,438.76,0.0418147,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.2762,-87.9878,263.353,401.74,324.4,290,111.74,804.57,371.08,180.293,256.87,76.5656,402.83,0.0373736,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,41.1491,-88.0205,265.692,397.35,318.39,284.37,112.98,855.98,409.13,140.059,212.808,72.7398,458.63,0.0431363,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,41.1344,-88.0013,264.313,400.19,322.26,287.59,112.6,839.33,397.58,152.728,226.961,74.2232,439.14,0.0395587,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,41.0962,-88.0155,265.286,389.14,314.1,281.55,107.59,829.48,389.23,156.356,230.858,74.4913,440.34,0.0427601,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,41.1579,-88.0087,264.746,393.92,316.71,283.36,110.56,840.61,397.79,149.567,223.317,73.7394,446.69,0.0403054,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,41.2431,-88.0046,264.561,398.53,320.84,286.91,111.62,827.38,388.71,160.579,235.344,74.7536,428.85,0.0397181,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,40.9399,-88.0079,264.82,396.39,318.24,284.4,111.99,837.95,395.84,152.126,226.466,74.3291,441.56,0.0422344,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,41.2019,-87.998,264.111,388.87,312.71,280.25,108.62,815.02,378.42,166.698,242.134,75.4249,426.15,0.0423947,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,41.2423,-87.9979,264.049,388.38,314.28,282.07,106.31,809.22,374.43,171.521,247.075,75.5424,420.84,0.0414375,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,41.201,-88.0174,265.576,397.16,318.2,284.13,113.03,829.09,389.29,158.889,234.055,75.1547,431.93,0.0423105,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,41.3515,-88.0207,265.778,402.12,323.04,288.21,113.91,836.46,395.45,155.669,230.58,74.8997,434.34,0.0396983,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,41.5568,-88.0308,266.436,403.22,323.89,289.34,113.88,845.95,402.99,149.003,222.718,73.7042,442.73,0.0386204,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,41.4124,-88.0199,265.675,403.04,322.86,288.32,114.72,820.03,383.2,167.421,242.955,75.5229,416.99,0.0387127,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,41.3709,-88.0129,265.081,397.57,319.52,286.09,111.48,827.66,389.03,159.57,233.886,74.3054,430.09,0.0395047,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,41.1647,-87.9937,263.704,400.88,323.75,289.5,111.38,823,385.73,164.895,239.993,75.0871,422.12,0.0380006,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,41.2245,-87.9912,263.597,392.91,316.45,283.22,109.69,834.48,393.52,153.522,227.444,73.9114,441.57,0.0424233,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,41.2643,-87.9908,263.572,389.06,312.46,279.96,109.1,816.88,379.91,165.072,240.201,75.1174,427.82,0.0423873,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,41.2924,-88.0073,264.825,389.13,312.95,280.13,109,820.54,382.43,162.94,238.272,75.3215,431.41,0.0431819,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,41.4673,-88.0238,265.935,391.06,314.19,281.43,109.63,815.38,378.77,167.48,243.153,75.6617,424.32,0.0412919,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,40.9579,-87.9968,263.963,387.41,312.52,280.13,107.28,831.44,390.43,154.175,228.392,74.2059,444.03,0.042777,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,41.4312,-87.9943,263.778,396.35,317.38,283.72,112.63,822.96,385.08,162.67,237.581,74.9006,426.61,0.0399091,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
43,41.5443,-88.0228,265.81,402.31,323.07,289.01,113.3,820.82,384.03,166.74,242.032,75.2815,418.51,0.0371648,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013
44,41.3627,-87.9948,263.957,403.37,324.67,290.27,113.1,801.11,368.18,183.569,260.478,76.8966,397.74,0.0372606,0,0,44,1.02871,1.02767,1.02663,0.982016,0.954556,0.998778,0.962404,0.973844,1.04585
45,41.2771,-88.002,264.424,399.5,320.3,285.78,113.72,819.72,382.41,166.953,242.893,75.9293,420.22,0.038753,0,0,45,1.01152,1.04906,0.989099,0.972991,1.04779,0.983794,0.955893,0.978953,0.978301
46,41.2493,-88.0073,264.741,391.96,315.32,282.43,109.53,809.96,374.61,172.177,248.408,76.2193,418,0.039689,0,0,46,1.0412,1.04737,1.03564,1.04011,1.00167,0.972533,0.956272,0.996674,1.00511
47,41.5721,-88.0265,266.176,407.99,326.5,291.38,116.61,810.3,375.55,177.2,253.698,76.4863,402.31,0.0362055,0,0,47,1.00096,1.04347,1.03047,0.95174,1.01855,0.953754,0.951743,1.0478,1.04352
48,41.4019,-88.0129,265.011,395.05,318.42,285.14,109.91,827.7,388.82,159.247,233.652,74.3947,432.65,0.038578,0,0,48,0.961421,1.04459,1.02386,1.01773,1.04095,1.00412,1.03041,1.01668,1.03059
49,41.2662,-88.0126,264.926,389.04,314.84,282.12,106.92,845.64,401.17,145.491,218.789,73.2887,456.6,0.0410891,0,0,49,1.01685,1.03035,0.979946,1.04507,0.995641,1.04154,1.04058,1.00759,0.971884
50,41.2648,-88.0241,265.76,382.96,309.15,277.03,105.93,838.45,394.88,148.621,222.559,73.9277,455.49,0.0442256,0,0,50,1.03679,0.984074,0.976216,1.04118,1.04903,1.03715,0.999339,1.03123,0.962398
51,41.4408,-88.0174,265.481,398.15,320.2,286.44,111.71,841.24,399.11,150.407,224.001,73.5832,443.09,0.0416049,0,0,51,0.976124,0.952567,0.957704,0.987849,0.959236,0.98755,1.04484,1.01535,1.00625
52,41.362,-88.002,264.373,391.24,314.94,282.22,109.02,817.61,380.96,165.244,240.087,74.8323,426.37,0.0420255,0,0,52,1.00127,0.95832,1.00797,1.00867,1.03705,1.00545,1.02953,0.988291,1.04849
53,41.5184,-88.0073,264.767,395.61,318.71,284.96,110.65,816.21,379.95,168.66,244.326,75.6551,420.6,0.0408272,0,0,53,0.966251,0.973456,0.951714,0.977035,1.01127,1.04424,0.979766,0.99889,1.02267
54,41.2798,-87.9943,263.739,394.85,318.37,284.49,110.36,835.21,394.15,154.094,228.344,74.2394,440.36,0.0407638,0,0,54,1.04915,1.00474,0.952636,0.984849,1.02794,1.0464,1.02176,0.963153,0.980251
55,41.4426,-88.0227,265.779,393.92,317.84,284.93,108.99,813.91,378.26,169.662,245.163,75.4896,419.99,0.0401192,0,0,55,0.964963,0.99355,1.04034,1.02039,0.982694,1.00997,0.991127,1.04291,1.04955
56,41.1341,-88.0095,264.973,400.15,321.28,286.55,113.6,835.36,394.36,155.455,230.221,74.7562,435.21,0.0408867,0,0,56,1.01254,0.996538,1.0001,0.95259,1.02381,1.00241,0.982475,0.991761,0.957178
57,41.4135,-88.0099,264.889,387.98,313.09,280.48,107.5,818.71,381.25,164.21,239.434,75.2137,430.73,0.0432233,0,0,57,1.00769,0.951224,0.965818,1.01169,1.01568,1.04843,0.989325,1.0038,1.01504
58,41.2635,-87.9922,263.712,404.74,324.74,290.01,114.73,830.29,391.64,159.718,234.07,74.3413,425.55,0.0397357,0,0,58,1.01416,0.96773,0.998097,0.95651,0.972623,0.973278,1.0482,0.958411,1.024
59,41.5104,-88.01,264.858,396.55,318.4,285,111.55,834.43,393.85,154.587,228.625,74.0274,437.88,0.0392571,0,0,59,1.03193,1.0264,0.956209,1.0246,0.987812,0.952373,1.03733,0.999518,1.01356
60,41.097,-88.0196,265.481,394.81,319.17,285.67,109.14,842.57,399.44,149.229,223.154,73.9144,447.76,0.0400485,0,0,60,1.02648,1.03945,1.04297,1.02149,0.966228,1.02178,1.01002,1.02276,0.961179
61,41.3032,-88.0121,265.108,398.13,318.92,284.84,113.29,839.5,397.3,151.544,225.704,74.1497,441.37,0.0410042,0,0,61,1.04223,0.998348,0.961419,0.985118,1.00773,0.95444,1.00825,0.995534,0.969112
62,41.0456,-88.0013,264.348,396.14,319.66,285.82,110.32,839.12,397.09,151.671,225.752,74.0707,442.98,0.0418613,0,0,62,1.04606,0.978803,1.00834,0.991717,0.953089,1.02474,1.01907,0.974766,0.964956
63,41.4181,-88.0133,265.166,403.92,324.71,290.13,113.79,820.03,383.56,167.87,243.177,75.2965,416.11,0.03768,0,0,63,0.995554,1.0187,1.03343,0.963715,1.01325,0.99677,1.00333,1.01721,1.0416
64,41.3869,-88.0037,264.635,402.64,322.3,287.82,114.82,810.12,375.4,175.052,251.266,76.2028,407.48,0.0403432,0,0,64,1.04381,0.959562,0.993837,0.953649,0.990486,0.963762,0.971673,0.985268,1.0312
65,41.3821,-88.0301,266.425,392.24,315.29,281.92,110.32,852.56,406.14,141.528,214.635,73.0969,460.32,0.0421817,0,0,65,0.990519,1.00187,0.950784,1.00458,1.04477,0.990999,1.02425,1.04116,0.954127
66,40.9957,-87.9909,263.622,395.16,317.83,283.96,111.2,827.72,388.36,159.18,234.046,74.8555,432.56,0.0423576,0,0,66,1.0324,0.97133,1.01646,0.974588,1.01943,1.01272,1.00183,0.950965,0.974258
67,41.1735,-87.9993,264.232,392.25,314.7,281.46,110.79,814.82,378.18,168.161,244.139,75.966,422.57,0.0414496,0,0,67,0.962069,1.01009,1.00408,1.01229,1.02202,0.96833,0.959174,0.970801,0.983291
68,41.0513,-88.0061,264.704,397.49,320.75,286.44,111.05,825.47,386.73,162.579,238.267,75.6776,427.98,0.0405238,0,0,68,0.974755,1.01461,1.02548,0.978867,0.968799,1.04253,0.950682,0.98797,0.953418
