# Drug name and concentration: 10: Quinidine at 8429μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,47.5971,-13.5539,271.282,577.39,321.31,267.14,310.25,653.45,736.09,132.617,198.394,136.23,76.06,-0.166282,1,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,23.9151,-23.4543,79.9317,1636.58,1860.86,1300.08,336.5,1985.93,1857.49,39.0417,161.771,124.308,349.35,-0.0910454,1,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,26.1755,-20.8907,80.0344,1975.45,712.1,634.53,1340.92,1865.02,1775.26,20.2478,148.758,122.757,-110.43,-0.0707847,1,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,28.2339,-88.0523,79.8849,610.9,481.15,251.32,359.58,9.91,9.91,0,128.628,65.4265,-600.99,0.083684,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,28.4753,-18.46,79.9925,1951.95,122.88,91.6,1860.35,1612.92,695.15,10.9543,144.072,130.247,-339.03,-0.053184,1,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,22.9203,-88.0775,79.984,752.84,643.79,406.09,346.75,274.13,230.68,11.8709,133.188,64.737,-478.71,0.0692631,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,26.9496,-20.4602,80.0295,1966.04,688.73,111.94,1854.1,1837.32,1721.7,17.8989,143.206,120.635,-128.72,-0.067675,1,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,28.7301,-20.3599,80.011,2000,635.63,97.22,1902.78,1746.77,1202.89,15.7706,149.086,128.442,-253.23,-0.0606918,1,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,22.9576,-21.6198,80.0002,1976,1254.88,700.16,1275.84,1894.53,1789.39,31.1795,156.585,125.495,-81.47,-0.0708149,1,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,23.079,-22.4068,79.9954,1689.25,1915.36,1850.34,-161.09,1684.11,1936.34,33.359,155.143,129.244,-5.14,-0.100327,1,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
