# Drug name and concentration: 6: Ranolazine at 11689.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.4778,-88.0223,266.465,402.42,318.09,283.69,118.73,780.75,351.5,198.198,275.608,77.3967,378.33,0.0560201,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.3168,-88.0113,265.445,403.41,320.42,285.85,117.56,796.72,365.51,183.903,259.677,75.7621,393.31,0.0563507,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.9374,-88.0003,264.916,403.92,320.59,285.69,118.23,790.03,359.38,190.237,267.055,76.8057,386.11,0.0571339,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.2988,-88.0018,264.881,399.27,317.76,283.84,115.43,791.34,361.14,187.339,263.44,76.0884,392.07,0.0569907,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.1939,-88.0252,266.412,394.37,313.63,280.06,114.31,811.58,376.56,168.943,243.845,74.8902,417.21,0.0592354,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.2132,-88.0332,267.373,398.19,315.65,281.29,116.9,820.2,383.25,163.272,237.695,74.4117,422.01,0.0590369,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.0205,-88.01,265.579,402.9,319.28,284.56,118.34,811.05,376.65,171.575,246.631,75.044,408.15,0.0582415,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.3777,-88.0299,267.094,395.99,313.59,280.14,115.85,796.64,365.03,181.317,257.206,75.8766,400.65,0.0577259,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.4732,-88.0267,266.814,405.72,321.25,286.64,119.08,779.04,349.75,201.386,279.033,77.6342,373.32,0.0553284,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.3064,-88.032,267.184,401.84,317.73,283.47,118.37,807.84,374.14,173.677,248.824,75.1348,406,0.0566112,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.0052,-87.9978,264.775,400.62,316.65,282.17,118.45,795.98,364.12,183.616,260.201,76.5723,395.36,0.0573353,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.3563,-88.0216,266.285,395.53,314.65,281.16,114.37,786.27,356.44,191.26,268.277,77.0046,390.74,0.0581097,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.1426,-88.0195,266.16,405.18,321.95,287.02,118.16,795.26,363.9,186.235,262.588,76.3409,390.08,0.0567276,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.0777,-88.0185,265.997,394.54,313.36,279.71,114.83,814.56,378.83,166.284,240.835,74.5398,420.02,0.0596419,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.3285,-88.0183,266.045,398.94,316.8,282.62,116.32,792.94,361.92,186.228,262.725,76.4842,394,0.0574139,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.3,-88.0237,266.431,399.62,316.82,283.06,116.56,794.21,363.33,184.517,260.458,75.9291,394.59,0.0562741,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.2673,-87.9996,264.684,396.99,315.78,282.09,114.9,788.56,358.81,188.864,265.077,76.201,391.57,0.0569942,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.3922,-88.0341,267.547,404.02,320.18,285.02,119,802.2,369.3,180.267,256.492,76.2134,398.18,0.0571207,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.0549,-87.9981,264.649,399.78,317.92,283.57,116.21,778.99,350.06,199.275,276.812,77.5238,379.21,0.056815,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,41.1024,-88.006,264.905,396.77,316.34,282.58,114.19,793.95,363.05,184.357,260.355,75.9858,397.18,0.0565258,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.1158,-87.998,264.637,407.07,323.54,287.9,119.17,806.93,373.65,176.85,252.278,75.4157,399.86,0.0568662,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.1688,-87.9933,264.231,408.23,324.9,289.62,118.61,772.23,343.21,209.334,287.337,77.9909,364,0.0542072,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,41.0737,-88.0247,266.632,404.77,319.07,283.78,120.99,825.98,387.96,160.215,234.289,74.0627,421.21,0.0587862,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,41.0194,-88.007,265.247,405.17,321.24,285.69,119.48,807.45,373.65,175.678,251.27,75.579,402.28,0.0566937,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,41.0294,-88.02,266.178,397.63,316.1,282.3,115.33,798.4,366.42,180.656,256.587,75.9186,400.77,0.0583396,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,41.0447,-88.0135,265.756,399.99,316.42,282.12,117.87,809.08,374.83,171.993,247.102,75.0967,409.09,0.0573771,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,41.1494,-88.0093,265.485,405.72,321.63,286.61,119.11,795.72,364.37,185.565,261.73,76.1527,390,0.0560512,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,40.8634,-88.0123,265.814,403.67,318.86,283.84,119.83,806.9,372.97,175.118,250.85,75.7192,403.23,0.0583586,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,41.1261,-88.0021,265.055,397.86,315.1,281.48,116.38,783.64,354.44,193.328,270.221,76.8802,385.78,0.0577158,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,41.1756,-88.0025,264.877,397.7,317.28,283.85,113.85,777.88,349.88,199.249,276.259,76.9977,380.18,0.056636,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,41.1188,-88.0216,266.526,404.44,318.91,283.76,120.68,797.51,365.27,183.577,260.174,76.5844,393.07,0.0581722,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,41.2287,-88.0258,266.735,407.86,322.45,286.62,121.24,804.42,370.95,179.513,255.819,76.2934,396.56,0.0567318,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,41.4289,-88.0353,267.532,409.59,323.68,288.01,121.58,814.47,379.63,171.335,246.397,75.0495,404.88,0.0556808,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,41.3117,-88.0238,266.627,409.55,322.91,287.48,122.07,787.61,357.07,193.977,270.935,76.9457,378.06,0.0554427,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,41.2834,-88.0168,266.006,405.59,320.88,286.32,119.27,796.17,365.12,184.457,260.169,75.6997,390.58,0.0556113,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,41.0645,-87.999,264.697,407.41,324.07,288.81,118.6,791.09,360.45,190.631,267.121,76.4773,383.68,0.0548972,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,41.1506,-87.9958,264.543,401.89,318.81,284.23,117.66,804,371.27,176.986,252.3,75.3011,402.11,0.0573984,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,41.185,-87.9948,264.522,398.21,314.97,281.3,116.91,785.61,356.22,191.337,267.909,76.5599,387.4,0.057505,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,41.2118,-88.0117,265.715,397.55,314.94,280.99,116.56,789.07,358.66,188.788,265.578,76.7769,391.52,0.0584206,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,41.3846,-88.0278,267.003,398.96,315.62,281.84,117.12,783.48,354.09,194.266,271.402,77.1233,384.52,0.0573209,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,40.8832,-88.0016,264.916,395.54,314.19,280.61,114.93,800.47,368,177.838,253.463,75.6134,404.93,0.0585465,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,41.313,-87.9985,264.777,403.54,318.09,283.49,120.05,791.08,360.6,188.163,264.48,76.3045,387.54,0.0561434,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
43,41.4366,-88.0268,266.838,409.15,323.32,288.29,120.86,788.59,358.26,193.054,269.757,76.6902,379.44,0.0543807,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013
44,41.2561,-87.9995,264.918,410.62,325.59,290.24,120.38,768.92,339.85,213.329,291.673,78.3311,358.3,0.0539704,0,0,44,1.02871,1.02767,1.02663,0.982016,0.954556,0.998778,0.962404,0.973844,1.04585
45,41.1415,-88.0072,265.453,404.11,318.92,283.77,120.34,786.73,356.19,193.228,270.592,77.3512,382.62,0.0563725,0,0,45,1.01152,1.04906,0.989099,0.972991,1.04779,0.983794,0.955893,0.978953,0.978301
46,41.1363,-88.0119,265.749,398.69,315.79,282.04,116.65,777.45,348.84,199.896,277.585,77.6768,378.76,0.0567328,0,0,46,1.0412,1.04737,1.03564,1.04011,1.00167,0.972533,0.956272,0.996674,1.00511
47,41.4492,-88.0304,267.201,413.43,325.63,289.82,123.61,777.09,346.95,205.799,283.733,77.9216,363.66,0.0538962,0,0,47,1.00096,1.04347,1.03047,0.95174,1.01855,0.953754,0.951743,1.0478,1.04352
48,41.2861,-88.0177,265.936,401.37,318.57,284.4,116.97,795.53,364.49,184.046,259.842,75.7837,394.16,0.0556332,0,0,48,0.961421,1.04459,1.02386,1.01773,1.04095,1.00412,1.03041,1.01668,1.03059
49,41.1474,-88.0183,265.825,395.56,315.26,281.45,114.11,814.62,379.07,167.09,241.741,74.6386,419.06,0.0578336,0,0,49,1.01685,1.03035,0.979946,1.04507,0.995641,1.04154,1.04058,1.00759,0.971884
50,41.1738,-88.0292,266.596,390.21,310.3,277.1,113.11,807.31,372.76,171.226,246.576,75.3378,417.1,0.060005,0,0,50,1.03679,0.984074,0.976216,1.04118,1.04903,1.03715,0.999339,1.03123,0.962398
51,41.3633,-88.0215,266.357,407.3,322.49,287.28,120.02,810.88,376.95,173.224,248.194,74.9573,403.58,0.0566976,0,0,51,0.976124,0.952567,0.957704,0.987849,0.959236,0.98755,1.04484,1.01535,1.00625
52,41.2998,-88.0059,265.212,400.61,317.78,283.83,116.78,786.43,357.12,191.601,267.882,76.2686,385.82,0.0567991,0,0,52,1.00127,0.95832,1.00797,1.00867,1.03705,1.00545,1.02953,0.988291,1.04849
53,41.4185,-88.0121,265.492,403.3,320.24,285.45,117.85,784.32,354.58,195.674,272.786,77.0989,381.02,0.0563837,0,0,53,0.966251,0.973456,0.951714,0.977035,1.01127,1.04424,0.979766,0.99889,1.02267
54,41.1668,-87.9999,264.716,401.12,318.61,283.73,117.39,803.73,370.76,177.514,253.14,75.6138,402.61,0.057066,0,0,54,1.04915,1.00474,0.952636,0.984849,1.02794,1.0464,1.02176,0.963153,0.980251
55,41.3626,-88.0269,266.617,402.45,319.94,285.89,116.56,782.12,353.08,197.019,273.97,76.9385,379.67,0.0559414,0,0,55,0.964963,0.99355,1.04034,1.02039,0.982694,1.00997,0.991127,1.04291,1.04955
56,41.0327,-88.0146,265.845,405.79,320.72,285.06,120.73,803.46,370.16,179.175,255.336,76.1479,397.67,0.0575167,0,0,56,1.01254,0.996538,1.0001,0.95259,1.02381,1.00241,0.982475,0.991761,0.957178
57,41.3402,-88.0145,265.69,396.88,315.73,281.92,114.96,787.38,357.51,190.443,267.127,76.6723,390.5,0.0580227,0,0,57,1.00769,0.951224,0.965818,1.01169,1.01568,1.04843,0.989325,1.0038,1.01504
58,41.1891,-87.9963,264.642,413.38,326.51,290.46,122.92,799.43,367.64,184.371,260.102,75.718,386.05,0.0551131,0,0,58,1.01416,0.96773,0.998097,0.95651,0.972623,0.973278,1.0482,0.958411,1.024
59,41.3837,-88.0142,265.854,404.09,319.27,284.76,119.33,802.99,370.5,178.297,253.709,75.4005,398.9,0.0558118,0,0,59,1.03193,1.0264,0.956209,1.0246,0.987812,0.952373,1.03733,0.999518,1.01356
60,40.9879,-88.0251,266.406,400.68,318.85,284.3,116.38,811.05,376.39,171.595,246.885,75.2781,410.37,0.0573619,0,0,60,1.02648,1.03945,1.04297,1.02149,0.966228,1.02178,1.01002,1.02276,0.961179
